time,hip_flexion_l_velocity,hip_adduction_l_velocity,hip_rotation_l_velocity,knee_angle_l_velocity,ankle_angle_l_velocity,subtalar_angle_l_velocity,hip_flexion_r_velocity,hip_adduction_r_velocity,hip_rotation_r_velocity,knee_angle_r_velocity,ankle_angle_r_velocity,subtalar_angle_r_velocity
99.495,65.4006444766578,33.2928978287428,-56.7501094439043,276.414958195634,28.693363408429,37.5578452487785,-138.880171001392,-22.0098218929674,25.3096446090498,161.414142872649,-62.0062114140903,-5.21114678089537
99.5,64.9941795745322,33.2959108316713,-56.808790915969,276.825297328232,27.6911571585609,37.8987547722171,-139.132848593792,-22.1151406305898,25.8423915035284,161.590206948059,-62.0480451686965,-6.18699257713743
99.505,63.6089010685655,33.2549181787195,-56.8082993213712,277.157153403741,25.1676184356755,38.5779806761029,-139.45573807946,-22.3508112381535,26.9823556673629,161.698265520913,-62.3761854941567,-8.23162636301034
99.51,61.0695674334673,33.1284816419836,-56.5820827906756,276.549719263471,21.6175238482911,39.2442254085337,-139.439143275048,-22.6440687575724,28.2637341625435,161.349482175028,-63.2442438578786,-10.4290166536335
99.515,57.3688689090193,32.9335552969957,-56.1508793184044,275.080628607952,17.0794421869963,39.8789493387774,-139.132586379552,-23.0082517562025,29.6668867802249,160.605390680427,-64.7480814988767,-12.7067950559927
99.52,52.5221718267405,32.6862800286968,-55.536610777176,272.828247031259,11.6218906758465,40.458101775805,-138.58187782262,-23.4530150229291,31.163175113874,159.524025567511,-66.9700131370637,-14.9813462348735
99.525,46.5669414930862,32.4013129113896,-54.7616920007969,269.869641537828,5.34205227502482,40.9530497756874,-137.827310068752,-23.9838396562902,32.7155048475204,158.157274255738,-69.9762314426336,-17.1600385395511
99.53,39.5615782957816,32.0912149760422,-53.8483878627625,266.278971989435,-1.63642981944807,41.3317812786026,-136.90212901846,-24.6016816009443,34.2792376985932,156.548479293669,-73.8146198096085,-19.1439706007281
99.535,31.5837285719179,31.7659151179429,-52.8182321958998,262.126307383907,-9.16650243615676,41.5603191072053,-135.83131445613,-25.3027667105648,35.8034478544985,154.730354110671,-78.5129913465245,-20.8311585130867
99.54,22.7281477047555,31.432266636325,-51.6915196846696,257.476847852416,-17.0814909460991,41.6042722608774,-134.630687993624,-26.0785369818448,37.2324829082968,152.723264118536,-84.0777808113337,-22.1200667935435
99.545,13.1042047219586,31.0937116239741,-50.486879471299,252.390515703004,-25.1994962334345,41.4304454242542,-133.306354782969,-26.9157496893253,38.5077758909618,150.533913142799,-90.4932059636273,-22.913367876251
99.55,2.83312509684821,30.750066936367,-49.2209370503696,246.921865990905,-33.3282527801424,41.008426684138,-131.854474327622,-27.796728534077,39.5698436521574,148.154463339605,-97.7209054853689,-23.1218003669836
99.555,-7.95492857024782,30.3974435584032,-47.9080689815906,241.12025889681,-41.2702890583939,40.3120768439665,-130.261346350362,-28.6997633772145,40.36039810853,145.562105230196,-105.700052230569,-22.6679864475283
99.56,-19.1238397295809,30.0283086780039,-46.5602529667536,235.030232343431,-48.8282260317053,39.3208509672131,-128.5037901683,-29.5996524864228,40.8244912279068,142.719083486665,-114.347933098324,-21.4900644324667
99.565,-30.5344922239748,29.6316965493147,-45.1870138706387,228.69201330303,-55.8100499744094,38.0208932368085,-126.549790574378,-30.4683783499783,40.9126124008682,139.57317381463,-123.560980199625,-19.5449940793092
99.57,-42.0476122650611,29.1935702168827,-43.7954642105503,222.142109514349,-62.0342015397047,36.4058590853354,-124.359379797095,-31.2759048736467,40.5826582076255,136.058596818901,-133.21623196432,-16.8113999459936
99.575,-53.5264263588861,28.6973313778022,-42.3904353197299,215.413929097889,-67.3343334560902,34.4774329071554,-121.885723367729,-31.9910800445309,39.8016993679683,132.097346129646,-143.173197066426,-13.2918314002586
99.58,-64.8390769145436,28.124470186054,-40.9746926827447,208.538383078999,-71.5636038158576,32.2455245977874,-119.076377121389,-32.582623910489,38.5474774576217,127.600900246305,-153.276088274973,-9.01433590432135
99.585,-75.8607512509955,27.4553408684472,-39.5492258944473,201.544434417825,-74.598390013286,29.7281429029136,-115.874682567465,-33.020177168828,36.809574253492,122.472280434681,-163.356387505459,-4.03326391364261
99.59,-86.4754935268733,26.6700429254938,-38.1136005275492,194.459566232117,-76.3413292920859,26.9509574884228,-112.22126814879,-33.2753811373716,34.5902087990894,116.608410537128,-173.235697566469,1.57075175887043
99.595,-96.5776823418058,25.7493817879698,-36.6663562372654,187.310151027215,-76.7236148176133,23.9465742804069,-108.055624374337,-33.32295585247,31.9046309757456,109.90272874072,-182.728830644895,7.69167266165887
99.6,-106.073169283795,24.6758774769422,-35.2054330863198,180.121711579944,-75.7065004648697,20.7535595875178,-103.317721581685,-33.1417400220385,28.7810950883314,102.247996258403,-191.647078938975,14.1997898540466
99.605,-114.880085542153,23.4347854492962,-33.7286067246344,172.919072403253,-73.2819923921733,17.4152575236356,-97.9496403559396,-32.7156550479839,25.2604122770357,93.5392435931947,-199.80160958719,20.9442904676673
99.61,-122.929334675215,22.0150907136475,-32.2339128978156,165.726408188348,-69.4727301822248,13.9784521064092,-91.8971864045062,-32.0345556142855,21.3950958847701,83.6767916413087,-207.00692441158,27.7565989514141
99.615,-130.164799124404,20.4104346827747,-30.7200426848674,158.567201976395,-64.3310840327914,10.4919300066955,-85.1114636381757,-31.094931410941,17.2481285296539,72.569282390671,-213.084324738571,34.4544076917442
99.62,-136.543295335561,18.6199342056282,-29.186691589878,151.464130755202,-57.9375163316943,7.00500221678737,-77.5503808574949,-29.9004282154371,12.8913928132207,60.1366524298214,-217.865322076195,40.8462860345437
99.625,-142.034316862431,16.6488538464888,-27.6348478696575,144.43889950876,-50.3982752296924,3.56604288882498,-69.1800684714407,-28.4621615288891,8.40381874953416,46.3129819724765,-221.194936117422,46.7367354315128
99.63,-146.619606516359,14.5090957523371,-26.0670081375056,137.512046412357,-41.8425039777822,0.221101315439244,-59.9761820883814,-26.7988020658701,3.86930977634116,31.0491527434161,-222.934822052146,51.9315422597714
99.635,-150.29259777678,12.2194763215826,-24.4873113000843,130.702741930262,-32.4188624675216,-2.9873613915275,-49.9250698594375,-24.9364194626533,-0.625484549128644,14.3152499958476,-222.966169456658,56.2432690348628
99.64,-153.057762720235,9.80576525018572,-22.9015852067532,124.028603189031,-22.2917664434588,-6.02156569015812,-39.0247804183387,-22.9080784079108,-4.99347739617676,-3.8973527643284,-221.192315298411,59.4967192345926
