time,hip_flexion_l_velocity,hip_adduction_l_velocity,hip_rotation_l_velocity,knee_angle_l_velocity,ankle_angle_l_velocity,subtalar_angle_l_velocity,hip_flexion_r_velocity,hip_adduction_r_velocity,hip_rotation_r_velocity,knee_angle_r_velocity,ankle_angle_r_velocity,subtalar_angle_r_velocity
185,-2.59155154251077,-13.5367573512454,4.30801372805335,-3.34953685176045,13.8569354121082,-5.21735891027312,36.7164534680157,28.0974135886323,-32.4843048163111,80.8254229616151,-68.9795584327801,-32.1955713000914
185.005,-3.25649360833821,-13.9293820309111,6.01897367071631,-3.51473057097898,13.6994833448644,-6.27850074730908,38.5687131403494,26.7312457261174,-28.176649259857,63.8237740036236,-62.7046091972998,-33.7332794618678
185.01,-3.98875040562436,-14.1110443987657,7.83929522303607,-3.62384569557378,13.5557599612594,-7.32130766110869,40.2853186711219,25.0331767181869,-23.2770784557914,46.789541587892,-56.4400554589348,-35.0784686644356
185.015,-4.78575876834112,-14.0761576441912,9.75271187650594,-3.67668824032578,13.4342510301202,-8.30934234413965,41.8201998778607,23.0066209858302,-17.8318567031861,29.8798559484744,-50.2775503821716,-36.2561819556855
185.02,-5.64486458850574,-13.8233642346988,11.7411650784705,-3.67387651621797,13.3440520842334,-9.20544170018218,43.1276581172452,20.6610081354083,-11.9005159350362,13.2529713974177,-44.3019910764269,-37.287740132531
185.025,-6.56334669807567,-13.3558354700708,13.785150784483,-3.61687566832641,13.2946063978643,-9.97271411434807,44.1631291209682,18.0119957404698,-5.55520789677883,-2.93395086035232,-38.5898008798524,-38.1905084765458
185.03,-7.53841873066615,-12.6814849817252,15.8641118653544,-3.50803868840707,13.2954177720667,-10.5755960607083,44.8839551125655,15.0815647962103,1.12027597830422,-18.5270737178594,-33.2074904035,-38.9779221681976
185.035,-8.56720717140658,-11.81308203651,17.9568670535393,-3.35065325755642,13.355746162287,-10.9809421756565,45.2501550831115,11.8979865130144,8.03180887606285,-33.378093590608,-28.2105303983729,-39.6597496629621
185.04,-9.64670466785103,-10.7682529426316,20.0420655614009,-3.1489932049769,13.4842948190737,-11.1591202737278,45.2251817417363,8.49565210088584,15.0765390079558,-47.3463929863158,-23.6425591909472,-40.2425615397727
185.045,-10.7736986549833,-9.5693619186187,22.0986553466531,-2.90837273543845,13.6888979635007,-11.0850808034729,44.7766533707521,4.91476065592436,22.144778039445,-60.301101515298,-19.5349365116434,-40.7303625271747
185.05,-11.9446763884109,-8.24326643643819,24.1063523355163,-2.63520090287685,13.9762181371854,-10.7393690439805,43.8770486470472,1.2008641483517,29.1221297784825,-72.1230317085562,-15.9066446328299,-41.1253373241148
185.055,-13.1557085602179,-6.82094615445584,26.046097716408,-2.33703314541191,14.3514622580407,-10.1090479643267,42.5043524308481,-2.59572730406315,35.8918123262526,-82.7064575596665,-12.7645272818636,-41.4286566341531
185.06,-14.4023148220327,-5.33700887888064,27.9004905633867,-2.02261610720804,14.818125027002,-9.18850007911233,40.6426405346387,-6.4206724341801,42.3371188796082,-91.9607057400866,-10.1038469863103,-41.6412882521599
185.065,-15.6793157739962,-3.82908126133238,29.6541834308603,-1.70192149934545,15.3777676289509,-7.98007783311732,38.2825915480516,-10.2164465719375,48.3439557949652,-99.8115319709175,-7.90913241758479,-41.7647587944249
185.07,-16.9806772138797,-2.33709593262669,31.2942291752083,-1.38616443218689,16.0298386903615,-6.49457415937331,35.421913940666,-13.9232949180339,53.8033917573908,-106.202258016197,-6.15527912681273,-41.8018148492977
185.075,-18.2993535102128,-0.902490342996409,32.8103682103515,-1.08780152851785,16.771543301705,-4.75148811030005,32.0656770066702,-17.4802729370167,58.6141492799149,-111.094648119095,-4.80886021249527,-41.7569384575508
185.08,-19.6271376960752,0.432664374646213,34.1952468066923,-0.820504241028122,17.5977646734481,-2.77906505598504,28.2265348734357,-20.8263528637333,62.6849695388048,-114.469507365019,-3.82959837333463,-41.6366813566077
185.085,-20.9545261861584,1.62658374639185,35.4445589101476,-0.599103169590188,18.5010416898446,-0.614096860856764,23.9248338247308,-23.9015733323136,65.9367838057576,-116.326988356044,-3.17194778116323,-41.449795115716
185.09,-22.2706059344074,2.63871689383599,36.557106197119,-0.439499790395059,19.4716042435288,1.69852560981351,19.1885945838426,-26.6482077460955,68.3046293479886,-116.686596740694,-2.78673327460451,-41.2071489982483
185.095,-23.5629714855854,3.43069624897342,37.5347735365795,-0.358542831202528,20.4974667980835,4.10650783344715,14.0533629085077,-29.0119261856794,69.7392543639154,-115.586890633771,-2.62279526213359,-40.9214423575032
