time,left,right
185,1,1
185.005,1,1
185.01,1,1
185.015,1,1
185.02,1,1
185.025,1,1
185.03,1,1
185.035,1,1
185.04,1,1
185.045,1,1
185.05,1,1
185.055,1,1
185.06,1,1
185.065,1,1
185.07,1,1
185.075,1,1
185.08,1,1
185.085,1,1
185.09,1,1
185.095,1,1
185.1,1,1
185.105,1,1
185.11,1,1
185.115,1,1
185.12,1,1
185.125,1,1
185.13,1,1
185.135,1,1
185.14,1,1
185.145,1,1
185.15,1,1
185.155,1,1
185.16,1,1
185.165,1,1
185.17,1,1
185.175,1,1
185.18,1,1
185.185,1,1
185.19,1,1
185.195,1,1
185.2,1,1
185.205,1,1
185.21,1,1
185.215,1,1
185.22,1,1
185.225,1,1
185.23,1,1
185.235,1,1
185.24,1,1
185.245,1,1
185.25,1,1
185.255,1,1
185.26,1,1
185.265,1,1
185.27,1,1
185.275,1,1
185.28,1,1
185.285,1,1
185.29,1,1
185.295,1,1
185.3,1,1
185.305,1,1
185.31,1,1
185.315,1,1
185.32,1,1
185.325,1,1
185.33,1,1
185.335,1,1
185.34,1,1
185.345,1,1
185.35,1,1
185.355,1,1
185.36,1,1
185.365,1,1
185.37,1,1
185.375,1,1
185.38,1,1
185.385,1,1
185.39,1,1
185.395,1,1
185.4,1,1
185.405,1,1
185.41,1,1
185.415,1,1
185.42,1,1
185.425,1,1
185.43,1,1
185.435,1,1
185.44,1,1
185.445,1,1
185.45,1,1
185.455,1,1
185.46,1,1
185.465,1,1
185.47,1,1
185.475,1,1
185.48,1,1
185.485,1,1
185.49,1,1
185.495,1,1
185.5,1,1
185.505,1,1
185.51,1,1
185.515,1,1
185.52,1,1
185.525,1,1
185.53,1,1
185.535,1,1
185.54,1,1
185.545,1,1
185.55,1,1
185.555,1,1
185.56,1,1
185.565,1,1
185.57,1,1
185.575,1,1
185.58,1,1
185.585,1,1
185.59,1,1
185.595,1,1
185.6,1,1
185.605,1,1
185.61,1,1
185.615,1,1
185.62,1,1
185.625,1,1
185.63,1,1
185.635,1,1
185.64,1,1
185.645,1,1
185.65,1,1
185.655,1,1
185.66,1,1
185.665,1,1
185.67,1,1
185.675,1,1
185.68,1,1
185.685,1,1
185.69,1,1
185.695,1,1
185.7,1,1
185.705,1,1
185.71,1,1
185.715,1,1
185.72,1,1
185.725,1,1
185.73,1,1
185.735,1,1
185.74,1,1
