time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
155,-0.304732952369234,0.0621377805608182,0.0405296207369715,0.0721509215081723,-0.00236587844363027,0.000648756394988068,0.270083651338016,0.298705397155097,0.0463307056681758,-0.0326850524865979,0.123788567421591,-0.000593509387179576
155.005,-0.297135284583864,0.0665655861756569,0.0353004797639483,0.0631246225150239,-0.00354907118578716,0.00105983836044897,0.293234490154127,0.270318046674779,0.0440080477752832,0.00785047884493403,0.122959873789584,9.1505618083442e-07
155.01,-0.28928747519917,0.0713134620331033,0.0298895809871923,0.0530468146594612,-0.00452615166188746,0.00145516234216982,0.312184309439029,0.240145137251934,0.0410806131259149,0.0447994118867112,0.117898408340389,0.000646121715073766
155.015,-0.28156959418076,0.0764150732499559,0.0243422332094783,0.0421888634870261,-0.00528863801898933,0.0018359604029334,0.32655500637348,0.208790458217789,0.0376260457170012,0.0767441642788019,0.109422816496733,0.00129321201116509
155.02,-0.274147103668295,0.0818989144145254,0.0187077918991965,0.0301861986602882,-0.00583837923828135,0.00220371236962468,0.335585082637164,0.176829465717805,0.0337301663870662,0.104528204847026,0.0983382405831891,0.00189702108536344
155.025,-0.267281411083218,0.0877864031554127,0.0130387642483414,0.0170031621115084,-0.00618626559397791,0.00255999394407007,0.338896428812673,0.144796632497029,0.029484457765804,0.128057061869685,0.0854160095261684,0.00241753937790897
155.03,-0.261652189066998,0.0940900683829562,0.00738977520087104,0.00274815412961824,-0.00635071731270141,0.00290633411302933,0.335789464214593,0.113174779909667,0.0249835531230309,0.146882850565758,0.0713760343228332,0.0028210077359087
155.035,-0.257906734246178,0.100811952001303,0.00181641575334001,-0.0124524598853333,-0.00635603101117506,0.003244088541242,0.325716765303753,0.0823866889210675,0.0203227789029883,0.160655826784873,0.0568722670844272,0.00308067456909068
155.04,-0.255377507489422,0.107942335470396,-0.00362599886517224,-0.0288031925728156,-0.00623066171647272,0.00357433456242273,0.309667385165306,0.0527891909969548,0.0155957986506395,0.170371451690404,0.042481445635104,0.00317721826159786
155.045,-0.254216485056157,0.115458888505094,-0.00888372751704198,-0.0462493125417818,-0.00600551390238726,0.00389779207772888,0.287834528247749,0.0246698362170263,0.0108924036499214,0.176249670347787,0.0286952139292381,0.00309885089427634
155.05,-0.255003876332795,0.123326317050736,-0.0139059190208091,-0.0645820852157935,-0.00571230834022825,0.00421477319145176,0.260737049980404,-0.00175387101792941,0.00629649284157331,0.176220794127909,0.0159155853212374,0.00284113005019442
155.055,-0.257742887812397,0.131496562450587,-0.0186459022994914,-0.0837157688338018,-0.00538208304263936,0.00452516183028205,0.228784912222944,-0.0263327839675951,0.00188428137365156,0.170909410022336,0.00445360456906745,0.00240651390644533
155.06,-0.262037169152047,0.139909574724876,-0.0230624046997115,-0.103638788511429,-0.00504387658911963,0.0048284229821724,0.192340684768133,-0.0489821879165991,-0.0022772266649448,0.162728984734467,-0.0054690318617312,0.00180370091486047
