time,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r
120,-6.16359059,2.55824283,-10.81021007,-14.1065322,-18.50446105,4.79723156,32.06814858,-2.80991095,-13.97312079,-7.9835559,5.10178235,10.01387932
120.005,-6.25624423,2.79126377,-10.18863437,-15.54591291,-17.9597348,3.74780067,31.92584292,-2.87414747,-13.91525765,-6.47010413,4.4079439,10.5288389
120.01,-6.2986101,3.0427028,-9.38960494,-17.16519628,-17.53283024,2.15876006,31.75786401,-2.99289849,-13.79297095,-5.17825809,3.87668776,10.97675774
120.015,-6.27697286,3.21192709,-8.72720951,-18.99968302,-16.75258313,1.03752155,31.60627726,-3.02293009,-13.62355438,-4.10823945,3.34324659,11.26031676
120.02,-6.19069502,3.37870188,-7.93151291,-21.02234802,-16.17834937,-0.62836651,31.43767659,-3.08209474,-13.38110769,-3.26950793,2.92913931,11.35773877
120.025,-6.04537146,3.45018346,-7.30319934,-23.27049381,-15.16517905,-1.55190762,31.2699395,-3.04365773,-13.04314132,-2.67106275,2.61225086,11.41415153
120.03,-5.83661537,3.46426941,-6.62185177,-25.70394514,-14.29795873,-2.8311991,31.10208045,-2.97928155,-12.69160992,-2.32614649,2.3706125,11.17847278
120.035,-5.5673364,3.4023626,-6.02719999,-28.31011877,-13.30991326,-3.90362156,30.94382054,-2.84266264,-12.27321693,-2.20351646,2.26992807,10.89027101
120.04,-5.23252057,3.2341223,-5.44944477,-31.08342739,-12.44219179,-5.11679458,30.7809745,-2.63378085,-11.82421004,-2.2996447,2.19734977,10.21415085
120.045,-4.84009206,3.0122918,-4.98288351,-34.01448236,-11.42112936,-6.01685773,30.66014762,-2.37257384,-11.31960964,-2.67267603,2.31494918,9.64629623
120.05,-4.3957041,2.57996773,-4.56268812,-37.0891608,-10.54858016,-6.92826753,30.51208906,-1.93674461,-10.78284151,-3.19976452,2.29367702,8.45521776
120.055,-3.88624317,2.10632742,-4.23829381,-40.27416306,-9.5291538,-7.57936664,30.44108974,-1.45668868,-10.27290087,-4.01049091,2.50677521,7.4712901
120.06,-3.32947236,1.63168586,-3.90435367,-43.52826757,-8.50266839,-8.17648656,30.42102461,-0.98995727,-9.70846055,-5.07885982,3.03642479,6.7322289
120.065,-2.70054145,0.85334235,-3.64533682,-46.89296606,-7.54830545,-8.5821264,30.40380298,-0.28753048,-9.22745703,-6.26700789,3.34749986,5.50710271
120.07,-2.07390992,0.09485006,-3.43023873,-50.27214848,-6.58179953,-8.8253006,30.42346297,0.43130943,-8.71047381,-7.68550108,3.76279231,4.33178321
120.075,-1.38989207,-0.72064469,-3.22260151,-53.66430872,-5.68189009,-9.01528121,30.50350829,1.17954465,-8.27030794,-9.29249238,4.33770097,3.32199955
120.08,-0.68616366,-1.47630055,-3.03583612,-57.04915755,-4.79047304,-9.31537554,30.61869483,1.88272153,-7.82245476,-11.0734421,5.27083846,2.50753163
120.085,0.06363934,-2.44901716,-2.81603666,-60.39539059,-4.02205669,-9.13346619,30.76239522,2.74668505,-7.55563211,-12.96922169,5.71652724,1.58431089
120.09,0.783033,-3.20719118,-2.62493037,-63.66365638,-3.27249806,-9.19627833,30.9052975,3.44764926,-7.21530319,-15.01328417,6.62156332,0.87366521
120.095,1.61306956,-4.19552024,-2.39538711,-66.91669643,-2.45731441,-8.8101363,31.09949332,4.30800925,-7.1072258,-17.056908,7.26590462,0.1726859
120.1,2.3704589,-4.88215563,-2.19948166,-70.04056333,-1.79339195,-8.77775106,31.23749203,4.93042989,-6.88678094,-19.21070401,8.25108964,-0.38101604
120.105,3.22885375,-5.69188407,-1.9269104,-73.0833665,-1.06873849,-8.41875407,31.4028514,5.62894661,-6.85053002,-21.2929975,9.10286365,-0.79283706
120.11,4.09260949,-6.37925674,-1.67253057,-76.01747069,-0.39761745,-8.0698858,31.5440334,6.22853872,-6.81470615,-23.38288232,9.99613611,-1.12908773
