time_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_cmd_torque_nm,right_cmd_torque_nm,left_actual_torque_nm,right_actual_torque_nm
0.0000,-0.5315,-1.8500,-0.8156,-1.4502,0.0248,-0.0248,0.0000,0.1043
0.0100,-0.5535,-1.4838,-0.8376,-1.3892,0.0248,-0.0248,0.0000,0.1043
0.0200,-0.5700,-1.2396,-0.8486,-0.8398,0.0246,-0.0246,0.0000,0.1043
0.0300,-0.5919,-1.4838,-0.8651,-0.7788,0.0244,-0.0244,-0.0315,-0.0275
0.0400,-0.6139,-1.6669,-0.8815,-1.4502,0.0240,-0.0240,-0.0315,-0.0275
0.0500,-0.6359,-1.7279,-0.9035,-1.8774,0.0238,-0.0238,0.0080,-0.0104
0.0600,-0.6579,-1.6058,-0.9255,-1.6943,0.0237,-0.0237,-0.0165,0.0214
0.0700,-0.6798,-1.9110,-0.9420,-1.3892,0.0234,-0.0234,-0.0165,0.0214
0.0800,-0.7128,-2.8265,-0.9584,-1.3281,0.0228,-0.0228,-0.0165,0.0214
0.0900,-0.7512,-2.8265,-0.9694,-1.2061,0.0215,-0.0215,0.0000,-0.0226
0.1000,-0.7842,-2.9486,-0.9859,-1.1450,0.0202,-0.0202,0.0000,-0.0226
0.1100,-0.8227,-3.4369,-1.0024,-1.4502,0.0187,-0.0187,0.0197,-0.0317
0.1200,-0.8666,-3.8031,-1.0244,-1.8774,0.0171,-0.0171,0.0400,-0.0275
0.1300,-0.9160,-3.8031,-1.0463,-1.6943,0.0152,-0.0152,0.0400,-0.0275
0.1400,-0.9655,-4.4135,-1.0683,-1.6333,0.0132,-0.0132,0.0197,-0.0012
0.1500,-1.0149,-4.3524,-1.0903,-1.5723,0.0110,-0.0110,0.0197,-0.0012
0.1600,-1.0534,-3.7421,-1.1123,-1.4502,0.0091,-0.0091,0.0197,-0.0012
0.1700,-1.0918,-3.8031,-1.1342,-1.7554,0.0073,-0.0073,0.0306,-0.0275
0.1800,-1.1303,-3.4369,-1.1617,-1.3892,0.0058,-0.0058,0.0306,-0.0275
0.1900,-1.1577,-3.2538,-1.1727,-0.7788,0.0043,-0.0043,0.0306,-0.0275
0.2000,-1.1907,-3.1927,-1.1892,-1.1450,0.0028,-0.0028,0.0306,-0.0275
0.2100,-1.2346,-5.3290,-1.2166,-2.3047,0.0014,-0.0014,0.0306,-0.0275
0.2200,-1.3115,-9.4794,-1.2441,-2.4878,-0.0010,0.0010,0.0306,-0.0275
0.2300,-1.4379,-13.8739,-1.2716,-2.1826,-0.0055,0.0055,0.0306,-0.0275
0.2400,-1.6027,-17.8412,-1.2935,-1.7554,-0.0126,0.0126,0.0306,-0.0275
0.2500,-1.7675,-17.1088,-1.3100,-1.4502,-0.0216,0.0216,0.0306,-0.0275
0.2600,-1.8499,-8.6249,-1.3265,-1.5723,-0.0295,0.0295,0.0235,-0.0287
0.2700,-1.8279,-0.4462,-1.3485,-1.7554,-0.0336,0.0336,0.0235,-0.0287
0.2800,-1.8004,-0.8124,-1.3649,-1.8164,-0.0350,0.0350,0.0235,-0.0287
0.2900,-1.7675,2.7277,-1.3869,-1.6333,-0.0344,0.0344,-0.0080,-0.0287
0.3000,-1.6082,17.6813,-1.4089,-1.6333,-0.0288,0.0288,-0.0080,-0.0287
0.3100,-1.3720,22.2589,-1.4309,-1.8774,-0.0176,0.0176,0.0376,0.0012
0.3200,-1.2127,13.7750,-1.4528,-1.2061,-0.0049,0.0049,0.0376,0.0012
0.3300,-1.1193,9.1974,-1.4638,-1.0840,0.0066,-0.0066,0.0291,-0.0244
0.3400,-1.0369,8.2208,-1.4858,-1.8774,0.0174,-0.0174,-0.0141,0.0226
0.3500,-0.9765,5.2911,-1.5133,-2.2437,0.0271,-0.0271,-0.0141,0.0226
0.3600,-0.9435,2.2394,-1.5407,-2.3657,0.0353,-0.0353,-0.0141,0.0226
0.3700,-0.9380,0.7135,-1.5737,-2.4268,0.0420,-0.0420,-0.0141,0.0226
0.3800,-0.9435,0.1031,-1.6011,-2.0605,0.0470,-0.0470,-0.0141,0.0226
0.3900,-0.9545,-1.7279,-1.6231,-1.7554,0.0508,-0.0508,-0.0141,0.0506
0.4000,-0.9820,-3.9252,-1.6451,-1.7554,0.0531,-0.0531,0.0071,0.0226
0.4100,-1.0259,-5.2679,-1.6671,-1.9385,0.0540,-0.0540,0.0071,0.0226
0.4200,-1.0753,-5.0848,-1.6945,-1.9995,0.0540,-0.0540,0.0071,0.0226
0.4300,-1.1193,-4.2303,-1.7165,-1.7554,0.0534,-0.0534,0.0414,0.0043
0.4400,-1.1632,-3.7421,-1.7330,-1.6333,0.0522,-0.0522,0.0414,0.0043
0.4500,-1.2017,-3.6200,-1.7550,-1.4502,0.0509,-0.0509,0.0400,-0.0226
0.4600,-1.2401,-3.6810,-1.7714,-1.3281,0.0494,-0.0494,0.0400,-0.0226
0.4700,-1.2786,-3.0707,-1.7934,-1.5112,0.0479,-0.0479,0.0423,-0.0506
0.4800,-1.3115,-2.1552,-1.8209,-1.8164,0.0468,-0.0468,0.0423,-0.0506
0.4900,-1.3390,-1.7279,-1.8483,-1.8164,0.0460,-0.0460,0.0423,-0.0506
0.5000,-1.3555,-1.1786,-1.8703,-1.6943,0.0456,-0.0456,0.0423,-0.0506
0.5100,-1.3665,-1.4227,-1.9033,-1.8774,0.0460,-0.0460,0.0587,-0.0488
0.5200,-1.3885,-2.0331,-1.9307,-1.9385,0.0464,-0.0464,0.0470,-0.0610
0.5300,-1.4159,-3.0096,-1.9582,-1.4502,0.0467,-0.0467,0.0470,-0.0610
0.5400,-1.4544,-3.3148,-1.9802,-1.0840,0.0464,-0.0464,0.0197,-0.0317
0.5500,-1.4873,-2.9486,-2.0021,-1.5112,0.0459,-0.0459,0.0197,-0.0317
0.5600,-1.5203,-2.6434,-2.0351,-2.6099,0.0456,-0.0456,0.0484,-0.0244
0.5700,-1.5532,-2.9486,-2.0736,-3.4644,0.0455,-0.0455,0.0484,-0.0244
0.5800,-1.5862,-3.3759,-2.1065,-2.6709,0.0455,-0.0455,0.0484,-0.0244
0.5900,-1.6247,-3.6810,-2.1230,-0.6567,0.0448,-0.0448,0.0033,-0.0549
0.6000,-1.6686,-3.8641,-2.1340,-0.4736,0.0434,-0.0434,0.0033,-0.0549
0.6100,-1.7125,-3.6200,-2.1450,-1.0229,0.0415,-0.0415,0.0414,-0.0537
0.6200,-1.7510,-2.7655,-2.1724,-2.1826,0.0400,-0.0400,0.0414,-0.0537
0.6300,-1.7785,-2.4603,-2.1999,-2.9150,0.0389,-0.0389,0.0414,-0.0537
0.6400,-1.8114,-2.7045,-2.2329,-2.6709,0.0382,-0.0382,0.0414,-0.0537
0.6500,-1.8444,-2.0331,-2.2548,-1.6333,0.0374,-0.0374,0.0414,-0.0336
0.6600,-1.8609,-0.9344,-2.2658,-0.2295,0.0367,-0.0367,0.0414,-0.0336
0.6700,-1.8719,-0.0189,-2.2713,0.1978,0.0361,-0.0361,0.0757,-0.0348
0.6800,-1.8773,-0.0800,-2.2823,-0.4736,0.0358,-0.0358,0.0531,-0.0476
0.6900,-1.8938,-1.4227,-2.2988,-0.7178,0.0357,-0.0357,0.0531,-0.0476
0.7000,-1.9213,-2.7655,-2.3153,-0.5347,0.0352,-0.0352,0.0578,-0.0598
0.7100,-1.9597,-3.8031,-2.3317,-0.7788,0.0343,-0.0343,0.0437,-0.0317
0.7200,-1.9982,-3.3148,-2.3537,-1.4502,0.0332,-0.0332,0.0437,-0.0317
0.7300,-2.0202,-1.2396,-2.3757,-1.6943,0.0325,-0.0325,0.0437,-0.0317
0.7400,-2.0202,0.5914,-2.3977,-1.0229,0.0326,-0.0326,0.0437,-0.0317
0.7500,-2.0202,0.7745,-2.4086,0.2588,0.0330,-0.0330,0.0733,-0.0537
0.7600,-2.0202,-0.2020,-2.4086,0.9912,0.0333,-0.0333,0.0564,-0.0506
0.7700,-2.0366,-1.6669,-2.4086,0.3198,0.0330,-0.0330,0.0564,-0.0506
0.7800,-2.0641,-2.5824,-2.4251,-1.6333,0.0325,-0.0325,0.0564,-0.0506
0.7900,-2.0971,-3.0707,-2.4526,-2.5488,0.0320,-0.0320,0.0484,-0.0348
0.8000,-2.1300,-2.5824,-2.4746,-1.1450,0.0314,-0.0314,0.0484,-0.0348
0.8100,-2.1520,-1.5448,-2.4746,0.6250,0.0303,-0.0303,0.0244,-0.0287
0.8200,-2.1685,-0.9955,-2.4691,0.9302,0.0289,-0.0289,0.0244,-0.0287
0.8300,-2.1795,-0.9955,-2.4746,-0.1074,0.0279,-0.0279,0.0244,-0.0287
0.8400,-2.2014,-1.3007,-2.4910,-1.0229,0.0270,-0.0270,0.0244,-0.0287
0.8500,-2.2234,-1.6669,-2.5075,-0.7788,0.0263,-0.0263,0.0367,-0.0122
0.8600,-2.2509,-1.8500,-2.5185,-0.1685,0.0253,-0.0253,0.0367,-0.0122
0.8700,-2.2729,-1.8500,-2.5295,0.1367,0.0243,-0.0243,0.0367,-0.0122
0.8800,-2.2948,-1.4838,-2.5350,-0.0464,0.0232,-0.0232,0.0367,-0.0122
0.8900,-2.3113,-0.9344,-2.5460,-0.2295,0.0223,-0.0223,0.0353,-0.0287
0.9000,-2.3278,-0.5682,-2.5570,-0.2295,0.0215,-0.0215,0.0056,-0.0378
0.9100,-2.3388,-0.5072,-2.5679,0.3198,0.0210,-0.0210,0.0056,-0.0378
0.9200,-2.3443,-0.3851,-2.5625,0.9302,0.0204,-0.0204,0.0056,-0.0378
0.9300,-2.3552,-0.4462,-2.5625,0.5029,0.0196,-0.0196,0.0056,-0.0378
0.9400,-2.3662,-0.4462,-2.5679,0.2588,0.0189,-0.0189,0.0056,-0.0378
0.9500,-2.3772,-0.3851,-2.5734,0.3809,0.0183,-0.0183,0.0390,-0.0287
0.9600,-2.3882,-0.2631,-2.5844,0.2588,0.0179,-0.0179,0.0188,-0.0195
0.9700,-2.3992,-0.2020,-2.5899,0.2588,0.0175,-0.0175,0.0188,-0.0195
0.9800,-2.4047,-0.0189,-2.5954,0.3809,0.0172,-0.0172,0.0188,-0.0195
0.9900,-2.4102,0.1642,-2.6009,0.4419,0.0170,-0.0170,0.0188,-0.0195
1.0000,-2.4157,0.2863,-2.6064,0.3809,0.0169,-0.0169,0.0188,-0.0195
1.0100,-2.4157,0.4083,-2.6064,0.4419,0.0168,-0.0168,-0.0071,-0.0195
1.0200,-2.4212,0.4083,-2.6119,0.5640,0.0167,-0.0167,-0.0071,-0.0195
1.0300,-2.4212,0.4083,-2.6119,0.7471,0.0167,-0.0167,-0.0009,-0.0287
1.0400,-2.4212,0.5914,-2.6119,0.8081,0.0167,-0.0167,0.0188,-0.0104
