time_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_cmd_torque_nm,right_cmd_torque_nm,left_actual_torque_nm,right_actual_torque_nm
0.0000,0.4132,-2.1243,-0.0638,-2.8720,0.0416,-0.0416,-0.0009,-0.0000
0.0100,0.3912,-2.6736,-0.0803,-2.5668,0.0415,-0.0415,0.0150,-0.0000
0.0200,0.3528,-4.0164,-0.1022,-3.1772,0.0409,-0.0409,0.0150,-0.0000
0.0300,0.3088,-4.8709,-0.1187,-2.8720,0.0397,-0.0397,0.0150,-0.0000
0.0400,0.2649,-4.5047,-0.1352,-2.2006,0.0381,-0.0381,0.0150,-0.0000
0.0500,0.2319,-2.8568,-0.1407,-1.8344,0.0363,-0.0363,-0.0150,-0.0000
0.0600,0.2154,-1.5750,-0.1517,-2.5668,0.0349,-0.0349,-0.0150,-0.0000
0.0700,0.2154,0.0119,-0.1736,-3.3603,0.0346,-0.0346,-0.0150,-0.0000
0.0800,0.2374,1.4157,-0.1956,-3.4824,0.0356,-0.0356,-0.0009,-0.0275
0.0900,0.2649,1.6599,-0.2121,-3.4824,0.0376,-0.0376,0.0423,-0.0458
0.1000,0.2868,1.3547,-0.2286,-2.8110,0.0400,-0.0400,0.0423,-0.0458
0.1100,0.3088,1.4767,-0.2341,-1.5903,0.0425,-0.0425,0.0851,-0.0732
0.1200,0.3363,1.5988,-0.2341,-1.4682,0.0449,-0.0449,0.0851,-0.0732
0.1300,0.3528,1.2936,-0.2396,-2.0786,0.0471,-0.0471,0.0851,-0.0732
0.1400,0.3747,2.0261,-0.2505,-2.1396,0.0496,-0.0496,-0.0291,-0.0275
0.1500,0.4077,3.1247,-0.2505,-1.2851,0.0522,-0.0522,-0.0291,-0.0275
0.1600,0.4352,2.2092,-0.2505,-1.2241,0.0547,-0.0547,0.0197,-0.0348
0.1700,0.4516,0.8664,-0.2560,-1.1020,0.0570,-0.0570,0.0197,-0.0348
0.1800,0.4626,0.9885,-0.2451,0.1797,0.0586,-0.0586,0.0494,-0.0549
0.1900,0.4736,1.6599,-0.2286,0.9732,0.0595,-0.0595,0.0494,-0.0549
0.2000,0.4846,1.7209,-0.2121,1.0953,0.0599,-0.0599,0.0282,-0.0476
0.2100,0.4956,1.9650,-0.2011,1.0953,0.0602,-0.0602,0.0282,-0.0476
0.2200,0.5121,2.3923,-0.1846,0.9732,0.0604,-0.0604,0.0494,-0.0378
0.2300,0.5230,1.0495,-0.1736,1.6446,0.0605,-0.0605,0.0494,-0.0378
0.2400,0.5176,-0.7816,-0.1517,2.4991,0.0598,-0.0598,-0.0009,-0.0275
0.2500,0.4956,-1.8802,-0.1352,2.6212,0.0583,-0.0583,-0.0009,-0.0275
0.2600,0.4681,-1.8192,-0.1187,2.8043,0.0559,-0.0559,0.0282,-0.0366
0.2700,0.4461,-1.2088,-0.1077,2.8653,0.0534,-0.0534,0.0282,-0.0366
0.2800,0.4352,-0.4153,-0.1022,1.9498,0.0513,-0.0513,0.0282,-0.0366
0.2900,0.4297,0.3171,-0.1022,1.7056,0.0497,-0.0497,0.0282,-0.0732
0.3000,0.4242,-0.0491,-0.1022,1.3394,0.0484,-0.0484,0.0282,-0.0732
0.3100,0.4132,-1.0867,-0.1022,0.7901,0.0473,-0.0473,0.0282,-0.0732
0.3200,0.3967,-0.6595,-0.1077,0.7291,0.0462,-0.0462,0.0564,-0.0732
0.3300,0.3967,0.8054,-0.1022,1.0342,0.0453,-0.0453,0.0564,-0.0732
0.3400,0.4022,0.9274,-0.0967,0.7291,0.0447,-0.0447,0.0696,-0.0549
0.3500,0.3967,-0.4153,-0.1022,-0.6747,0.0443,-0.0443,0.0696,-0.0549
0.3600,0.3802,-1.6971,-0.1022,-0.0644,0.0436,-0.0436,0.0696,-0.0549
0.3700,0.3582,-1.8192,-0.0912,0.6680,0.0422,-0.0422,0.0696,-0.0549
0.3800,0.3473,-0.5984,-0.0912,-0.0644,0.0409,-0.0409,0.0696,-0.0549
0.3900,0.3473,0.6833,-0.0912,0.4239,0.0400,-0.0400,0.0696,-0.0549
0.4000,0.3582,1.1105,-0.0803,0.6680,0.0394,-0.0394,0.0367,-0.0458
0.4100,0.3637,0.6223,-0.0748,0.3018,0.0391,-0.0391,0.0696,-0.0549
0.4200,0.3637,-1.0867,-0.0693,0.1187,0.0386,-0.0386,0.0696,-0.0549
0.4300,0.3418,-2.1854,-0.0748,-0.4916,0.0379,-0.0379,0.0696,-0.0549
0.4400,0.3198,-2.3685,-0.0693,0.6680,0.0366,-0.0366,0.0696,-0.0549
0.4500,0.2978,-2.2464,-0.0638,0.8511,0.0349,-0.0349,0.0635,-0.0549
0.4600,0.2704,-2.1243,-0.0638,-0.0034,0.0330,-0.0330,0.0635,-0.0549
0.4700,0.2429,-2.1243,-0.0803,-1.3461,0.0314,-0.0314,0.0635,-0.0549
0.4800,0.2209,-2.0633,-0.0912,-0.4916,0.0301,-0.0301,0.0635,-0.0549
0.4900,0.1935,-1.6360,-0.0967,-0.4916,0.0285,-0.0285,0.0635,-0.0549
0.5000,0.1770,-1.2698,-0.0967,-0.4306,0.0270,-0.0270,0.0282,-0.0275
0.5100,0.1605,-1.1478,-0.0967,0.4849,0.0255,-0.0255,0.0484,-0.0366
0.5200,0.1440,-1.1478,-0.0858,0.7291,0.0237,-0.0237,0.0484,-0.0366
0.5300,0.1275,-1.2088,-0.0803,0.4849,0.0219,-0.0219,0.0484,-0.0366
0.5400,0.1111,-0.5984,-0.0858,-0.4306,0.0203,-0.0203,0.0212,-0.0476
0.5500,0.1056,0.0119,-0.0803,0.3629,0.0190,-0.0190,0.0212,-0.0476
0.5600,0.0946,-0.2933,-0.0693,1.2784,0.0174,-0.0174,0.0150,-0.0366
0.5700,0.0836,-0.6595,-0.0638,-0.0034,0.0159,-0.0159,0.0150,-0.0092
0.5800,0.0671,-1.0257,-0.0693,0.0577,0.0146,-0.0146,0.0150,-0.0092
0.5900,0.0451,-1.5750,-0.0693,0.5460,0.0131,-0.0131,-0.0056,-0.0366
0.6000,0.0232,-1.7581,-0.0693,-0.1254,0.0114,-0.0114,-0.0056,-0.0366
0.6100,0.0067,-1.3919,-0.0693,0.4849,0.0098,-0.0098,0.0484,-0.0195
0.6200,-0.0098,-0.8426,-0.0748,-0.0644,0.0085,-0.0085,0.0484,-0.0195
0.6300,-0.0153,-0.4153,-0.0748,-0.1254,0.0074,-0.0074,0.0484,-0.0195
0.6400,-0.0208,-0.2322,-0.0803,-0.1865,0.0067,-0.0067,0.0484,-0.0195
0.6500,-0.0263,-0.2322,-0.0858,-1.0410,0.0062,-0.0062,0.0000,0.0183
0.6600,-0.0263,-0.0491,-0.0912,-1.1630,0.0060,-0.0060,0.0000,0.0183
0.6700,-0.0263,0.2560,-0.0912,-0.5527,0.0059,-0.0059,0.0000,0.0183
0.6800,-0.0208,0.6223,-0.0912,-0.3696,0.0060,-0.0060,0.0000,0.0183
0.6900,-0.0153,0.9885,-0.0803,-0.1865,0.0059,-0.0059,0.0000,0.0183
0.7000,-0.0043,1.4157,-0.0803,-1.0410,0.0061,-0.0061,0.0127,-0.0073
0.7100,0.0067,1.8430,-0.0803,-1.1020,0.0066,-0.0066,0.0127,-0.0073
0.7200,0.0232,1.7209,-0.0858,-1.5292,0.0076,-0.0076,0.0127,-0.0073
0.7300,0.0396,1.4157,-0.0803,-1.1630,0.0085,-0.0085,-0.0564,-0.0012
0.7400,0.0561,1.0495,-0.0748,-0.8578,0.0095,-0.0095,-0.0564,-0.0012
0.7500,0.0671,0.9885,-0.0638,-0.6137,0.0101,-0.0101,-0.0564,-0.0012
0.7600,0.0836,1.2936,-0.0583,-0.7968,0.0109,-0.0109,-0.0564,-0.0012
0.7700,0.1056,1.6599,-0.0418,0.0577,0.0115,-0.0115,-0.0564,-0.0012
0.7800,0.1385,2.3312,-0.0253,-0.9799,0.0124,-0.0124,0.0188,-0.0031
0.7900,0.1715,2.5754,-0.0253,-2.8720,0.0140,-0.0140,0.0000,-0.0031
0.8000,0.1989,1.9040,-0.0363,-3.0551,0.0162,-0.0162,0.0000,-0.0031
0.8100,0.2209,1.7819,-0.0253,-0.3085,0.0179,-0.0179,0.0000,-0.0305
0.8200,0.2539,2.3923,-0.0034,0.1187,0.0194,-0.0194,0.0000,-0.0305
0.8300,0.2868,1.5988,0.0131,-0.8578,0.0209,-0.0209,0.0071,-0.0031
0.8400,0.3033,0.9885,0.0131,-1.4682,0.0223,-0.0223,0.0071,-0.0031
0.8500,0.3308,1.9040,0.0186,-1.4682,0.0240,-0.0240,-0.0080,-0.0031
0.8600,0.3637,2.2092,0.0186,-1.6513,0.0260,-0.0260,-0.0080,-0.0031
0.8700,0.3912,1.8430,0.0186,-1.2241,0.0281,-0.0281,-0.0080,-0.0031
0.8800,0.4132,1.2326,0.0351,0.1187,0.0297,-0.0297,0.0000,0.0031
0.8900,0.4297,0.6223,0.0461,-0.0034,0.0310,-0.0310,0.0000,0.0031
0.9000,0.4461,0.6223,0.0571,-0.0034,0.0320,-0.0320,-0.0141,-0.0165
0.9100,0.4626,0.6223,0.0626,0.0577,0.0329,-0.0329,0.0212,-0.0506
0.9200,0.4791,0.8054,0.0681,0.4849,0.0339,-0.0339,0.0282,0.0043
0.9300,0.4956,0.9274,0.0790,1.0953,0.0347,-0.0347,0.0282,0.0043
0.9400,0.5121,1.2326,0.0845,0.5460,0.0356,-0.0356,0.0282,0.0043
0.9500,0.5285,1.3547,0.0845,0.2408,0.0366,-0.0366,0.0282,0.0043
0.9600,0.5450,1.0495,0.0955,1.5836,0.0375,-0.0375,0.0282,0.0043
0.9700,0.5505,0.4391,0.1120,1.8277,0.0377,-0.0377,0.0282,0.0043
0.9800,0.5505,-0.4764,0.1285,2.3770,0.0374,-0.0374,0.0494,0.0031
0.9900,0.5395,-0.9036,0.1450,2.7432,0.0364,-0.0364,0.0494,0.0031
1.0000,0.5230,-0.9647,0.1614,3.2925,0.0348,-0.0348,0.0494,0.0031
1.0100,0.5121,-1.1478,0.1834,3.4756,0.0328,-0.0328,0.0494,0.0031
1.0200,0.4956,-0.9036,0.1889,3.0484,0.0308,-0.0308,0.0071,-0.0244
1.0300,0.4791,-0.7205,0.1999,2.9874,0.0287,-0.0287,0.0071,-0.0244
1.0400,0.4681,-0.4764,0.2109,2.8653,0.0266,-0.0266,0.0484,-0.0305
1.0500,0.4571,-0.5984,0.2274,4.3912,0.0245,-0.0245,0.0484,-0.0305
1.0600,0.4352,-1.0867,0.2493,4.5743,0.0217,-0.0217,0.0150,-0.0580
1.0700,0.4132,-1.4529,0.2658,4.3912,0.0188,-0.0188,0.0150,-0.0580
1.0800,0.3857,-1.6360,0.2823,3.5367,0.0156,-0.0156,0.0150,-0.0580
1.0900,0.3473,-2.0633,0.2878,3.4146,0.0122,-0.0122,0.0484,0.0031
1.1000,0.3088,-2.4295,0.3043,4.8184,0.0083,-0.0083,0.0484,0.0031
1.1100,0.2704,-2.5516,0.3207,4.8184,0.0041,-0.0041,0.0484,0.0031
1.1200,0.2209,-3.0399,0.3372,4.8184,-0.0006,0.0006,0.0268,-0.0244
1.1300,0.1715,-3.6502,0.3537,5.2457,-0.0056,0.0056,0.0268,-0.0244
1.1400,0.1165,-3.9554,0.3757,5.3067,-0.0112,0.0112,0.0259,0.0287
1.1500,0.0616,-3.9554,0.3976,5.3067,-0.0172,0.0172,0.0259,0.0287
1.1600,0.0067,-3.8943,0.4141,4.8795,-0.0233,0.0233,0.0033,-0.0031
1.1700,-0.0428,-3.4671,0.4251,4.8184,-0.0290,0.0290,0.0033,-0.0031
1.1800,-0.0867,-2.5516,0.4471,5.0015,-0.0348,0.0348,0.0033,-0.0031
1.1900,-0.1197,-1.2088,0.4636,4.8795,-0.0401,0.0401,0.0033,-0.0031
1.2000,-0.1416,0.0729,0.4800,4.0250,-0.0448,0.0448,-0.0127,-0.0031
1.2100,-0.1581,0.5002,0.4965,5.1846,-0.0489,0.0489,-0.0127,-0.0031
1.2200,-0.1911,-1.2088,0.5185,5.6729,-0.0532,0.0532,-0.0127,-0.0031
1.2300,-0.2515,-4.8099,0.5405,5.8560,-0.0584,0.0584,-0.0033,-0.0031
1.2400,-0.3394,-7.9227,0.5679,5.8560,-0.0653,0.0653,-0.0033,-0.0031
1.2500,-0.4492,-9.3875,0.5899,4.9405,-0.0736,0.0736,-0.0033,-0.0031
1.2600,-0.5481,-7.9837,0.6064,4.4522,-0.0826,0.0826,-0.0009,-0.0031
1.2700,-0.6195,-4.8099,0.6284,4.8184,-0.0913,0.0913,-0.0625,0.0226
1.2800,-0.6635,-1.8192,0.6503,4.2691,-0.0990,0.0990,-0.0625,0.0226
1.2900,-0.6909,-0.0491,0.6668,3.6588,-0.1054,0.1054,-0.0625,0.0226
1.3000,-0.7184,-0.8426,0.6833,4.0250,-0.1110,0.1110,-0.0150,0.0317
1.3100,-0.7569,-2.6736,0.7053,4.6353,-0.1165,0.1165,-0.0150,0.0317
1.3200,-0.8228,-5.7864,0.7272,4.5743,-0.1227,0.1227,-0.0733,0.0226
1.3300,-0.9162,-8.1058,0.7437,3.9639,-0.1300,0.1300,-0.0898,0.0793
1.3400,-1.0150,-8.1058,0.7492,3.0484,-0.1379,0.1379,-0.1100,0.0982
1.3500,-1.1084,-7.3734,0.7547,2.8043,-0.1460,0.1460,-0.1100,0.0982
1.3600,-1.1963,-6.5799,0.7602,2.6822,-0.1542,0.1542,-0.1100,0.0982
1.3700,-1.2842,-7.9227,0.7602,1.2784,-0.1622,0.1622,-0.1100,0.0982
1.3800,-1.3776,-7.9837,0.7492,0.1187,-0.1699,0.1699,-0.1029,0.0982
1.3900,-1.4545,-6.0306,0.7382,-0.3085,-0.1770,0.1770,-0.1429,0.1257
1.4000,-1.5094,-4.0164,0.7217,-1.5292,-0.1828,0.1828,-0.1429,0.1257
1.4100,-1.5534,-3.0399,0.6998,-2.3837,-0.1874,0.1874,-0.1429,0.1257
1.4200,-1.5918,-2.8568,0.6723,-3.4824,-0.1907,0.1907,-0.1429,0.1257
1.4300,-1.6248,-2.7957,0.6503,-3.7875,-0.1933,0.1933,-0.1429,0.1257
1.4400,-1.6577,-2.7957,0.6229,-4.2148,-0.1952,0.1952,-0.1631,0.0982
