time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
64.01,NaN,NaN,NaN,NaN,NaN,NaN,0.436174995260836,-0.0063900528517958,-0.0284921554718661,-0.0719981366196978,0.0276975992626261,-0.000246306603313222
64.015,NaN,NaN,NaN,NaN,NaN,NaN,0.34986402919572,0.00346923192788757,-0.0253901235555589,-0.10374018799746,0.0243145354478239,-0.000118788089479883
64.02,NaN,NaN,NaN,NaN,NaN,NaN,0.264780386967726,0.0129219815000361,-0.0221524339699341,-0.134867704034314,0.0209896093656705,-2.47202011193469e-05
64.025,NaN,NaN,NaN,NaN,NaN,NaN,0.181835231296702,0.0218150971832075,-0.0187898039076156,-0.165057577365492,0.0177658948176837,2.69549395422338e-05
64.03,NaN,NaN,NaN,NaN,NaN,NaN,0.101916076847571,0.0300019471459798,-0.0153160598476227,-0.19400253783183,0.0146857184864861,2.77579249455706e-05
64.035,NaN,NaN,NaN,NaN,NaN,NaN,0.0258676872166098,0.0373467324834583,-0.0117486219397564,-0.22141816561803,0.0117896135634895,-2.99489428638665e-05
64.04,NaN,NaN,NaN,NaN,NaN,NaN,-0.0455265873294988,0.043728866709233,-0.00810897295807661,-0.247049460207775,0.00911525405886273,-0.000152564254154507
64.045,NaN,NaN,NaN,NaN,NaN,NaN,-0.111562548576776,0.0490472324162118,-0.00442308132064316,-0.270676759349289,0.00669639302116574,-0.000344842791464507
64.05,NaN,NaN,NaN,NaN,NaN,NaN,-0.171631481063045,0.0532241680776732,-0.000721744014691539,-0.292120808347549,0.00456182868424344,-0.000609495961565723
64.055,NaN,NaN,NaN,NaN,NaN,NaN,-0.225234601812243,0.0562090312997875,0.00295918713422943,-0.311246792565316,0.00273442273548206,-0.000946810802653832
64.06,NaN,NaN,NaN,NaN,NaN,NaN,-0.271995182344745,0.0579811832069688,0.00657873323850216,-0.327967165463294,0.00123019440638611,-0.00135430162213511
64.065,NaN,NaN,NaN,NaN,NaN,NaN,-0.31166793795005,0.0585522428139042,0.0100909065481237,-0.342243131057981,5.75128877432087e-05,-0.00182640847089337
64.07,NaN,NaN,NaN,NaN,NaN,NaN,-0.344145336851444,0.0579674707905693,0.0134450524031609,-0.35408467326348,-0.000783591344456092,-0.00235425629701619
64.075,NaN,NaN,NaN,NaN,NaN,NaN,-0.369460555072509,0.0563061592913972,0.0165864430685617,-0.363549064825014,-0.00130197832442037,-0.00292548771014361
64.08,NaN,NaN,NaN,NaN,NaN,NaN,-0.387786890413239,0.0536809285433351,0.0194571442146325,-0.370737834705707,-0.00151579882123991,-0.00352418081083325
64.085,NaN,NaN,NaN,NaN,NaN,NaN,-0.399433549054871,0.0502358614007247,0.0219971653659923,-0.375792223743423,-0.00145273215933807,-0.0041308615037164
64.09,NaN,NaN,NaN,NaN,NaN,NaN,-0.404837828262,0.0461434434767988,0.0241458943327041,-0.378887212677273,-0.00115005513660618,-0.00472261714910758
64.095,NaN,NaN,NaN,NaN,NaN,NaN,-0.404553835044323,0.0416003178166779,0.0258438027795265,-0.380224262443491,-0.000654540218659797,-0.00527331537110731
64.1,NaN,NaN,NaN,NaN,NaN,NaN,-0.399237999457098,0.036821908127268,0.0270343961133767,-0.380022961858421,-2.21860412746685e-05,-0.00575392841322233
64.105,NaN,NaN,NaN,NaN,NaN,NaN,-0.389631757936588,0.0320360117719455,0.0276663663075644,-0.378511830120356,0.000682211905305047,-0.00613295972287683
64.11,NaN,NaN,NaN,NaN,NaN,NaN,-0.376541891819157,0.027475511264869,0.0276958917547536,-0.375918568512547,0.00138563791643344,-0.0063769655856509
64.115,NaN,NaN,NaN,NaN,NaN,NaN,-0.360819103959481,0.0233703988551185,0.0270890144390749,-0.372460094779776,0.00200756336912476,-0.00645116077148201
64.12,NaN,NaN,NaN,NaN,NaN,NaN,-0.343335497177729,0.0199393508388248,0.0258240123776694,-0.368332722459348,0.00246076450656827,-0.00632009346797026
64.125,NaN,NaN,NaN,NaN,NaN,NaN,-0.32496167744327,0.0173811242928039,0.0238936751578715,-0.363702863750453,0.00265222794588772,-0.00594837144081227
64.13,NaN,NaN,NaN,NaN,NaN,NaN,-0.306544238082114,0.0158660768419362,0.0213073832295846,-0.358698636405147,0.00248411965734294,-0.00530141856218928
64.135,NaN,NaN,NaN,NaN,NaN,NaN,-0.288884385486921,0.0155281278504303,0.0180928880960716,-0.353402741175016,0.00185479296578842,-0.00434623876292801
64.14,NaN,NaN,NaN,NaN,NaN,NaN,-0.272718439444506,0.0164574853045175,0.0142976912872856,-0.347846945685278,0.000659812346037141,-0.00305216325522696
64.145,NaN,NaN,NaN,NaN,NaN,NaN,-0.258700881180685,0.0186944552241517,0.00998992547968532,-0.342008463067081,-0.00120702751794632,-0.00139155667244836
64.15,NaN,NaN,NaN,NaN,NaN,NaN,-0.247390529974006,0.0222246287589418,0.00525865166189516,-0.335808449901059,-0.00385270379865353,0.000659541329598413
64.155,NaN,NaN,NaN,NaN,NaN,NaN,-0.239240306872119,0.0269757058128722,0.000213501949169167,-0.329112769553084,-0.00738399967421721,0.00312086043895363
64.16,NaN,NaN,NaN,NaN,NaN,NaN,-0.234590895778749,0.032816163400678,-0.00501638160846467,-0.321735076335259,-0.0119065751063176,0.00600744834099922
64.165,NaN,NaN,NaN,NaN,NaN,NaN,-0.233668444214939,0.0395559130488873,-0.0102841365159536,-0.313442176659889,-0.0175240718732916,0.00932933792186823
64.17,NaN,NaN,NaN,NaN,NaN,NaN,-0.236586266808016,0.0469490164332785,-0.0154276926987267,-0.303961520128164,-0.0243372437098791,0.0130913425055336
64.175,NaN,NaN,NaN,NaN,NaN,NaN,-0.243350334329053,0.0546984452254032,-0.0202729719810979,-0.292990572069912,-0.0324430965274748,0.0172929833960045
64.18,NaN,NaN,NaN,NaN,NaN,NaN,-0.253868161319539,0.0624627841535656,-0.024637704691694,-0.280207726084814,-0.041934019438345,0.0219285486536667
64.185,NaN,NaN,NaN,NaN,NaN,NaN,-0.267960557350168,0.0698646909362903,-0.0283357625038854,-0.265284337574664,-0.0528968852436149,0.0269872768365702
64.19,NaN,NaN,NaN,NaN,NaN,NaN,-0.285375590525292,0.0765008488032965,-0.031181878917583,-0.24789740333723,-0.0654120994594226,0.032453654613524
64.195,NaN,NaN,NaN,NaN,NaN,NaN,-0.305804033994281,0.0819530821243707,-0.0329966069739146,-0.227742382474298,-0.0795525798462473,0.0383078128998555
64.2,NaN,NaN,NaN,NaN,NaN,NaN,-0.328895530464358,0.0858002573130457,-0.033611349471193,-0.204545652084827,-0.0953826535054074,0.0445260026426792
64.205,NaN,NaN,NaN,NaN,NaN,NaN,-0.354274715933649,0.0876305619765047,-0.0328732909165941,-0.178076116663958,-0.112956865441117,0.051081128720262
64.21,NaN,NaN,NaN,NaN,NaN,NaN,-0.381556588833371,0.0870537456489686,-0.0306500626479741,-0.148155539564346,-0.132318700459421,0.057943318706782
64.215,NaN,NaN,NaN,NaN,NaN,NaN,-0.410360488925239,0.0837129141009259,-0.0268339822145707,-0.114667233283615,-0.153499228759523,0.0650805025333233
64.22,NaN,NaN,NaN,NaN,NaN,NaN,-0.44032215475719,0.0772954937301913,-0.021345723959233,-0.0775628267883268,-0.176515694000117,0.0724589793592311
64.225,NaN,NaN,NaN,NaN,NaN,NaN,-0.471103451926659,0.0675430199537265,-0.0141372983618244,-0.0368669165497127,-0.201370070550655,0.0800439492484508
64.23,NaN,NaN,NaN,NaN,NaN,NaN,-0.502399499754887,0.0542594509019861,-0.00519424171886512,0.00732050201302053,-0.228047623778515,0.0877999895103584
64.235,NaN,NaN,NaN,NaN,NaN,NaN,-0.533943064717897,0.0373177625147972,0.00546305599341795,0.0548238389356477,-0.2565155134362,0.0956914587923085
