time,fp_l_force_x,fp_l_force_y,fp_l_force_z,fp_l_cop_x,fp_l_cop_y,fp_l_cop_z,fp_r_force_x,fp_r_force_y,fp_r_force_z,fp_r_cop_x,fp_r_cop_y,fp_r_cop_z
71.795,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.8,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.805,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.81,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.815,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.82,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.825,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.83,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.835,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.84,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.845,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.85,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.855,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.86,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.865,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.87,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.875,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.88,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.885,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.89,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.895,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.9,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.905,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.91,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.915,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.92,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.925,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.93,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.935,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.94,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
71.945,NaN,NaN,NaN,NaN,NaN,NaN,-0.5446947,0,2.104495,-5.100165,0.8079285,-1.057592
71.95,NaN,NaN,NaN,NaN,NaN,NaN,-4.266512,37.84968,7.54754,-5.12199,0.8086277,-1.027389
71.955,NaN,NaN,NaN,NaN,NaN,NaN,-9.102315,66.29705,14.48654,-5.134683,0.809025,-1.010243
71.96,NaN,NaN,NaN,NaN,NaN,NaN,-14.26254,101.495,21.88355,-5.144515,0.8093276,-0.9971931
71.965,NaN,NaN,NaN,NaN,NaN,NaN,-18.77471,141.9643,28.58113,-5.152787,0.8095745,-0.9865628
71.97,NaN,NaN,NaN,NaN,NaN,NaN,-21.78827,185.9705,33.68954,-5.159905,0.8097769,-0.9778656
71.975,NaN,NaN,NaN,NaN,NaN,NaN,-22.85,232.0457,36.91777,-5.166031,0.8099398,-0.9708853
71.98,NaN,NaN,NaN,NaN,NaN,NaN,-22.02534,279.2878,38.70087,-5.171238,0.8100668,-0.9654688
71.985,NaN,NaN,NaN,NaN,NaN,NaN,-19.81531,327.3402,40.05662,-5.175579,0.8101615,-0.9614571
71.99,NaN,NaN,NaN,NaN,NaN,NaN,-16.92479,376.1183,42.22604,-5.179127,0.8102283,-0.9586564
71.995,NaN,NaN,NaN,NaN,NaN,NaN,-14.00728,425.4567,46.24743,-5.181987,0.8102724,-0.9568339
72,NaN,NaN,NaN,NaN,NaN,NaN,-11.50306,474.8686,52.63098,-5.184296,0.8102998,-0.9557353
72.005,NaN,NaN,NaN,NaN,NaN,NaN,-9.617662,523.5197,61.23995,-5.186195,0.8103161,-0.9551112
72.01,NaN,NaN,NaN,NaN,NaN,NaN,-8.406711,570.4004,71.38726,-5.187812,0.8103263,-0.9547408
72.015,NaN,NaN,NaN,NaN,NaN,NaN,-7.890039,614.5849,82.07497,-5.189244,0.8103347,-0.9544453
72.02,NaN,NaN,NaN,NaN,NaN,NaN,-8.125539,655.4525,92.26967,-5.190555,0.8103442,-0.9540923
72.025,NaN,NaN,NaN,NaN,NaN,NaN,-9.215653,692.7854,101.1225,-5.191776,0.8103568,-0.9535946
72.03,NaN,NaN,NaN,NaN,NaN,NaN,-11.26369,726.7263,108.0891,-5.192916,0.8103736,-0.9529069
72.035,NaN,NaN,NaN,NaN,NaN,NaN,-14.31747,757.6269,112.9528,-5.193971,0.8103946,-0.9520221
72.04,NaN,NaN,NaN,NaN,NaN,NaN,-18.33074,785.8465,115.7839,-5.19493,0.8104192,-0.9509667
72.045,NaN,NaN,NaN,NaN,NaN,NaN,-23.1542,811.5593,116.8663,-5.195786,0.8104464,-0.9497953
72.05,0,0,0,0,0,0,-28.55261,834.6242,116.6163,-5.196542,0.8104743,-0.9485829
72.055,0,0,0,0,0,0,-34.23687,854.5571,115.5023,-5.197209,0.8105011,-0.9474141
72.06,0,0,0,0,0,0,-39.90059,870.6181,113.973,-5.197805,0.8105251,-0.9463697
72.065,0,0,0,0,0,0,-45.2544,881.9984,112.3967,-5.198356,0.8105448,-0.9455132
72.07,0,0,0,0,0,0,-50.05474,888.0502,111.0192,-5.198887,0.8105596,-0.9448793
72.075,0,0,0,0,0,0,-54.12396,888.4867,109.9461,-5.199427,0.8105694,-0.9444686
72.08,0,0,0,0,0,0,-57.35701,883.4773,109.1547,-5.200002,0.8105751,-0.9442477
72.085,0,0,0,0,0,0,-59.71207,873.6063,108.5278,-5.200639,0.8105779,-0.9441568
72.09,0,0,0,0,0,0,-61.1886,859.7217,107.8988,-5.201366,0.8105796,-0.9441213
72.095,0,0,0,0,0,0,-61.80323,842.7504,107.092,-5.20221,0.810582,-0.9440623
72.1,0,0,0,0,0,0,-61.57541,823.5662,105.9474,-5.203199,0.8105868,-0.9439014
72.105,0,0,0,0,0,0,-60.52731,802.9618,104.3273,-5.204368,0.8105959,-0.9435594
72.11,0,0,0,0,0,0,-58.69188,781.7202,102.1084,-5.205753,0.8106112,-0.9429491
72.115,0,0,0,0,0,0,-56.11703,760.7353,99.16818,-5.207401,0.8106351,-0.9419678
72.12,0,0,0,0,0,0,-52.85839,741.1021,95.37726,-5.209356,0.8106702,-0.9404999
72.125,0,0,0,0,0,0,-48.96512,724.1026,90.61036,-5.211653,0.810719,-0.9384346
72.13,0,0,0,0,0,0,-44.47209,711.054,84.78047,-5.214294,0.8107831,-0.9357034
72.135,0,0,0,0,0,0,-39.40938,703.0335,77.89167,-5.21723,0.810862,-0.9323246
72.14,0,0,0,0,0,0,-33.82891,700.5587,70.09168,-5.220356,0.8109524,-0.9284337
72.145,0,0,0,0,0,0,-27.83657,703.3317,61.69894,-5.223522,0.8110489,-0.9242736
72.15,0,0,0,0,0,0,-21.61411,710.1537,53.1843,-5.226572,0.8111447,-0.9201415
72.155,0,0,0,0,0,0,-15.4185,719.0701,45.1017,-5.229375,0.8112333,-0.9163151
72.16,0,0,0,0,0,0,-9.555147,727.7298,37.98219,-5.231851,0.8113103,-0.9129944
72.165,0,0,0,0,0,0,-4.332001,733.8674,32.22155,-5.233973,0.8113733,-0.9102805
72.17,0,0,0,0,0,0,-0.007752759,735.7687,27.99705,-5.235756,0.8114222,-0.9081849
72.175,0,0,0,0,0,0,3.252646,732.5836,25.23805,-5.237238,0.8114581,-0.9066551
72.18,0,0,0,0,0,0,5.406362,724.4041,23.65491,-5.238464,0.8114831,-0.9055994
72.185,0,0,0,0,0,0,6.538589,712.1052,22.81469,-5.239481,0.8114997,-0.9049078
72.19,0,0,0,0,0,0,6.84235,697.0241,22.24451,-5.240327,0.8115106,-0.9044684
72.195,0,0,0,0,0,0,6.576167,680.5914,21.53872,-5.241038,0.8115178,-0.9041818
72.2,0,0,0,0,0,0,6.011986,664.0248,20.44351,-5.24164,0.8115232,-0.9039742
72.205,0,0,0,0,0,0,5.387381,648.1551,18.89779,-5.242154,0.8115276,-0.9038059
72.21,0,0,0,0,0,0,4.872247,633.3997,17.02152,-5.242593,0.8115312,-0.9036717
72.215,0,0,0,0,0,0,4.555574,619.8517,15.05757,-5.242966,0.8115334,-0.9035925
72.22,0,0,0,0,0,0,4.452497,607.4236,13.28504,-5.243278,0.8115336,-0.9036005
72.225,0,0,0,0,0,0,4.526004,595.9861,11.93004,-5.243536,0.8115312,-0.9037229
72.23,0,0,0,0,0,0,4.714157,585.4561,11.09871,-5.243746,0.811526,-0.9039698
72.235,0,0,0,0,0,0,4.953743,575.8177,10.74893,-5.243917,0.8115182,-0.9043291
72.24,0,0,0,0,0,0,5.194227,567.0869,10.7063,-5.244057,0.8115086,-0.9047708
72.245,0,0,0,0,0,0,5.400918,559.254,10.71872,-5.244173,0.8114979,-0.9052586
72.25,0,0,0,0,0,0,5.550879,552.2389,10.53295,-5.244266,0.8114868,-0.9057632
72.255,0,0,0,0,0,0,5.626082,545.8836,9.969856,-5.244333,0.8114755,-0.9062728
72.26,0,0,0,0,0,0,5.606859,539.9846,8.975871,-5.244365,0.8114639,-0.9067973
72.265,0,0,0,0,0,0,5.467672,534.3456,7.635269,-5.244349,0.8114512,-0.9073649
72.27,0,0,0,0,0,0,5.176863,528.8259,6.140172,-5.24427,0.8114367,-0.9080128
72.275,0,0,0,0,0,0,4.701296,523.3653,4.73009,-5.244116,0.8114195,-0.9087777
72.28,0,0,0,0,0,0,4.015614,517.9825,3.623642,-5.243883,0.811399,-0.9096872
72.285,0,0,0,0,0,0,3.113928,512.7554,2.96587,-5.243576,0.8113749,-0.9107549
72.29,0,0,0,0,0,0,2.01936,507.7968,2.806008,-5.243206,0.8113472,-0.9119791
72.295,0,0,0,0,0,0,0.7866598,503.2381,3.107504,-5.242791,0.8113163,-0.9133454
