time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
71.795,NaN,NaN,NaN,NaN,NaN,NaN,0.257993970917386,0.0157666565992534,-0.000636715335134364,0.0455344479018723,0.0138430985791746,-0.00490943121092419
71.8,NaN,NaN,NaN,NaN,NaN,NaN,0.223567727644795,0.012374800022293,-0.00184287612903153,0.0313947160383197,0.0136766137796811,-0.0052171632039353
71.805,NaN,NaN,NaN,NaN,NaN,NaN,0.189738367892431,0.0093596745605009,-0.00300509075405124,0.0174740741426831,0.0135058336222685,-0.00549275806969203
71.81,NaN,NaN,NaN,NaN,NaN,NaN,0.156919533637522,0.00677142404135015,-0.00409349616494401,0.00398359419011717,0.013359443258241,-0.00574172580816073
71.815,NaN,NaN,NaN,NaN,NaN,NaN,0.1255273014842,0.00465901935024025,-0.00508185356542718,-0.00886686492252184,0.0132639844602528,-0.00596945366501006
71.82,NaN,NaN,NaN,NaN,NaN,NaN,0.095974553688296,0.0030627128202507,-0.00594810158439887,-0.0208717769256481,0.013243441359132,-0.00618128197343822
71.825,NaN,NaN,NaN,NaN,NaN,NaN,0.0686632026759901,0.00200616384366412,-0.00667437712592491,-0.0318338021667059,0.0133185767627359,-0.00638241840860202
71.83,NaN,NaN,NaN,NaN,NaN,NaN,0.0439747113366571,0.00148946859104494,-0.00724675800221347,-0.0415684477125464,0.0135061858567341,-0.00657776232647746
71.835,NaN,NaN,NaN,NaN,NaN,NaN,0.0222602043953465,0.00148271514998694,-0.00765472565551597,-0.0499088353504865,0.0138186550970734,-0.00677182292766136
71.84,NaN,NaN,NaN,NaN,NaN,NaN,0.00383098258094638,0.00192135209146852,-0.00789047372043775,-0.0567102240807721,0.0142637458913642,-0.00696866257146953
71.845,NaN,NaN,NaN,NaN,NaN,NaN,-0.0110502256373686,0.00270469730485452,-0.00794837413396186,-0.0618540881133841,0.0148445800038899,-0.0071718540334637
71.85,NaN,NaN,NaN,NaN,NaN,NaN,-0.0221766990251404,0.00369725376237988,-0.00782473514528901,-0.0652512716013637,0.0155600759718943,-0.00738461212099363
