elapsed_s,pc_unix_time_s,state_sequence,left_angle_deg,right_angle_deg,left_angular_velocity_rad_s,right_angular_velocity_rad_s,left_actual_torque_nm,right_actual_torque_nm
0.0,1786006337.6197581,1192,-0.054320494469111406,-0.10609332837780806,-0.002130528911948204,-0.00532632227987051,-0.0009400000562891364,-0.0012200000928714871
0.015000000000327418,1786006337.627106,1193,-0.054320494469111406,-0.10060185628511781,-0.001065264455974102,-0.01065264455974102,-0.0009400000562891364,-0.004270000383257866
0.015000000000327418,1786006337.627106,1194,-0.054320494469111406,-0.09511038419242755,-0.002130528911948204,-0.012783173471689224,-0.0009400000562891364,0.012200000695884228
0.03099999999994907,1786006337.6559544,1195,-0.054320494469111406,-0.07862913772518679,-0.003195793367922306,-0.014913702383637428,0.01974000222980976,-0.004270000383257866
0.046000000000276486,1786006337.6643338,1196,-0.054320494469111406,-0.07313766563249653,-0.006391586735844612,-0.011717909015715122,0.005640000104904175,-0.0
0.06199999999989814,1786006337.6851118,1197,-0.054320494469111406,-0.06763936335063628,-0.006391586735844612,-0.009587380103766918,-0.011750000528991222,-0.0
0.07800000000042928,1786006337.688474,1198,-0.054320494469111406,-0.06763936335063628,-0.006391586735844612,-0.008522115647792816,0.005640000104904175,-0.004270000383257866
0.0929999999998472,1786006337.7087622,1199,-0.054320494469111406,-0.06763936335063628,-0.002130528911948204,-0.00532632227987051,0.005640000104904175,-0.004270000383257866
0.10900000000037835,1786006337.7272568,1200,-0.05981196656180166,-0.06763936335063628,0.001065264455974102,-0.00532632227987051,-0.0009400000562891364,-0.004270000383257866
0.125,1786006337.746903,1201,-0.06530343865449191,-0.06763936335063628,0.0,-0.007456851191818714,0.005640000104904175,-0.025620002299547195
0.125,1786006337.7501185,1202,-0.06530343865449191,-0.06763936335063628,-0.001065264455974102,-0.008522115647792816,-0.0009400000562891364,0.012200000695884228
0.15599999999994907,1786006337.7695558,1203,-0.06530343865449191,-0.06214789125794602,-0.004261057823896408,-0.004261057823896408,-0.0009400000562891364,-0.0
0.1710000000002765,1786006337.7850163,1204,-0.06530343865449191,-0.06214789125794602,-0.002130528911948204,-0.003195793367922306,0.01974000222980976,-0.004270000383257866
0.18699999999989814,1786006337.8028932,1205,-0.07079491074718217,-0.06763936335063628,0.0,-0.002130528911948204,-0.021150000393390656,0.012200000695884228
0.18699999999989814,1786006337.8078015,1206,-0.07079491074718217,-0.06763936335063628,0.0,-0.00532632227987051,-0.010340000502765179,-0.025620002299547195
0.20300000000042928,1786006337.8240411,1207,-0.07079491074718217,-0.06214789125794602,-0.002130528911948204,-0.00532632227987051,0.015040000900626183,-0.004270000383257866
0.23400000000037835,1786006337.8495605,1208,-0.07079491074718217,-0.06214789125794602,-0.003195793367922306,-0.00532632227987051,-0.005640000104904175,-0.009150000289082527
0.25,1786006337.8630924,1209,-0.07079491074718217,-0.05665641916525577,-0.004261057823896408,-0.003195793367922306,-0.0009400000562891364,0.010370001196861267
0.25,1786006337.8674176,1210,-0.07079491074718217,-0.05665641916525577,-0.001065264455974102,-0.003195793367922306,0.01974000222980976,0.02257000096142292
0.2650000000003274,1786006337.8855703,1211,-0.08178468512173268,-0.05665641916525577,0.0,-0.004261057823896408,-0.0009400000562891364,-0.0
0.28099999999994907,1786006337.9041486,1212,-0.08727615721442293,-0.05665641916525577,-0.001065264455974102,-0.002130528911948204,0.009400000795722008,-0.004270000383257866
0.31199999999989814,1786006337.923499,1213,-0.09276762930711319,-0.06763936335063628,0.0,-0.001065264455974102,0.004700000397861004,-0.009150000289082527
0.3280000000004293,1786006337.943001,1214,-0.09276762930711319,-0.06763936335063628,-0.001065264455974102,-0.002130528911948204,-0.0009400000562891364,-0.004270000383257866
0.3280000000004293,1786006337.945513,1215,-0.09826593158897345,-0.07313766563249653,-0.001065264455974102,0.0,-0.010340000502765179,0.01647000014781952
