elapsed_s,left_position_rad,right_position_rad,left_command_torque_nm,right_command_torque_nm,left_actual_torque_nm,right_actual_torque_nm
0.8100,0.7159855,0.6047720,-0.0006,0.0006,-0.0315,-0.0244
0.8200,0.7159855,0.6047720,-0.0005,0.0005,0.0047,0.0031
0.8300,0.7159855,0.6047720,-0.0005,0.0005,-0.0009,0.0305
0.8400,0.7163690,0.6047720,-0.0005,0.0005,-0.0009,0.0104
0.8500,0.7163690,0.6047720,-0.0005,0.0005,-0.0118,0.0031
0.8600,0.7159855,0.6047720,-0.0005,0.0005,0.0141,0.0031
0.8700,0.7159855,0.6047720,-0.0005,0.0005,-0.0009,-0.0226
0.8800,0.7163690,0.6047720,-0.0006,0.0006,-0.0174,-0.0104
0.8900,0.7163690,0.6047720,-0.0006,0.0006,-0.0174,-0.0092
0.9000,0.7163690,0.6047720,-0.0005,0.0005,-0.0174,0.0165
0.9100,0.7159855,0.6047720,-0.0005,0.0005,-0.0009,-0.0244
0.9200,0.7163690,0.6047720,-0.0004,0.0004,-0.0174,0.0031
0.9300,0.7163690,0.6047720,-0.0004,0.0004,-0.0071,0.0031
0.9400,0.7163690,0.6047720,-0.0004,0.0004,0.0047,-0.0092
0.9500,0.7159855,0.6047720,-0.0005,0.0005,0.0094,0.0031
0.9600,0.7163690,0.6047720,-0.0005,0.0005,0.0047,0.0031
0.9700,0.7163690,0.6047720,-0.0004,0.0004,0.0047,0.0031
0.9800,0.7163690,0.6047720,-0.0005,0.0005,0.0150,0.0226
0.9900,0.7159855,0.6047720,-0.0005,0.0005,0.0197,0.0305
1.0000,0.7159855,0.6047720,-0.0006,0.0006,-0.0009,0.0031
1.0100,0.7163690,0.6047720,-0.0005,0.0005,-0.0174,0.0031
1.0200,0.7159855,0.6047720,-0.0004,0.0004,0.0244,-0.0165
1.0300,0.7163690,0.6047720,-0.0005,0.0005,0.0047,0.0305
1.0400,0.7163690,0.6047720,-0.0005,0.0005,0.0047,-0.0031
1.0500,0.7163690,0.6047720,-0.0006,0.0006,-0.0056,0.0305
1.0600,0.7163690,0.6047720,-0.0005,0.0005,0.0080,-0.0031
1.0700,0.7159855,0.6047720,-0.0004,0.0004,-0.0174,-0.0031
1.0800,0.7163690,0.6047720,-0.0004,0.0004,0.0197,0.0031
1.0900,0.7163690,0.6051554,-0.0004,0.0004,-0.0009,-0.0092
1.1000,0.7159855,0.6047720,-0.0005,0.0005,-0.0174,-0.0165
1.1100,0.7163690,0.6047720,-0.0004,0.0004,-0.0174,0.0104
1.1200,0.7163690,0.6047720,-0.0004,0.0004,-0.0009,-0.0427
1.1300,0.7159855,0.6047720,-0.0004,0.0004,-0.0056,0.0104
1.1400,0.7159855,0.6047720,-0.0005,0.0005,0.0094,0.0031
1.1500,0.7163690,0.6047720,-0.0005,0.0005,-0.0118,-0.0031
1.1600,0.7159855,0.6047720,-0.0004,0.0004,0.0244,0.0226
1.1700,0.7159855,0.6047720,-0.0005,0.0005,-0.0174,-0.0226
1.1800,0.7159855,0.6047720,-0.0005,0.0005,0.0047,0.0104
1.1900,0.7163690,0.6047720,-0.0006,0.0006,-0.0118,0.0031
1.2000,0.7163690,0.6047720,-0.0005,0.0005,0.0047,0.0244
1.2100,0.7159855,0.6047720,-0.0005,0.0005,-0.0315,0.0104
1.2200,0.7163690,0.6047720,-0.0006,0.0006,0.0094,-0.0165
1.2300,0.7159855,0.6047720,-0.0006,0.0006,0.0047,-0.0092
1.2400,0.7163690,0.6047720,-0.0006,0.0006,-0.0118,0.0445
1.2500,0.7159855,0.6047720,-0.0005,0.0005,0.0047,0.0031
1.2600,0.7163690,0.6047720,-0.0005,0.0005,0.0094,0.0031
