time,hip_flexion_l_velocity,hip_adduction_l_velocity,hip_rotation_l_velocity,knee_angle_l_velocity,ankle_angle_l_velocity,subtalar_angle_l_velocity,hip_flexion_r_velocity,hip_adduction_r_velocity,hip_rotation_r_velocity,knee_angle_r_velocity,ankle_angle_r_velocity,subtalar_angle_r_velocity
65,-80.6935409727499,39.5790306677167,84.3911659313638,17.1573623517114,58.638704331765,-10.8650871507664,8.92327082992145,-47.2273874416713,-12.1127829935221,447.530004562781,-35.1852572572196,41.7138681958359
65.005,-80.5141361985281,37.914435621822,89.2074982550059,13.565311326133,61.9357687410241,-12.8614502907029,6.83932557097085,-49.1476808187664,-12.511356602797,428.953616231767,-33.109651617802,44.9061499257345
65.01,-80.4963689840591,35.3715836743516,93.7404212776435,9.86395832448714,65.1555693399151,-14.5013201170638,5.03272120288787,-50.2398216487628,-13.0304223366598,407.614147638428,-30.906547609384,47.2814386681286
65.015,-80.6144380427787,31.9612326858533,97.8475270203064,6.01037038934681,68.2292379970108,-15.710503859962,3.49300922984631,-50.4617461755543,-13.5416866787471,383.662389234072,-28.6301475334859,48.6680160653949
65.02,-80.8382457850893,27.7111528868962,101.390474490117,1.9570823902131,71.0749368846229,-16.4279097953411,2.20563070813243,-49.7848979247025,-13.9161063273571,357.287498343987,-26.3354132224208,48.9179284519887
65.025,-81.1332621878933,22.6655991707494,104.238362765841,-2.34751599180827,73.5984807726858,-16.6084234067501,1.15236870141294,-48.1954845697226,-14.028232286064,328.71461843412,-24.0776990945116,47.9113285497919
65.03,-81.4604355028932,16.8843026108347,106.270969562072,-6.95864613200986,75.6944179962433,-16.2254297867126,0.311900489874102,-45.6953437536751,-13.7605214491526,298.201725549682,-21.9120378219843,45.5601548101199
65.035,-81.7761665438938,10.4409991856829,107.381784466208,-11.9344533173014,77.2475818244074,-15.2728851736739,-0.339582338042814,-42.302372807918,-13.0074823861716,266.035786290516,-19.8920869929445,41.8110269916613
65.04,-82.0323644692627,3.42153260849383,107.480771271283,-17.3351643538366,78.135112585119,-13.7668492785187,-0.827719591963969,-38.0504956142623,-11.6795240033361,232.528327254792,-18.0687716620247,36.6472550037421
65.045,-82.1766023007158,-4.07841374346423,106.496799811689,-23.2220918486576,78.228937946444,-11.7464018014697,-1.17932751352836,-32.9891591477294,-9.70638211706075,198.010527507109,-16.4886817522478,30.0898813283269
65.05,-82.1523897102756,-11.95588440954,104.379694263112,-29.6564916675529,77.3986844881069,-9.27388102392147,-1.42177458817654,-27.1823715285814,-7.04000961671904,162.827953161213,-15.1923035872054,22.1977049002009
65.055,-81.8995787699777,-20.1034336305596,101.101852038018,-36.698284969638,75.5149785830043,-6.43439932516169,-1.58241575520394,-20.7073118613417,-3.65683059445856,127.335056795566,-14.2121804969141,13.0662652954651
65.06,-81.3549153511928,-28.41202526526,96.6593952271138,-44.4046613134323,72.4530792000194,-3.33460957544911,-1.68810732367446,-13.6525589686241,0.440722889081743,91.8895644580764,-13.5711078399267,2.82579924455637
65.065,-80.4527446670008,-36.7739476919229,91.0728249022085,-52.8285844631818,68.0967700379897,-0.100717164583523,-1.76481843548596,-6.11600062857682,5.22345153299336,56.846869833128,-13.2804724899099,-8.36178456536415
65.07,-79.1258741616201,-45.0856375582844,84.3871573977432,-62.0172275243696,62.3424238559784,3.12424550084929,-1.83734769026696,1.79750345830335,10.635443797537,22.5545492622406,-13.3388455922379,-20.3068331100013
65.075,-77.3065907476769,-53.2503075626895,76.6715308386592,-72.0103687207852,55.103138371592,6.18384230274524,-1.92914600835267,9.97862340066669,16.594957242687,-10.6528967777835,-13.7309301705702,-32.796668413988
65.08,-74.9278225222622,-61.1802791239733,68.0182796096606,-82.8387832805615,46.3128310540349,8.91229156476487,-2.06223944505944,18.3161391208668,22.9961129824653,-42.4589799621969,-14.4269522119243,-45.6009598886152
65.085,-71.9244279229808,-68.7989307432917,58.5414841991433,-94.5226703250352,35.9301700883604,11.1390731103127,-2.25723901386195,26.6995109202467,29.7113649347871,-72.5697534309678,-15.3825657740144,-58.4775870540631
65.09,-68.2345882723189,-76.0421869333462,48.3750140008616,-107.070156187424,23.9422114491762,12.69397617467,-2.53341921838252,35.0213551445063,36.5946812600445,-100.717861156589,-16.5393203383296,-71.1788119420158
65.095,-63.8012732924951,-82.8594905421669,37.6700913171212,-120.475917074052,10.367608237223,13.4124595973387,-2.9088435264714,43.1797451526639,43.485352357376,-126.666046466496,-17.8257132066511,-83.4575691083846
65.1,-58.5737439360278,-89.2142226740154,26.592416007422,-134.719964324529,-4.74074094381335,13.1411775589357,-3.40051385365076,51.0802666140931,50.2123184833546,-150.210070866495,-19.1588224981984,-95.0736775272427
65.105,-52.5090530553685,-95.0835583268538,15.318901710963,-149.766634649273,-21.2937321635545,11.7435092050829,-4.02452225592153,58.637767692404,56.598891228708,-171.181006203629,-20.4464886222029,-105.799783119359
65.11,-45.5735020865669,-100.457770998977,4.03408580168943,-165.56382555926,-39.1649016258928,9.10491976883914,-4.79618600325867,65.7777582797269,62.4677278593149,-189.446874949406,-21.5899853814547,-115.426853066222
65.115,-37.7440109636132,-105.339024335271,-7.07371445713128,-182.042512711368,-58.1901771407479,5.13797518438194,-5.73015130879062,72.4374273705971,67.645907087892,-204.913625041702,-22.4870974847991,-123.769062596086
65.12,-29.0093588150056,-109.739711957886,-17.8164182917876,-199.116581066809,-78.168615447385,-0.213167561946398,-6.84045555795603,78.5662631732715,71.9699500295422,-217.525437330631,-23.0355004671933,-130.667940492078
65.125,-19.3712545731988,-113.680426813366,-28.0102821742679,-216.682995693267,-98.8641798584812,-6.9689654631447,-8.14054242589545,84.1262759935323,75.2906312243335,-227.264375258135,-23.1363228494417,-135.995669855589
65.13,-8.84519938731723,-117.187657718198,-37.4799920518344,-234.622330821398,-120.008583372436,-15.1115478043917,-9.64322843472946,89.0918386523562,77.4774315079542,-234.149397875538,-22.6977594690334,-139.657474017196
65.135,2.538893406585,-120.291322551427,-46.0626516281963,-252.7996675734,-141.305189872475,-24.5827659465524,-11.3606229949142,93.4491726032315,78.4224966927144,-238.234768618464,-21.6385995602905,-141.593051982156
65.14,14.7363501527868,-123.022254183351,-53.6115710165825,-271.065861847917,-162.433931286473,-35.2833469802021,-13.3040065748581,97.1955194515687,78.0439827879292,-239.607903347284,-19.8915333570442,-141.777061394059
65.145,27.6876842392709,-125.409756456328,-59.9997621164459,-289.25917434738,-183.057162766501,-47.0732324452331,-15.4836732736903,100.338046844778,76.2886889846368,-238.386711775837,-17.406106631927,-140.21867801839
65.15,41.3188560160415,-127.47934344741,-65.1230514751335,-307.20724492476,-202.826342350066,-59.7731475444566,-17.9087448606789,102.892544561766,73.1339029732763,-234.716496248781,-14.1512036058322,-136.960288336357
65.155,55.5418548787012,-129.250766216096,-68.9027282833781,-324.729383613188,-221.389387577571,-73.1674069838818,-20.5869635577846,104.881971116671,68.5884084678252,-228.766480518384,-10.1169548997559,-132.075395743395
65.16,70.2556049180861,-130.736417728464,-71.2876544792949,-341.639141131052,-238.39853056852,-87.0079219797932,-23.5244707300201,106.334913306062,62.6926311456308,-220.72604828546,-5.31598811197452,-125.665840744401
65.165,85.3471867833944,-131.940189223039,-72.2557755120772,-357.747112667795,-253.518466633879,-101.019330593562,-26.7255783588234,107.284020862009,55.5179256569824,-210.800776550736,0.216036867370813,-117.8584508163
65.17,100.693359434455,-132.856830667647,-71.8149838710568,-372.863920695888,-266.434571190451,-114.905132189678,-30.1925397809216,107.764475777311,47.1650320141498,-199.208352082941,6.42063889999829,-108.801245630004
65.175,116.162356582738,-133.471845026708,-70.0033026930793,-386.803315627784,-276.860946799645,-128.354668373571,-33.9253257534204,107.812551102973,37.7617537123323,-186.174460314085,13.2174763405121,-98.6593278938844
65.18,131.615924136043,-133.761921862555,-66.888373269342,-399.385327646066,-284.548057400774,-141.0507590719,-37.9214115624198,107.46430737247,27.4599317086165,-171.928734636399,20.5060331801516,-87.6105896256234
65.185,146.911557178868,-133.695891401305,-62.5662476351309,-410.439399304091,-289.289710566099,-152.677774985081,-42.1755807149848,106.754466582323,16.4318073537694,-156.700850420803,28.1679797990951,-75.8413588279554
65.19,161.904888227672,-133.236156616751,-57.159505093152,-419.807426667267,-290.929160796575,-162.929907601601,-46.6797507488034,105.715494136442,4.86588308157998,-140.716842173429,36.0701332115851,-63.5421029218862
65.195,176.452173002702,-132.340539205453,-50.8147289721444,-427.346637000763,-289.364127457076,-171.519386310836,-51.4228268071945,104.376908771573,-7.0375982393216,-124.19571431084,44.0679205479386,-50.9032935377601
65.2,190.412816036089,-130.964456626095,-43.6993966827213,-432.932233368192,-284.550549806652,-178.184389885962,-56.3905887790138,102.764829789038,-19.0714261762993,-107.346406294737,52.0092323526661,-38.1115231987419
65.205,203.651876239954,-129.063332570201,-35.9982517436672,-436.459740818034,-276.50493811333,-182.696407473838,-61.5656178929357,100.901760486871,-31.0263145571875,-90.365161549025,59.7385395596463,-25.3459489955662
65.21,216.042492184681,-126.595133001505,-27.9092404959101,-437.846995023843,-265.30522285174,-184.86682227441,-66.9272685967539,98.8065970013804,-42.6957788603008,-73.4333370815371,67.1011399685169,-12.7751224878527
65.215,227.468168311434,-123.52291459192,-19.6391082904714,-437.035722214272,-251.090051572646,-184.552518249434,-72.4516912702009,96.4948431361981,-53.8808695121538,-56.7156775295669,73.9473968341588,-0.554249501228259
65.22,237.824866499171,-119.817272019494,-11.3987596566288,-433.992668666015,-234.056532857989,-181.660344377065,-78.1119107349115,93.9790043440742,-64.3946386848993,-40.3590639303892,80.1368338542399,11.1770912747771
65.225,247.02285220205,-115.458575081178,-3.39849405145118,-428.710248727047,-214.456476618902,-176.150309760495,-83.877964610063,91.2691280254346,-74.0662285397066,-24.4917344048622,85.5419573307237,22.2967555352386
65.23,254.988250546431,-110.438895623506,4.15676694751795,-421.206691922336,-192.591227742889,-168.03742397352,-89.7171043220399,88.3734528865749,-82.7444818409936,-9.2229615693276,90.0516872763964,32.701363110605
65.235,261.664275053191,-104.763537425758,11.0721438476356,-411.525681777925,-168.805233847479,-157.392138401824,-95.594060056065,85.2991273746652,-90.3009909216234,5.35683975061697,93.5742941689652,42.3071570980277
65.24,267.012099733938,-98.452098692993,17.1672394100966,-399.735491188118,-143.478526021422,-144.339384488287,-101.471369204619,82.0529561906055,-96.6325175261413,19.1756107071432,96.0397561649836,51.0504076035534
65.245,271.011353933775,-91.5390159103219,22.2802441012145,-385.927631072322,-117.01832269273,-129.056242700539,-107.309765983178,78.6421345047885,-101.662733564823,32.1787967789509,97.4014720350798,58.8873819209582
65.25,273.660228356888,-84.0735587039026,26.2716039288868,-370.215040505446,-89.8499904502503,-111.768311231268,-113.068627909696,75.0749317124035,-105.343250947732,44.3281967480424,97.6372871034148,65.7939081121987
65.255,274.975190110703,-76.1192673733383,29.027158581859,-352.729857146196,-62.4076114703906,-92.7448757011596,-118.706472789626,71.3612903400605,-107.653927302442,55.6005671108369,96.7498123817923,71.7645629901057
65.26,274.990314339095,-67.7528473625074,30.4606715668839,-333.620816541824,-35.1244152688854,-72.2930103349095,-124.181497777545,67.5133110935173,-108.602453499364,65.9860392733002,94.7660402948239,76.811518735731
65.265,273.756249970666,-59.062557458596,30.5156905232677,-313.050337669583,-8.42333296774416,-50.7507668429898,-129.452150127956,63.5456019393315,-108.223248334616,75.4864077433593,91.7362832419683,80.9630850101625
65.27,271.338846885725,-50.1461499764095,29.1666945284582,-291.19135964606,17.2920747273505,-28.4796289135217,-134.477717537562,59.4754771890553,-106.575704857512,84.1133467978341,87.7324828873407,84.2619855437567
65.275,267.817480950076,-41.1084404086206,26.4195051763241,-268.2240007668,41.6460788172302,-5.85642716283701,-139.218924706105,55.3230012328879,-103.741850769353,91.8866108322917,82.8459575898672,86.7634098833367
65.28,263.283121393618,-32.058599801069,22.3109585768004,-244.332115773531,64.2984164159394,16.735078915671,-143.638522072065,51.1108801799595,-99.8235010487831,98.8322699034209,77.1846719117939,88.5328823155374
65.285,257.836191466863,-23.1072745000818,16.9078553031136,-219.699830260305,84.9509089460833,38.9127393576496,-147.701852665192,46.8642125965477,-94.9389936201183,104.981026979655,70.8701249746342,89.6439910368842
65.29,251.584278037063,-14.3636444132016,10.3052240139125,-194.508132402196,103.352906624647,60.3044594057601,-151.377383645364,42.6101173803948,-89.2196080540953,110.366657342728,64.0339632186571,90.1760216132117
65.295,244.639748843637,-5.93253240793635,2.62395155147551,-168.931601758381,119.305437634251,80.5563445739279,-154.637190261079,38.3772623142388,-82.8057729864972,115.024603691647,56.8144278545999,90.2115399488602
65.3,237.117337603474,2.08832588402305,-5.99215250488716,-143.135352777028,132.663979396119,99.340347870984,-157.45738146467,34.1953208446664,-75.8431704450849,118.990753029186,49.3527482113136,89.8339715527256
65.305,229.131757196248,9.61075042005803,-15.3797757779734,-117.272266921872,143.339810499438,116.36123770963,-159.81845815068,30.0943870516054,-68.47884496258,122.300413638707,41.7895896480357,89.1252257891569
65.31,220.795399788261,16.558233681551,-25.3599158165252,-91.4805820672599,151.299943858283,131.362725310047,-161.705596907844,26.1043795459568,-60.8574223903696,124.987502684271,34.2616590028218,88.1634156318621
65.315,212.216179812882,22.8676319848671,-35.7419860589831,-65.8819008879565,156.565683030814,144.132614477668,-163.108854256198,22.2544641224404,-53.1175376435273,127.0839474379,26.8985618762499,87.0207245573096
65.32,203.495571195358,28.4903751793008,-46.3281107927563,-40.5796714262351,159.209882814528,154.506863738962,-164.023288570179,18.5725224680678,-45.3885621807971,128.619296100316,19.8199946686324,85.7614720781433
