elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm,left_nn_command_nm,right_nn_command_nm
0.6300,-0.0367,0.0916,-0.3608,0.1804,0.0000,-0.0226,3.7801,3.5666
0.6400,-0.0367,0.0305,-0.3608,-0.0027,0.0000,-0.0226,3.7797,3.5659
0.6500,-0.0367,-0.0305,-0.3608,0.3024,0.0000,-0.0226,3.7790,3.5665
0.6600,-0.0422,-0.2747,-0.3608,0.3024,0.0000,-0.0226,3.7776,3.5678
0.6700,-0.0477,-0.2747,-0.3608,0.1804,0.0000,-0.0226,3.7783,3.5676
0.6800,-0.0531,-0.1526,-0.3663,-0.0027,0.0000,-0.0226,3.7773,3.5676
0.6900,-0.0531,-0.1526,-0.3663,-0.0638,0.0000,-0.0226,3.7762,3.5682
0.7000,-0.0531,-0.0305,-0.3663,-0.0638,0.0000,-0.0226,3.7768,3.5674
0.7100,-0.0531,0.0305,-0.3773,-0.1248,0.0000,-0.0226,3.7790,3.5680
0.7206,-0.0531,0.0305,-0.3828,-0.0027,0.0000,-0.0226,3.7772,3.5685
0.7300,-0.0531,-0.0305,-0.3828,-0.0027,0.0000,-0.0226,3.7776,3.5684
0.7400,-0.0531,-0.1526,-0.3828,0.1193,0.0000,-0.0226,3.7790,3.5677
0.7501,-0.0586,-0.2747,-0.3828,0.2414,0.0000,-0.0226,3.7792,3.5678
0.7600,-0.0586,-0.1526,-0.3773,0.3024,0.0000,-0.0226,3.7800,3.5693
0.7700,-0.0586,-0.1526,-0.3773,0.1804,0.0000,-0.0226,3.7794,3.5689
0.7800,-0.0586,-0.0305,-0.3773,0.1193,0.0000,-0.0226,3.7795,3.5687
0.7901,-0.0586,-0.0916,-0.3773,-0.3079,0.0000,-0.0226,3.7780,3.5670
0.8000,-0.0641,-0.3967,-0.3773,-0.3079,0.0000,-0.0226,3.7755,3.5669
0.8101,-0.0696,-0.3967,-0.3828,-0.6131,0.0000,-0.0226,3.7741,3.5666
0.8200,-0.0751,-0.3357,-0.3828,-0.6131,0.0000,-0.0226,3.7764,3.5673
0.8300,-0.0806,-0.2747,-0.3883,-0.4910,0.0000,-0.0226,3.7778,3.5655
0.8400,-0.0806,-0.2747,-0.3938,-0.4300,0.0000,-0.0226,3.7819,3.5651
0.8500,-0.0806,-0.3357,-0.3993,-0.3690,0.0000,-0.0226,3.7819,3.5619
0.8600,-0.0861,-0.2136,-0.3938,-0.1248,0.0000,-0.0226,3.7848,3.5628
0.8703,-0.0916,-0.0305,-0.3938,-0.1248,0.0000,-0.0226,3.7849,3.5637
0.8805,-0.0971,-0.0305,-0.3993,-0.1859,0.0000,-0.0226,3.7869,3.5621
0.8900,-0.0971,-0.0305,-0.3993,0.4855,0.0000,-0.0226,3.7867,3.5648
0.9000,-0.1026,-0.0305,-0.3993,0.3024,0.0000,-0.0226,3.7851,3.5662
0.9101,-0.1026,-0.0305,-0.4048,-0.3079,0.0000,-0.0226,3.7843,3.5635
0.9200,-0.1026,-0.0305,-0.4103,-0.3079,0.0000,-0.0226,3.7838,3.5629
