host_iso_time,elapsed_s,log_index,left_valid,left_new_sample,left_sequence,left_device_ms,left_report_tag,left_age_s,left_angle_x_deg,left_angle_y_deg,left_angle_z_deg,left_angle_y_raw_deg,left_angle_y_zero_offset_deg,left_gyro_x_dps,left_gyro_y_dps,left_gyro_z_dps,right_valid,right_new_sample,right_sequence,right_device_ms,right_report_tag,right_age_s,right_angle_x_deg,right_angle_y_deg,right_angle_z_deg,right_angle_y_raw_deg,right_angle_y_zero_offset_deg,right_gyro_x_dps,right_gyro_y_dps,right_gyro_z_dps
2026-08-06T18:13:06.410,0.0,0,1,1,200,1843377,0x0044,0.0,-318.05,5.519329411583271,-276.59000000000003,-125.36,-130.87932941158326,-1.03759765625,-7.8125,-21.54541015625,1,1,200,1795638,0x0044,0.0,-192.25,0.003500059103203057,284.65000000000003,-141.47,-141.4735000591032,-6.2255859375,1.28173828125,-0.9765625
2026-08-06T18:13:06.423,0.01599999999962165,1,1,1,201,1843387,0x0044,0.01599999999962165,-318.95,5.559329411583235,-275.59000000000003,-125.32000000000001,-130.87932941158326,2.5634765625,-2.62451171875,-18.37158203125,1,1,201,1795648,0x0044,0.01599999999962165,-192.34,-0.02649994089679808,284.62,-141.5,-141.4735000591032,-7.26318359375,0.8544921875,-1.28173828125
2026-08-06T18:13:06.440,0.0319999999992433,2,1,1,203,1843407,0x0044,0.01599999999962165,-320.27,5.8493294115832555,-274.04,-125.03,-130.87932941158326,2.99072265625,-10.80322265625,-11.474609375,1,1,203,1795668,0x0044,0.01599999999962165,-192.65,-0.07649994089680945,284.64,-141.55,-141.4735000591032,-7.9345703125,0.244140625,-1.15966796875
2026-08-06T18:13:06.440,0.0319999999992433,3,1,0,203,1843407,0x0044,0.01599999999962165,-320.27,5.8493294115832555,-274.04,-125.03,-130.87932941158326,2.99072265625,-10.80322265625,-11.474609375,1,0,203,1795668,0x0044,0.01599999999962165,-192.65,-0.07649994089680945,284.64,-141.55,-141.4735000591032,-7.9345703125,0.244140625,-1.15966796875
2026-08-06T18:13:06.455,0.04700000000048021,4,1,1,205,1843427,0x0044,0.015000000001236913,-321.06,6.209329411583269,-273.2,-124.67,-130.87932941158326,-1.3427734375,-6.2255859375,-5.67626953125,1,1,205,1795688,0x0044,0.015000000001236913,-192.78,-0.1264999408967924,284.47,-141.6,-141.4735000591032,-8.1787109375,1.40380859375,-1.03759765625
2026-08-06T18:13:06.470,0.06300000000010186,5,1,1,206,1843437,0x0044,0.01599999999962165,-321.34000000000003,6.299329411583244,-272.94,-124.58,-130.87932941158326,-2.38037109375,-3.47900390625,-4.2724609375,1,1,206,1795698,0x0044,0.01599999999962165,-192.88,-0.14649994089680263,284.43,-141.62,-141.4735000591032,-7.62939453125,0.48828125,-1.28173828125
2026-08-06T18:13:06.470,0.06300000000010186,6,1,0,206,1843437,0x0044,0.01599999999962165,-321.34000000000003,6.299329411583244,-272.94,-124.58,-130.87932941158326,-2.38037109375,-3.47900390625,-4.2724609375,1,0,206,1795698,0x0044,0.01599999999962165,-192.88,-0.14649994089680263,284.43,-141.62,-141.4735000591032,-7.62939453125,0.48828125,-1.28173828125
2026-08-06T18:13:06.485,0.07899999999972351,7,1,1,207,1843447,0x0044,0.01599999999962165,-321.59000000000003,6.379329411583257,-272.73,-124.5,-130.87932941158326,-3.5400390625,-3.41796875,-3.47900390625,1,0,206,1795698,0x0044,0.0319999999992433,-192.88,-0.14649994089680263,284.43,-141.62,-141.4735000591032,-7.62939453125,0.48828125,-1.28173828125
2026-08-06T18:13:06.501,0.09399999999914144,8,1,1,209,1843467,0x0044,0.014999999999417923,-322.11,6.5993294115832555,-272.35,-124.28,-130.87932941158326,-4.2724609375,-5.4931640625,-2.9296875,1,1,209,1795728,0x0044,0.014999999999417923,-193.49,-0.196499940896814,284.7,-141.67000000000002,-141.4735000591032,-5.615234375,-1.220703125,-1.77001953125
2026-08-06T18:13:06.501,0.09399999999914144,9,1,0,209,1843467,0x0044,0.014999999999417923,-322.11,6.5993294115832555,-272.35,-124.28,-130.87932941158326,-4.2724609375,-5.4931640625,-2.9296875,1,0,209,1795728,0x0044,0.014999999999417923,-193.49,-0.196499940896814,284.7,-141.67000000000002,-141.4735000591032,-5.615234375,-1.220703125,-1.77001953125
