time,fp_l_force_x,fp_l_force_y,fp_l_force_z,fp_l_cop_x,fp_l_cop_y,fp_l_cop_z,fp_r_force_x,fp_r_force_y,fp_r_force_z,fp_r_cop_x,fp_r_cop_y,fp_r_cop_z
81.2,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.205,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.21,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.215,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.22,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.225,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.23,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.235,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.24,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.245,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.25,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.255,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.26,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.265,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.27,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.275,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.28,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.285,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.29,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.295,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.3,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.305,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.31,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.315,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.32,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.325,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.33,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.335,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.34,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.345,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
81.35,5.212509,20.51953,13.00776,-5.199332,0.1769736,-2.023311,NaN,NaN,NaN,NaN,NaN,NaN
81.355,6.444911,28.42613,16.20621,-5.198519,0.1769073,-2.026136,NaN,NaN,NaN,NaN,NaN,NaN
81.36,7.17892,36.54645,18.26753,-5.197847,0.176846,-2.028757,NaN,NaN,NaN,NaN,NaN,NaN
81.365,7.412586,44.73451,19.0062,-5.197464,0.1767893,-2.031192,NaN,NaN,NaN,NaN,NaN,NaN
81.37,7.326,53.10209,18.56429,-5.197522,0.1767389,-2.033387,NaN,NaN,NaN,NaN,NaN,NaN
81.375,7.216446,61.93462,17.33534,-5.198112,0.1766963,-2.035275,NaN,NaN,NaN,NaN,NaN,NaN
81.38,7.390573,71.56215,15.82288,-5.199219,0.1766626,-2.036811,NaN,NaN,NaN,NaN,NaN,NaN
81.385,8.059985,82.23823,14.48516,-5.200714,0.1766379,-2.037984,NaN,NaN,NaN,NaN,NaN,NaN
81.39,9.281741,94.05723,13.61033,-5.202399,0.1766215,-2.038808,NaN,NaN,NaN,NaN,NaN,NaN
81.395,10.96052,106.9175,13.2512,-5.204073,0.1766127,-2.039302,NaN,NaN,NaN,NaN,NaN,NaN
81.4,12.89944,120.5256,13.23005,-5.205579,0.1766109,-2.039481,NaN,NaN,NaN,NaN,NaN,NaN
81.405,14.86858,134.4361,13.20554,-5.206826,0.1766157,-2.039354,NaN,NaN,NaN,NaN,NaN,NaN
81.41,16.66052,148.125,12.77786,-5.20778,0.1766269,-2.038928,NaN,NaN,NaN,NaN,NaN,NaN
81.415,18.11747,161.0912,11.59966,-5.208447,0.1766445,-2.038209,NaN,NaN,NaN,NaN,NaN,NaN
81.42,19.13172,172.9673,9.462499,-5.208852,0.1766682,-2.037208,NaN,NaN,NaN,NaN,NaN,NaN
81.425,19.63316,183.6158,6.339404,-5.209031,0.1766975,-2.035947,NaN,NaN,NaN,NaN,NaN,NaN
81.43,19.57812,193.1788,2.379355,-5.209018,0.1767315,-2.034471,NaN,NaN,NaN,NaN,NaN,NaN
81.435,18.94746,202.067,-2.139056,-5.208846,0.1767686,-2.032847,NaN,NaN,NaN,NaN,NaN,NaN
81.44,17.75232,210.8864,-6.880386,-5.208547,0.1768069,-2.031164,NaN,NaN,NaN,NaN,NaN,NaN
81.445,16.04025,220.3238,-11.53348,-5.208153,0.1768442,-2.029517,NaN,NaN,NaN,NaN,NaN,NaN
81.45,13.89471,231.0204,-15.88081,-5.2077,0.1768787,-2.027986,NaN,NaN,NaN,NaN,NaN,NaN
81.455,11.42581,243.4672,-19.8373,-5.20722,0.1769094,-2.026622,NaN,NaN,NaN,NaN,NaN,NaN
81.46,8.75526,257.9451,-23.4479,-5.206744,0.176936,-2.025433,NaN,NaN,NaN,NaN,NaN,NaN
81.465,6.000835,274.5209,-26.84709,-5.206295,0.1769591,-2.024402,NaN,NaN,NaN,NaN,NaN,NaN
81.47,3.263452,293.0916,-30.19695,-5.205889,0.1769793,-2.023498,NaN,NaN,NaN,NaN,NaN,NaN
81.475,0.6175215,313.4575,-33.62691,-5.205534,0.1769971,-2.0227,NaN,NaN,NaN,NaN,NaN,NaN
81.48,-1.89615,335.3972,-37.19511,-5.205233,0.1770128,-2.022001,NaN,NaN,NaN,NaN,NaN,NaN
81.485,-4.27377,358.7159,-40.8807,-5.20499,0.177026,-2.021407,NaN,NaN,NaN,NaN,NaN,NaN
81.49,-6.545214,383.2542,-44.60361,-5.204806,0.1770367,-2.020932,NaN,NaN,NaN,NaN,NaN,NaN
81.495,-8.761171,408.8603,-48.25867,-5.204684,0.1770445,-2.020587,NaN,NaN,NaN,NaN,NaN,NaN
