elapsed_s,left_position_rad,right_position_rad,left_command_torque_nm,right_command_torque_nm,left_actual_torque_nm,right_actual_torque_nm
0.7900,-0.2642282,0.8329516,0.0207,-0.0207,0.0094,-0.0092
0.8000,-0.2642282,0.8329516,0.0206,-0.0206,-0.0118,0.0104
0.8100,-0.2646117,0.8329516,0.0206,-0.0206,-0.0165,-0.0165
0.8200,-0.2642282,0.8329516,0.0205,-0.0205,0.0047,-0.0336
0.8300,-0.2646117,0.8329516,0.0204,-0.0204,0.0291,-0.0445
0.8400,-0.2642282,0.8329516,0.0204,-0.0204,-0.0118,-0.0445
0.8500,-0.2646117,0.8329516,0.0204,-0.0204,0.0353,-0.0165
0.8600,-0.2646117,0.8329516,0.0204,-0.0204,0.0353,-0.0165
0.8700,-0.2646117,0.8329516,0.0205,-0.0205,0.0141,0.0012
0.8800,-0.2642282,0.8329516,0.0204,-0.0204,0.0564,-0.0165
0.8900,-0.2642282,0.8329516,0.0205,-0.0205,0.0291,-0.0165
0.9000,-0.2646117,0.8329516,0.0206,-0.0206,0.0141,-0.0165
0.9100,-0.2642282,0.8329516,0.0206,-0.0206,0.0094,-0.0165
0.9200,-0.2646117,0.8329516,0.0207,-0.0207,0.0094,-0.0336
0.9300,-0.2646117,0.8329516,0.0208,-0.0208,0.0291,-0.0092
0.9400,-0.2646117,0.8329516,0.0208,-0.0208,-0.0118,-0.0445
0.9500,-0.2642282,0.8329516,0.0209,-0.0209,0.0508,-0.0275
0.9600,-0.2646117,0.8329516,0.0209,-0.0209,0.0094,-0.0445
0.9700,-0.2646117,0.8325681,0.0210,-0.0210,0.0353,-0.0336
0.9800,-0.2646117,0.8329516,0.0209,-0.0209,0.0353,0.0012
0.9900,-0.2646117,0.8325681,0.0210,-0.0210,-0.0009,-0.0165
1.0000,-0.2646117,0.8325681,0.0210,-0.0210,0.0150,-0.0226
1.0100,-0.2646117,0.8325681,0.0211,-0.0211,-0.0484,-0.0000
1.0200,-0.2646117,0.8321846,0.0211,-0.0211,-0.0056,-0.0031
1.0300,-0.2649952,0.8321846,0.0212,-0.0212,0.0080,-0.0000
1.0400,-0.2649952,0.8318011,0.0212,-0.0212,0.0009,-0.0134
1.0500,-0.2649952,0.8314176,0.0212,-0.0212,0.0367,-0.0287
1.0600,-0.2653787,0.8314176,0.0214,-0.0214,0.0221,0.0134
1.0700,-0.2653787,0.8306506,0.0214,-0.0214,0.0587,-0.0317
1.0800,-0.2653787,0.8298836,0.0215,-0.0215,0.0165,-0.0226
1.0900,-0.2653787,0.8295001,0.0215,-0.0215,0.0000,-0.0195
1.1000,-0.2653787,0.8291166,0.0216,-0.0216,0.0212,-0.0043
1.1100,-0.2653787,0.8291166,0.0217,-0.0217,0.0024,0.0153
1.1200,-0.2653787,0.8291166,0.0219,-0.0219,0.0376,-0.0598
1.1300,-0.2653787,0.8291166,0.0219,-0.0219,0.0291,-0.0378
1.1400,-0.2653787,0.8291166,0.0219,-0.0219,-0.0047,-0.0476
1.1500,-0.2653787,0.8291166,0.0220,-0.0220,0.0080,-0.0256
1.1600,-0.2653787,0.8291166,0.0220,-0.0220,0.0009,-0.0043
1.1700,-0.2653787,0.8291166,0.0221,-0.0221,0.0150,-0.0122
1.1800,-0.2649952,0.8291166,0.0221,-0.0221,-0.0033,-0.0397
1.1900,-0.2649952,0.8295001,0.0222,-0.0222,0.0024,0.0153
