timestamp,left_angle_rad,left_angular_velocity_rad_s,right_angle_rad,right_angular_velocity_rad_s,left_raw_tcn_nm,right_raw_tcn_nm,left_cmd_nm,right_cmd_nm,left_actual_nm,right_actual_nm,teensy_seq
0.430000,-0.040587566,0.002809760,-0.074760786,0.071670259,nan,nan,0.000000,0.000000,-0.007990,0.004270,61615
0.440000,-0.040587566,0.002809760,-0.074760786,0.071670259,nan,nan,0.000000,0.000000,0.031490,0.012200,61616
0.450000,-0.040587566,0.002809760,-0.074760786,0.071670259,nan,nan,0.000000,0.000000,-0.025850,-0.033550,61617
0.460000,-0.040587566,0.002809760,-0.074760786,0.071670259,nan,nan,0.000000,0.000000,-0.005640,0.012200,61618
0.470000,-0.040414270,0.014077470,-0.074760786,0.073660524,nan,nan,0.000000,0.000000,0.015040,-0.021350,61619
0.480000,-0.040414270,0.014077470,-0.074760786,0.077386166,nan,nan,0.000000,0.000000,0.015040,0.024400,61620
0.490000,-0.040294850,0.019104663,-0.074625348,0.078683279,nan,nan,0.000000,0.000000,-0.002350,-0.015250,61621
0.500000,-0.040225447,0.024502665,-0.074414172,0.083078149,nan,nan,0.000000,0.000000,-0.022090,-0.021350,61622
0.510000,-0.039670082,0.036448023,-0.073666301,0.101901009,nan,nan,0.000000,0.000000,-0.005640,0.004270,61623
0.520000,-0.039447247,0.030661410,-0.073379484,0.103494437,nan,nan,0.000000,0.000000,-0.000940,0.031720,61624
0.530000,-0.039343903,0.025795378,-0.072883882,0.105760231,nan,nan,0.000000,0.000000,-0.005640,0.010370,61625
0.540000,-0.039343903,0.025795378,-0.072883882,0.105760231,nan,nan,0.000000,0.000000,-0.005640,0.031720,61626
0.550000,-0.039232609,0.026501208,-0.072516497,0.109571808,nan,nan,0.000000,0.000000,0.019740,0.010370,61627
0.560000,-0.039176055,0.026815398,-0.072346799,0.111457343,nan,nan,0.000000,0.000000,0.021150,0.004270,61628
0.570000,-0.038662409,0.033542598,-0.071319572,0.117422643,nan,nan,0.000000,0.000000,0.036660,-0.021350,61629
0.580000,-0.038320436,0.032300958,-0.070197114,0.120770087,nan,nan,0.000000,0.000000,-0.012690,0.004270,61630
0.590000,-0.038102239,0.028991172,-0.069922030,0.124437872,nan,nan,0.000000,0.000000,0.015040,-0.021350,61631
0.600000,-0.037984197,0.026839462,-0.069512703,0.120135872,nan,nan,0.000000,0.000000,0.037600,0.004270,61632
0.610000,-0.037984197,0.026839462,-0.069512703,0.120135872,nan,nan,0.000000,0.000000,0.016450,0.010370,61633
0.620000,-0.037135308,0.046035403,-0.069193677,0.114888138,nan,nan,0.000000,0.000000,0.037600,-0.016470,61634
0.630000,-0.037135308,0.046035403,-0.069193677,0.114888138,nan,nan,0.000000,0.000000,0.016450,-0.015250,61635
0.640000,-0.037135308,0.046035403,-0.069193677,0.114888138,nan,nan,0.000000,0.000000,0.015040,0.004270,61636
0.650000,-0.036858908,0.052125818,-0.067232964,0.101679490,nan,nan,0.000000,0.000000,-0.004700,0.006100,61637
0.660000,-0.036478977,0.057386774,-0.067334178,0.091187354,nan,nan,0.000000,0.000000,0.010340,0.006100,61638
0.670000,-0.035379453,0.049930686,-0.067150090,0.084879703,nan,nan,0.000000,0.000000,-0.046060,-0.042700,61639
0.680000,-0.034961316,0.046167091,-0.066313441,0.109230586,nan,nan,0.000000,0.000000,-0.003290,-0.016470,61640
0.690000,-0.034615763,0.045482129,-0.065092500,0.135538269,nan,nan,0.000000,0.000000,-0.003290,0.003050,61641
0.700000,-0.034420414,0.047652674,-0.064318185,0.143476097,nan,nan,0.000000,0.000000,0.053110,0.027450,61642
0.710000,-0.034137249,0.039389184,-0.062417746,0.196008150,nan,nan,0.000000,0.000000,0.047000,0.031720,61643
0.720000,-0.033994989,0.022244889,-0.060799261,0.208678639,nan,nan,0.000000,0.000000,0.018800,0.007320,61644
0.730000,-0.033994989,0.022244889,-0.060799261,0.208678639,nan,nan,0.000000,0.000000,-0.049350,-0.084180,61645
0.740000,-0.033915428,0.029900698,-0.059306019,0.167206260,nan,nan,0.000000,0.000000,0.011750,-0.016470,61646
0.750000,-0.033221165,0.061034778,-0.058303620,0.146420597,nan,nan,0.000000,0.000000,0.002350,-0.018300,61647
0.760000,-0.033221165,0.061034778,-0.058303620,0.146420597,nan,nan,0.000000,0.000000,-0.015040,0.006100,61648
0.770000,-0.032596347,0.066113470,-0.056544415,0.163612563,nan,nan,0.000000,0.000000,0.003290,-0.018300,61649
0.780000,-0.032188423,0.026037573,-0.055717023,0.169856414,nan,nan,0.000000,0.000000,-0.016450,0.007320,61650
0.790000,-0.032188423,0.026037573,-0.055717023,0.169856414,nan,nan,0.000000,0.000000,0.012690,0.006100,61651
0.800000,-0.032188423,0.026037573,-0.055717023,0.169856414,nan,nan,0.000000,0.000000,-0.017390,-0.009150,61652
