elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm
0.8100,-0.1321,0.0165,0.1084,0.7788,-0.0306,0.0458
0.8200,-0.1376,-0.1056,0.1139,0.4736,-0.0306,0.0458
0.8300,-0.1431,-0.1056,0.1194,0.2905,-0.0306,0.0458
0.8400,-0.1486,-0.2277,0.1194,0.2295,-0.0437,0.0104
0.8500,-0.1486,0.1996,0.1194,0.4736,-0.0437,0.0104
0.8600,-0.1486,0.1996,0.1249,0.5957,-0.0437,0.0104
0.8700,-0.1321,1.0541,0.1304,0.5347,-0.0437,0.0104
0.8800,-0.1211,1.3593,0.1358,0.5347,-0.0033,0.0244
0.8900,-0.1101,1.4203,0.1358,0.5347,-0.0033,0.0244
0.9000,-0.1046,0.6268,0.1413,0.7178,-0.0235,0.0183
0.9100,-0.1101,0.0165,0.1468,0.7178,-0.0235,0.0183
0.9204,-0.1266,-0.1666,0.1468,0.3516,-0.0009,0.0043
0.9300,-0.1376,-0.2887,0.1468,0.3516,-0.0009,0.0043
0.9404,-0.1541,-0.1056,0.1413,0.3516,0.0376,0.0043
0.9500,-0.1651,0.2606,0.1358,0.3516,0.0376,0.0043
0.9603,-0.1651,0.5658,0.1358,0.5347,0.0306,0.0458
0.9700,-0.1596,1.2372,0.1358,0.8398,0.0306,0.0458
0.9800,-0.1486,1.6644,0.1413,1.0229,-0.0268,0.0195
0.9907,-0.1266,1.7865,0.1523,0.6567,-0.0268,0.0195
1.0000,-0.1266,1.7865,0.1523,0.6567,-0.0268,0.0043
1.0101,-0.1046,0.8099,0.1578,0.3516,-0.0268,0.0043
1.0200,-0.0992,0.5048,0.1578,0.2295,0.0094,0.0244
1.0300,-0.0937,0.5048,0.1578,0.4126,0.0094,0.0244
1.0402,-0.0882,0.3827,0.1633,0.4736,-0.0235,0.0244
1.0501,-0.0882,0.3217,0.1633,0.4736,-0.0235,0.0244
1.0600,-0.0882,0.1996,0.1743,0.5347,-0.0103,-0.0012
1.0700,-0.0882,0.1385,0.1743,0.5347,-0.0103,-0.0012
1.0803,-0.0882,0.1385,0.1798,0.5347,-0.0484,-0.0012
1.0900,-0.0882,0.2606,0.1908,0.7178,-0.0484,-0.0012
1.1000,-0.0772,0.5048,0.1908,0.7178,-0.0103,0.0244
1.1100,-0.0717,0.5048,0.1908,-0.1978,-0.0103,0.0244
1.1204,-0.0717,0.4437,0.1908,-0.1978,-0.0071,-0.0165
1.1300,-0.0717,0.3217,0.1853,-0.5640,-0.0071,-0.0165
1.1402,-0.0717,0.3217,0.1688,-0.2588,-0.0268,0.0458
1.1501,-0.0717,0.4437,0.1633,0.0464,-0.0268,0.0458
1.1600,-0.0717,0.4437,0.1633,0.0464,-0.0235,0.0244
1.1700,-0.0717,0.4437,0.1578,0.1685,-0.0221,0.0195
1.1802,-0.0717,0.5658,0.1578,0.4736,-0.0221,0.0195
1.1900,-0.0772,0.3827,0.1633,0.9009,-0.0221,0.0195
1.2000,-0.0827,0.3827,0.1688,0.9009,-0.0306,0.0244
1.2101,-0.0882,0.2606,0.1743,0.9009,-0.0306,0.0244
1.2200,-0.0882,0.4437,0.1743,0.7178,-0.0188,0.0244
1.2300,-0.0882,0.7489,0.1798,0.5347,-0.0188,0.0244
1.2400,-0.0827,1.0541,0.1798,0.5347,-0.0315,0.0458
1.2500,-0.0772,1.0541,0.1798,0.4736,-0.0437,0.0366
1.2600,-0.0717,0.9930,0.1798,0.1074,-0.0437,0.0366
1.2700,-0.0607,1.2982,0.1798,0.3516,-0.0437,0.0366
1.2800,-0.0497,1.3593,0.1798,0.3516,-0.0437,0.0366
1.2901,-0.0442,1.0541,0.1798,0.3516,-0.0071,0.0043
1.3000,-0.0387,0.7489,0.1908,0.7788,-0.0071,0.0043
1.3100,-0.0387,0.7489,0.1908,0.7788,-0.0268,0.0092
1.3201,-0.0332,0.6268,0.1908,0.7788,-0.0268,0.0092
1.3300,-0.0277,0.5658,0.2237,0.9009,-0.0268,0.0092
1.3400,-0.0277,0.4437,0.2292,0.8398,-0.0437,0.0409
1.3500,-0.0277,0.4437,0.2292,0.8398,-0.0437,0.0409
1.3600,-0.0222,0.4437,0.2402,0.6567,0.0141,0.0458
1.3700,-0.0222,0.5048,0.2402,0.6567,0.0141,0.0458
1.3801,-0.0168,0.5048,0.2402,-0.0757,0.0141,0.0458
1.3901,-0.0113,0.3217,0.2347,-0.6250,0.0141,0.0458
1.4000,-0.0113,0.2606,0.2347,-0.6250,0.0141,0.0458
1.4100,-0.0168,0.0775,0.2182,0.0464,0.0141,0.0458
1.4200,-0.0222,0.0165,0.2182,0.0464,-0.0071,0.0244
1.4300,-0.0222,0.0775,0.2182,0.0464,-0.0071,0.0244
1.4401,-0.0277,-0.1056,0.2237,0.3516,-0.0024,0.0519
1.4502,-0.0387,0.0165,0.2237,0.3516,-0.0024,0.0519
1.4600,-0.0442,-0.4108,0.2237,0.4736,-0.0024,0.0519
1.4701,-0.0497,0.0775,0.2347,0.6567,-0.0024,0.0519
1.4800,-0.0387,1.6644,0.2402,0.3516,-0.0024,0.0519
1.4900,-0.0387,1.6644,0.2402,0.3516,-0.0024,0.0519
1.5000,-0.0277,1.1761,0.2402,0.3516,-0.0024,0.0519
1.5100,-0.0003,1.4813,0.2402,0.3516,-0.0437,0.0305
1.5202,0.0052,0.9930,0.2402,0.5347,-0.0437,0.0305
1.5300,0.0052,0.9930,0.2457,0.4736,-0.0437,0.0305
1.5400,0.0162,0.6268,0.2402,-0.0146,-0.0174,0.0397
1.5500,0.0217,0.5658,0.2347,0.2295,-0.0174,0.0397
1.5600,0.0217,0.5658,0.2347,0.2295,-0.0268,0.0519
1.5700,0.0272,0.8710,0.2347,0.4126,-0.0268,0.0519
