time,pelvis_imu_accel_x,pelvis_imu_accel_y,pelvis_imu_accel_z,pelvis_imu_gyro_x,pelvis_imu_gyro_y,pelvis_imu_gyro_z,thigh_imu_l_accel_x,thigh_imu_l_accel_y,thigh_imu_l_accel_z,thigh_imu_l_gyro_x,thigh_imu_l_gyro_y,thigh_imu_l_gyro_z,shank_imu_l_accel_x,shank_imu_l_accel_y,shank_imu_l_accel_z,shank_imu_l_gyro_x,shank_imu_l_gyro_y,shank_imu_l_gyro_z,foot_imu_l_accel_x,foot_imu_l_accel_y,foot_imu_l_accel_z,foot_imu_l_gyro_x,foot_imu_l_gyro_y,foot_imu_l_gyro_z,thigh_imu_r_accel_x,thigh_imu_r_accel_y,thigh_imu_r_accel_z,thigh_imu_r_gyro_x,thigh_imu_r_gyro_y,thigh_imu_r_gyro_z,shank_imu_r_accel_x,shank_imu_r_accel_y,shank_imu_r_accel_z,shank_imu_r_gyro_x,shank_imu_r_gyro_y,shank_imu_r_gyro_z,foot_imu_r_accel_x,foot_imu_r_accel_y,foot_imu_r_accel_z,foot_imu_r_gyro_x,foot_imu_r_gyro_y,foot_imu_r_gyro_z
170,0.32564304886198,0.153869613089011,0.598328050018507,7.91307792890213,-20.4575057485676,-20.7856619094511,-5.28018139205581,-2.51038705767616,-3.64628000908564,-0.057146055402555,-75.5087043000755,-38.9335759898619,-7.78658870089552,-1.46905385040475,-0.809621268476975,25.5097200459452,-71.0689790814774,-76.4064037857398,-5.9238158299398,-1.1616440753481,-1.14033039572162,-3.80946563277217,-85.0898578148342,-3.00642535463759,7.90860006058501,4.43663933473011,1.78957803643566,-15.2639079336645,-82.9011804395424,-50.7903337851066,-2.12416245123455,9.47329115100221,3.77795937657612,32.701822883639,-77.6895562908356,253.185811434555,-16.1625491844254,9.19807407736929,7.80964474583251,51.5427571187904,-110.286612143317,215.465520162603
170.005,0.400439045353817,0.898958957964745,0.760381004525407,7.04809902517669,-21.1442818016081,-18.6789333036487,-5.23647718412475,-1.67285473481583,-3.32049298294004,0.717129798959111,-67.3919652573857,-46.0713973806379,-8.40492114353853,-0.726507452275557,-0.261623667687366,23.6734141746259,-63.1009113779003,-75.1914303038711,-6.98910872422606,-0.366870259599173,-0.78723782022648,-7.30360871618,-77.3618161074692,1.3600369233323,8.5797415576513,4.87614648439222,0.866834620983294,-15.3358537673536,-84.0718197252018,-42.6625072842741,-1.96075880174654,9.25644041684116,3.46126489176572,31.260859432461,-79.5318868156733,238.785087123783,-16.2631353102551,8.50793584810922,7.44702750485896,56.2936507871927,-106.082436929524,204.032182383303
170.01,0.494220896461742,1.7141848801356,0.909929450088344,6.38617641264114,-21.6695698172194,-16.5050327742081,-5.13135260252015,-0.720707936581345,-2.9554451403965,1.29761415223248,-59.6312751955958,-53.2474673538684,-8.95610173899682,0.138696680715593,0.254478960632303,21.6918275849673,-55.5607041782311,-74.340052976923,-8.02404834933476,0.540422545641031,-0.462297025713376,-9.44284077915892,-69.0212494741307,6.19923494437174,9.17913989585525,5.29418414668372,-0.111708116354017,-15.0855159480821,-83.6949709307598,-34.5199538258453,-1.85708887733748,9.04599533425708,3.02496662691772,29.4027224957679,-79.7937640861594,223.849976321036,-16.3718449955177,7.88717578360515,6.87719107760531,60.1698946665205,-100.419053539871,192.744727081488
170.015,0.60872962132476,2.59257809722433,1.04443491471873,5.9549856549221,-22.0309222601434,-14.2946400939432,-4.96782878151753,0.334709323774204,-2.56514330270888,1.67847762708185,-52.3226956572288,-60.3841245014337,-9.43178939819102,1.11795607036824,0.73394673866744,19.6130400320178,-48.5361604278093,-73.8572711511434,-9.0109944480308,1.54252504019788,-0.155410554549232,-10.2451422928022,-60.2121557756444,11.4127335682824,9.70345090674221,5.68590359428372,-1.12272836186071,-14.5265621841056,-81.7091861016223,-26.4981647383223,-1.81722724822936,8.85423433603223,2.49870080664747,27.1964201978573,-78.4014838516814,208.475801786003,-16.4880776083609,7.34223533855988,6.15067996347665,63.1193816805774,-93.3294366828231,181.641997191085
170.02,0.745169121211568,3.52615739691097,1.161880697153,5.77462028917956,-22.227751991207,-12.0781898459397,-4.74919931409876,1.4807710666831,-2.16404717606801,1.85751274122255,-45.5380987191573,-67.4072196877029,-9.82426266076969,2.20058655200933,1.17331718925817,17.4781078344815,-42.090742470967,-73.7384893840407,-9.93231088484105,2.62099869647353,0.143745518256759,-9.7782705240275,-51.0834300391105,16.8711370862503,10.1506761627271,6.04701539853927,-2.14121881009558,-13.6846202588783,-78.0893130756428,-18.7322043775833,-1.84192968485863,8.69032980402592,1.91710871902845,24.7018307334092,-75.3259171889441,192.763674405524,-16.607120596039,6.8746212299969,5.32626896545092,65.0998930828705,-84.879680510535,170.746285387838
170.025,0.904122358143434,4.50600008450184,1.26080801554957,5.85725981738637,-22.2611793040345,-9.88518244126792,-4.47894532196041,2.70383534881105,-1.76662709458409,1.83628779547348,-39.3237239880599,-74.246322498882,-10.1265737929319,3.374070877029,1.56990258515306,15.320025420773,-36.2625276367956,-73.9704201836361,-10.7705251592336,3.75696968125292,0.444287334073921,-8.15795312691666,-41.7851464266432,22.419040846938,10.5201228386952,6.37388053073953,-3.14135749808241,-12.5964051659033,-72.8484259004772,-11.3537201778676,-1.92926933829068,8.56094086443811,1.31717334839116,21.9664512235309,-70.5833334422772,176.819203977902,-16.7215058383338,6.48245935668741,4.46636039837949,66.0797420251011,-75.1674180335076,160.065278121805
170.03,1.08548424076454,5.52233223111068,1.34033652911127,6.20704841746401,-22.1338459668027,-7.74352890176666,-4.16065674860581,3.98950136515019,-1.386917681157,1.62037405592316,-33.6996703368167,-80.834739729277,-10.3327520374365,4.6242932467736,1.92133964888597,13.1634513861655,-31.0639204542526,-74.5322109851365,-11.5086608748662,4.93129788537976,0.752919339566847,-5.54383710180965,-32.4650052785189,27.880828485863,10.812343611094,6.66357604469163,-4.09740857138773,-11.3080928825477,-66.0386389527846,-4.48802388847409,-2.07535284103971,8.47116227642236,0.73544665012817,19.0239711550339,-64.234757322371,160.750997582946,-16.8225225418836,6.16238150162891,3.63224406437338,66.0393627444004,-64.3191514286495,149.594649642509
170.035,1.28841427416172,6.56463881862152,1.40016882975658,6.82018362569137,-21.8497041766857,-5.6789506059586,-3.79795861076416,5.32284920686334,-1.03808425431247,1.21961519257116,-28.6603314266187,-87.1093808649196,-10.4379436749629,5.93581007513767,2.22522785321723,11.0251363210065,-26.4821416452102,-75.3967645318768,-12.1306556214283,6.12472753632564,1.07304469897874,-2.13330122075611,-23.2650415493772,33.0669594266165,11.0290656510807,6.91394337289244,-4.98460630662089,-9.87302288894287,-57.7507533125579,1.74863946772663,-2.27420378556479,8.42389860068478,0.205393888426957,15.8947323526257,-56.3839848156685,144.668926813644,-16.9007155795611,5.90981474410662,2.87926589428953,64.9737256157715,-52.4866344546083,139.321035557975
170.04,1.51131132427489,7.62179308605169,1.44057888255192,7.68520815945426,-21.413790060385,-3.71445242861986,-3.39444302791232,6.68865634741775,-0.732018441579169,0.648400349010499,-24.1757480326094,-93.0105127681232,-10.4385146536115,7.29213480268212,2.47888060590191,8.91494700566699,-22.4804954648874,-76.532216917021,-12.6218708822489,7.31802728676952,1.40424613436066,1.84661325874176,-14.3186680287337,37.7804177963177,11.1731164945464,7.12362984967765,-5.77997885919996,-8.34886995374356,-48.1127289434382,7.25154227888084,-2.5178685922051,8.4194844623993,-0.24492976689233,12.5879456917995,-47.1743904157055,128.682173048588,-16.9464965923603,5.71926791040076,2.25265263752128,62.8953357221028,-39.842475519126,129.225116621606
170.045,1.75181204561447,8.68220353828553,1.4623848127923,8.78349222172175,-20.831992570444,-1.86988418642672,-2.95360997927239,8.07158788017128,-0.478978159748374,-0.0741018101922032,-20.1938159983724,-98.4814507206831,-10.3321310899686,8.67602270256954,2.67920054354351,6.83735037418377,-19.0003942282382,-77.9035335931695,-12.9696765451553,8.49214271470794,1.74215716946253,6.14876390969241,-5.74810565011507,41.8230466407341,11.2483520392337,7.29213394699237,-6.4630743664421,-6.79447411789414,-37.2870215788495,11.9295836514025,-2.79685170116898,8.45594496556942,-0.594692012313655,9.10536137161488,-36.7846585401451,112.897093611932,-16.9509612539715,5.58494005464347,1.78437971742899,59.8374763770859,-26.5751522087647,119.284569441664
