time,hip_angle_l,hip_angle_l_velocity,hip_angle_l_velocity_filt,hip_angle_l_torque_estimated,hip_angle_l_torque_desired,hip_angle_l_torque_measured,hip_angle_l_torque_interaction,knee_angle_l,knee_angle_l_velocity,knee_angle_l_velocity_filt,knee_angle_l_torque_estimated,knee_angle_l_torque_desired,knee_angle_l_torque_measured,knee_angle_l_torque_interaction,thigh_imu_l_accel_x,thigh_imu_l_accel_y,thigh_imu_l_accel_z,thigh_imu_l_gyro_x,thigh_imu_l_gyro_y,thigh_imu_l_gyro_z,shank_imu_l_accel_x,shank_imu_l_accel_y,shank_imu_l_accel_z,shank_imu_l_gyro_x,shank_imu_l_gyro_y,shank_imu_l_gyro_z,foot_imu_l_accel_x,foot_imu_l_accel_y,foot_imu_l_accel_z,foot_imu_l_gyro_x,foot_imu_l_gyro_y,foot_imu_l_gyro_z,insole_l_force_y,insole_l_cop_x,insole_l_cop_z,hip_angle_r,hip_angle_r_velocity,hip_angle_r_velocity_filt,hip_angle_r_torque_estimated,hip_angle_r_torque_desired,hip_angle_r_torque_measured,hip_angle_r_torque_interaction,knee_angle_r,knee_angle_r_velocity,knee_angle_r_velocity_filt,knee_angle_r_torque_estimated,knee_angle_r_torque_desired,knee_angle_r_torque_measured,knee_angle_r_torque_interaction,thigh_imu_r_accel_x,thigh_imu_r_accel_y,thigh_imu_r_accel_z,thigh_imu_r_gyro_x,thigh_imu_r_gyro_y,thigh_imu_r_gyro_z,shank_imu_r_accel_x,shank_imu_r_accel_y,shank_imu_r_accel_z,shank_imu_r_gyro_x,shank_imu_r_gyro_y,shank_imu_r_gyro_z,foot_imu_r_accel_x,foot_imu_r_accel_y,foot_imu_r_accel_z,foot_imu_r_gyro_x,foot_imu_r_gyro_y,foot_imu_r_gyro_z,insole_r_force_y,insole_r_cop_x,insole_r_cop_z
170,-12.9472155444814,28.1433931111822,-16.3148953040698,-0.0282167584893021,-1.92069788658953,-1.42079810993889,-1.78544484351568,-23.3749541601589,71.5035582638398,-32.5552740461624,0.0621571274597996,0.0267450500988389,-2.25129060768211,-2.66115878087519,0.403345333262749,0.372078458362033,-0.54082058340832,6.7794111015033,-58.2557952273484,-40.3536194885128,-13.0994536502726,-7.14123087511252,-2.83848695007676,39.7973815840299,-190.996092833441,-11.3027374348779,14.9377024717875,-9.15202694725817,-7.24980369147291,29.2764893695937,-227.014726482785,57.3356472085863,27.8751124993382,0,0,-42.6137286971241,71.1752209764115,63.0953380514315,-0.122913078916052,4.21071032102669,3.13449870164893,3.33002203277078,-33.7733912055012,196.431437612583,216.202136048163,-0.233193900273046,-1.84899976108593,-0.935750853646785,-0.383574229227035,3.42858700831169,1.89706495844144,2.15041929165122,-0.751533487711489,-62.0602989917053,-117.307336100637,2.98614431679816,10.3936195669437,4.63123087511247,25.3056733653201,-116.98100403331,296.012592736383,-21.754581680835,15.5670309661525,-1.88411908639709,60.6194249711084,-93.7865414139554,365.035883064034,0,0,0
170.005,-12.6160461091566,33.8650849523337,-6.29394746928457,-0.0502291244535071,-1.87107753446753,-1.56803648901907,-1.93072495067659,-22.6031514938702,78.7524951289608,-9.36987366412952,0.058706249808845,0.191605915256543,-1.85701487047086,-2.20895684099826,-0.275272763366862,0.197372816304942,-0.341883536262556,10.6639656817573,-60.0472364370723,-49.8333879052866,-12.9646005823187,-6.94146678136582,-3.29510931709899,36.4948509564797,-149.661822180395,6.5782351038174,12.8524392537177,-11.1167156628416,-9.72200846199386,27.0225385400087,-213.577837056998,17.2130840336854,25.4655770248809,0,0,-42.0256849422021,64.6964054836679,65.1457876603505,-0.132919122575141,4.28330082285435,3.36988397817438,3.62136791681991,-32.1164852513909,183.160473538505,211.653542015698,-0.232180140655126,-1.89121628193254,-0.965169678723105,-0.323154293398137,3.04050661725779,2.31619613552146,1.82311540497618,-1.80410351678658,-61.3501733558157,-114.106543405943,3.47784475913184,10.4553074377978,4.35474563260982,32.8222730362266,-130.719091850806,284.355030259658,-22.0677108764648,15.3927907943726,-2.2177882194519,60.5499992370605,-98.629997253418,363.579986572266,0,0,0
170.01,-12.233856313553,39.0427984819013,3.95652092927832,-0.0721268261621546,-1.7890378117978,-1.67783816834806,-2.03538506309197,-21.7599093247874,83.5319226766276,13.8356046797341,0.0553894848711529,0.339961588311322,-1.44220850979559,-1.7343005278579,-1.01634264160932,-0.0718548173636731,0.0355902593965265,14.4435008724977,-60.6229045350274,-56.9538540216589,-12.337327951297,-6.5001555055585,-3.74474722075172,32.8695125776915,-107.480427621905,23.5364578227424,10.0664808363937,-12.4043322164839,-12.2580216403926,28.5768425103658,-194.265611032634,-32.5634983273774,23.5226971942827,0,0,-41.4797010324618,57.1289776508741,66.5245921611831,-0.139967803277375,4.33288706230143,3.60168752342447,3.90846983126593,-30.5513334943732,168.423903325426,206.070524865786,-0.230963874171108,-1.93062274088116,-1.00177025504296,-0.27460118044839,2.58531762837479,2.66591450502913,1.43453943885654,-3.04110460822565,-60.5586297211275,-110.364700769236,3.88029843832718,10.0695070142933,3.8162903652726,40.4601551215942,-147.464865628819,270.001020364815,-22.0677108764648,15.3927907943726,-2.2177882194519,60.5499992370605,-98.629997253418,363.579986572266,0,0,0
170.015,-11.8516847417618,44.2202651244992,14.2065005586061,-0.0940234837309152,-1.70700200099736,-1.78763461204481,-2.13735460158121,-20.9167073637042,88.3111223286457,37.0399765254886,0.0520728780855177,0.488310187378258,-1.02742192817624,-1.25985560717392,-1.75737718369509,-0.34106961355214,0.413046056114371,18.222855845081,-61.1985451836167,-64.0739806155194,-11.7100852302806,-6.05886527263102,-4.19436368448915,29.2443470645518,-65.3010443830101,40.4938719291022,7.28065526087868,-13.6918873731897,-14.7939138950274,30.1310723674304,-174.954305865892,-82.337707210357,21.5799100052938,0,0,-40.9337431566674,49.5619106528997,67.9033309169984,-0.147016147880015,4.38247093734649,3.83348001567317,4.19347342732654,-28.986256367899,153.688035790689,200.487773928784,-0.229747665681868,-1.97002732082639,-1.03836908615128,-0.232980644964742,2.13015034409739,3.01561619904713,1.04598200105877,-4.27804671620623,-59.7671238293172,-106.623036553405,4.28273292747487,9.68372498676549,3.27786077289569,48.0976730126986,-164.20984092439,255.647694906836,-22.0677108764648,15.3927907943726,-2.2177882194519,60.5499992370605,-98.629997253418,363.579986572266,0,0,0
170.02,-11.4640259526447,47.7739012938994,23.5390579998697,-0.113112098560087,-1.59877388925059,-1.87056998665114,-2.21024994749343,-20.1488652257313,87.0471627533181,56.964971302848,0.0493896074821823,0.617632432252004,-0.576601222704976,-0.751514355255784,-2.39468791500665,-0.666954404603808,0.629425999704909,21.6620896387017,-58.8937746954569,-70.9990490712049,-11.6403438099454,-5.37769145639662,-4.61203187250996,26.3058128710581,-22.8270466374101,52.2878490610034,4.6588577218722,-14.5419860610185,-16.9800728608923,34.1755740965153,-148.75666480749,-129.780768962003,24.2878117160986,0.016228213336803,0.00271845449372891,-40.4392154590989,42.02555126607,68.1861080365459,-0.152055431258335,4.40306669954292,4.05247276997661,4.46212960157048,-27.5239641281608,138.697225353685,193.798007315921,-0.227465742601953,-2.01034523019176,-1.06813192367554,-0.193579791003685,1.73157518075844,3.16751143573854,0.777214106536832,-5.13644370847656,-58.5369978704296,-101.647787451019,4.87015936254981,9.35506492548326,2.70028478677879,54.0552631722766,-180.3728442426,240.024740543997,-22.0832880637068,15.1084786178405,-2.44406102233815,61.2683281363051,-98.4630618388804,359.880425140079,0,0,0
170.025,-11.0525621060034,44.2583656153426,28.8761959756454,-0.119973513888858,-1.37655476491578,-1.83656356423341,-2.16441391657036,-19.7092191394552,59.4779647921948,62.6109036138569,0.049463767296948,0.664107284527657,0.0309802372713822,-0.0902510162272843,-2.58036299247455,-1.23945256012984,0.144607741872029,23.6200829967738,-44.0512299225594,-77.0736040747846,-13.9973857655796,-3.65246052825733,-4.89054448871182,26.3567525356583,20.9205740670909,41.6032544111012,2.75160832447542,-13.4876871777439,-17.6434105555592,49.059236769282,-92.5886643844889,-167.066643252445,47.2393143475481,0.103093473699088,0.0172696100941584,-40.1686628106312,34.6244244666501,63.6981728129499,-0.148348348643286,4.2974747131348,4.21570359758172,4.67002262033352,-26.509391696407,122.599775616321,182.290858022822,-0.220545303037501,-2.05463043802755,-1.06813192367554,-0.135397291687149,1.57942477005558,2.45833579263195,1.02993851753481,-4.34687890717271,-55.3978410394393,-91.303851808131,6.2627224435591,9.27512148935124,1.95242683586639,52.698994602295,-193.999204523166,218.878412276819,-22.1666685565188,13.5866320210489,-3.6552384654546,65.1133494928533,-97.5695014729584,340.077668030377,0,0,0
170.03,-10.6411178790381,40.7429975667534,34.2130794626754,-0.126834602047338,-1.15434623657203,-1.80255876333115,-2.11714546278167,-19.2695940166584,31.9100814027844,68.2565667119957,0.0495379235755791,0.710579920760381,0.63853272616916,0.565753804875382,-2.76602921646746,-1.81192341744133,-0.340187398553935,25.5779829925839,-29.2093928811503,-83.1478694276392,-16.3543153312675,-1.92731186365647,-5.16904382470119,26.4076897713217,64.6661087702232,30.9191692307132,0.844449869735378,-12.433438566207,-18.3067166205439,63.9421897499509,-36.4233421991581,-204.350739654546,70.189722591117,0.189954592097785,0.0318200718573,-39.8981230628239,27.2236505723798,59.2104515858837,-0.144641442791664,4.1918877616297,4.37892664191257,4.8715027319434,-25.4948676421295,106.503093447607,170.784257420802,-0.21362519345777,-2.09891353422841,-1.06813192367554,-0.0898655462087715,1.42728161428361,1.74919396488123,1.2826508779696,-3.55735175439076,-52.2588338916852,-80.9604093912416,7.65521912350598,9.19518186513207,1.20460454478382,51.3427907027582,-207.624915063113,197.73309232207,-22.2500450735302,12.064857989897,-4.86635815645189,68.9581875086921,-96.6759837143397,320.275855168104,0,0,0
170.035,-10.2296540323968,37.2274618881966,39.5502174384511,-0.133696017376109,-0.932127112237221,-1.76855234091342,-2.06871422842084,-18.8299479303824,4.34088344166115,73.9024990230045,0.0496120833903447,0.757054773036033,1.24611418614552,1.21552726112525,-2.95170429393536,-2.38442157296737,-0.825005656386814,27.5359763506559,-14.3668481082528,-89.2224244312189,-18.7113572869018,-0.202080935517181,-5.44755644090304,26.4586294359219,108.413729474724,20.234574580811,-1.06279952766141,-11.3791396829325,-18.9700543152108,78.8258524227175,19.7446582238431,-241.636613944987,93.1412252225665,0.27681985246007,0.0463712274577295,-39.6275704143562,19.8225237729599,54.7225163622876,-0.140934360176615,4.08629577522158,4.54215746951768,5.06527363450328,-24.4802952103758,90.4056437102429,159.277108127703,-0.206704753893318,-2.1431987420642,-1.06813192367554,-0.0583472144647374,1.27513120358075,1.04001832177464,1.53537528896757,-2.76778695308691,-49.1196770606949,-70.6164737483536,9.04778220451527,9.11523842900005,0.456746593871422,49.9865221327766,-221.251275343679,176.586764054892,-22.3334255663423,10.5430113931054,-6.07753559956835,72.8032088652403,-95.7824233484177,300.473098058402,0,0,0
170.04,-9.81613636571793,35.1517948002856,43.3651900879972,-0.136850730193756,-0.704898880753851,-1.7302064235944,-2.01496349800298,-18.6953679792258,-17.9401972549033,74.2692461926174,0.0469409314540717,0.788041966601806,1.59725959961509,1.60196672058795,-3.13137439317092,-2.24655082159494,-1.32679083810291,29.3015869568103,-2.3612713031243,-92.4822768437098,-18.9338898964996,1.5600446365542,-4.89331190199505,26.2766176510615,138.244047487362,-0.0981791005032466,-7.7355342591846,-4.44357017730369,-17.6341680340529,77.6981997036122,47.1062519534969,-245.101044405141,164.596946034297,0.33686158001052,0.0529533567406851,-39.4452418189825,12.7393055750664,49.5161763232786,-0.136531683502656,3.93049972683983,4.65185146834015,5.19661198859861,-23.6746593092907,73.2235151600558,146.74029863319,-0.198498570408812,-2.18773248923223,-1.08174308227729,-0.0554683980308989,1.24530219273001,0.435287313878613,1.60654745484755,-3.32390885406297,-46.150417451202,-60.0076850601556,10.3189501178361,9.15782247466794,-0.168378856826356,47.9885314719819,-228.356426324344,159.484349987805,-21.894991472529,9.15486513766281,-6.09610348006633,78.9552172815536,-81.041265174568,275.107260066576,0,0,0
170.045,-9.39796199783049,36.2957357494053,43.7767857669038,-0.131716759157104,-0.466433890023363,-1.682150326255,-1.95060907777237,-19.2429761120297,-28.3990825502294,62.8303907176626,0.0381301215338115,0.784399426344848,1.3750001358445,1.40787348508747,-3.29764349403216,-0.520085363337184,-1.86659600117294,30.6372511358918,3.3019448161811,-89.4482102137543,-14.3831273825168,3.40494835843913,-2.47671579221737,25.5736365041765,136.956186026269,-42.0099150777858,-25.0661888536024,15.6451518218498,-11.8272801294446,40.7648218307512,10.0532966400077,-172.93228379828,344.532000390977,0.336928034065789,0.0417156437030806,-39.4601774866936,6.36592230410536,42.702488981771,-0.130572794454571,3.66241002751545,4.64183983569807,5.19834242288745,-23.3361366227146,53.6131053127748,131.898960930625,-0.187415855855019,-2.23282890880931,-1.1257945048384,-0.0986953403364538,1.4890116967321,0.0640289105857182,1.27173159420918,-6.8894292310636,-43.5606349060777,-48.8049775033966,11.3188423819195,9.47441706397906,-0.51913832987609,44.5551715505956,-220.879518846076,151.422562195328,-20.2895737970984,8.06549411373763,-3.44768268710384,90.2672104959332,-35.3309278351546,237.296982120918,0,0,0
