time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
170,-0.0981928726922032,-0.211246042710276,-0.012902031900932,0.0807364432012161,-0.00712900469194121,-0.0181541789904323,0.0964750541239968,-0.101933684040614,0.0201592046206458,-0.164559728809034,0.0192659606169853,-0.00794477187266225
170.005,-0.0850754567478836,-0.243893339519394,-0.015081368456534,0.0823216343979796,-0.0782464343292934,-0.011512268779889,0.0949999439832959,-0.104108091426707,0.0251701298753004,-0.16832694453432,0.0190519648638085,-0.00796991966769747
170.01,-0.0700311087377169,-0.281256191028123,-0.0170111684249635,0.0824610503015852,-0.161270181553294,-0.00303260820975493,0.0913759748336985,-0.105337666367108,0.0298646737513512,-0.171668639295503,0.0186164181955724,-0.00791941781410674
170.015,-0.0536390805091186,-0.323085696715977,-0.0186704122352259,0.0808276311986709,-0.256258571791112,0.00735277875233745,0.0858834945189443,-0.105703953583409,0.0341945760324365,-0.174505875669335,0.0179484333623114,-0.00779315827596241
170.02,-0.0365072135427458,-0.368984466621775,-0.0200447338355246,0.0771113261895709,-0.36303948866383,0.0196709414022325,0.07885703393101,-0.105312834950576,0.0381215205256255,-0.176761459385782,0.0170403915947696,-0.0075928407833131
170.025,-0.0192485067269195,-0.418415332387092,-0.0211259616889764,0.0710364543765079,-0.481191970110792,0.033903950156401,0.0706775892920055,-0.104288446891099,0.0416165269950556,-0.178363304395779,0.0158886621336483,-0.00732190173148679
170.03,-0.00245806750037412,-0.470715730165226,-0.0219114679640367,0.0623780444256467,-0.610034521627237,0.0499859594782165,0.0617632182684182,-0.102766198164516,0.0446590065092935,-0.179247949596056,0.0144944264815245,-0.00698541867324243
170.035,0.0133084100494597,-0.525117189774589,-0.0224033743968585,0.0509762928607164,-0.748620857478179,0.0678015465186602,0.0525581166482142,-0.100885219773703,0.0472355545538084,-0.179364093644091,0.0128645756975395,-0.00658999632066064
170.04,0.0275536238207596,-0.580769110942282,-0.0226076679421437,0.0367483860750988,-0.895743501662053,0.0871854474210148,0.0435203989507383,-0.0987806092838331,0.0493385654201701,-0.178675999424426,0.0110126382108511,-0.00614363904377893
170.045,0.0398542911784765,-0.636765788116859,-0.0225332811626087,0.0196970888259242,-1.04994538402278,0.10792376864213,0.0351088611599854,-0.0965758447790636,0.0509647565129184,-0.177166609572366,0.00895968586364834,-0.0056556134982364
170.05,0.0498728813890513,-0.692175472869116,-0.0221911913358075,-8.43032905010174e-05,-1.20953927023652,0.129756702680703,0.0277690548080987,-0.0943757386385491,0.0521136923403382,-0.174840209859562,0.00673515773959241,-0.00513630334272464
170.055,0.0573651945934238,-0.746070149182429,-0.0215935886002823,-0.0224108391029081,-1.37263458280535,0.152382728574328,0.0219190467893418,-0.0922602789562008,0.0527863952725709,-0.171724478881124,0.00437753529269864,-0.00459705615380499
170.06,0.0621838011091109,-0.79755465247127,-0.0207531573122013,-0.047008600773571,-1.53717091580296,0.175464229075516,0.0179352763988332,-0.0902796683094986,0.0529841239925204,-0.16787177084674,0.00193479882028446,-0.00405002076374095
170.065,0.0642775853256333,-0.845793795670192,-0.0196825063855103,-0.0735210085485048,-1.70095732714639,0.198634409489595,0.0161389480404647,-0.0884508179968796,0.0527073913666064,-0.163359493633726,-0.000535405192439686,-0.0035079714973637
170.07,0.0636878095276444,-0.890036278060699,-0.0183937740608682,-0.101518392868745,-1.86171631317972,0.221505358292426,0.0167834128421383,-0.0867554936584945,0.0519552817247277,-0.158289466619928,-0.00296595359296924,-0.00298411432434658
