time,hip_angle_l,hip_angle_l_velocity,hip_angle_l_velocity_filt,knee_angle_l,knee_angle_l_velocity,knee_angle_l_velocity_filt,hip_angle_r,hip_angle_r_velocity,hip_angle_r_velocity_filt,knee_angle_r,knee_angle_r_velocity,knee_angle_r_velocity_filt,thigh_imu_l_accel_x,thigh_imu_l_accel_y,thigh_imu_l_accel_z,thigh_imu_l_gyro_x,thigh_imu_l_gyro_y,thigh_imu_l_gyro_z,shank_imu_l_accel_x,shank_imu_l_accel_y,shank_imu_l_accel_z,shank_imu_l_gyro_x,shank_imu_l_gyro_y,shank_imu_l_gyro_z,foot_imu_l_accel_x,foot_imu_l_accel_y,foot_imu_l_accel_z,foot_imu_l_gyro_x,foot_imu_l_gyro_y,foot_imu_l_gyro_z,thigh_imu_r_accel_x,thigh_imu_r_accel_y,thigh_imu_r_accel_z,thigh_imu_r_gyro_x,thigh_imu_r_gyro_y,thigh_imu_r_gyro_z,shank_imu_r_accel_x,shank_imu_r_accel_y,shank_imu_r_accel_z,shank_imu_r_gyro_x,shank_imu_r_gyro_y,shank_imu_r_gyro_z,foot_imu_r_accel_x,foot_imu_r_accel_y,foot_imu_r_accel_z,foot_imu_r_gyro_x,foot_imu_r_gyro_y,foot_imu_r_gyro_z,insole_l_force_y,insole_l_cop_x,insole_l_cop_z,insole_r_force_y,insole_r_cop_x,insole_r_cop_z
49.24,-41.468093821233,-81.4673108453663,-1.63613778524072,-68.0502910377411,148.967718679767,2.99177315151234,5.79782100487295,86.6795788151378,1.74081766829627,-2.50636869149955,33.8138559168868,0.679096029514405,7.66058181567879,6.00940339717473,1.15652944833538,-36.0992273487877,17.9368991531194,79.482927177721,-3.08747875771649,9.10877907561766,1.20475177722964,-30.5166902228408,-26.2021137694103,228.439723048826,-0.883539525272774,13.3273706125143,3.17736613825096,-89.3714644090188,-88.0139347779735,154.19218007073,0.345519648709695,9.58798593888647,-0.806215513568445,-15.8566761135002,26.0451340144302,-82.7936243483641,-0.25392515578396,10.1250185802121,-1.02423866206294,-16.9906287894168,25.3560870653882,-48.9676843284535,-0.238494743672087,10.3359664959708,-1.63433431608413,-39.9315161211356,4.6188386987665,-23.0137808428507,0,0,0,NaN,NaN,NaN
49.245,-41.8754303754595,-81.4673108453663,-7.46245401298349,-67.305452444343,148.967718679767,13.6455314227431,6.23121889894824,86.6795788151378,7.93990085177256,-2.33729941191527,33.8138559168868,3.0973692658197,7.57041925877163,6.07090669723538,1.13440231604245,-36.2748150205994,17.7364839817968,79.3739517092959,-3.62153753696745,9.87868767758804,1.28097018361083,-30.3591058387116,-26.622844106316,228.454479507394,-1.81660590637821,15.0228914353737,3.4015720301863,-89.4581563228619,-88.3119591263491,153.235294744878,0.11559704277261,9.65291115423001,-0.713153869945936,-15.6949959812165,25.9693438390393,-82.8056584142279,-0.307615972429866,10.3196185232407,-1.13655199350756,-16.7410147911204,25.3075649684527,-49.1245909530462,-0.314979844767597,10.5920345041434,-1.95986137995477,-39.5093911812173,4.68167128200185,-23.2562777810558,0,0,0,NaN,NaN,NaN
49.25,-42.2823921532824,-81.3923555645427,-17.1427319057177,-66.5593357305812,149.223342752271,31.3543692903113,6.66425501274621,86.6072227595495,18.2396701807128,-2.16955061329744,33.5497597235483,7.11059030601898,7.25167415837308,6.26958372532189,1.02901108048463,-36.5703803039549,16.984480088491,78.9025706784258,-4.77451857467694,10.1509410885981,1.09846385389812,-30.1283694925012,-26.7998604137221,227.703768731767,-4.63325414239549,16.3172255541321,3.08728585887707,-88.4615573209462,-89.4839399460124,150.223121589649,-0.367884808717673,9.67551046744509,-0.559388738425497,-15.147678730675,25.6900948272199,-82.6721064525324,-0.397583258597257,10.4577909183376,-1.19277539032298,-16.1093011778373,25.0979776475749,-49.3994414107014,-0.356575011245695,10.7998493833432,-2.23322579692306,-38.536112198534,4.82078695686074,-23.6845058417963,0,0,0,NaN,NaN,NaN
49.255,-42.686423013696,-80.8061720826898,-28.5023205554122,-65.8172981119477,148.407523726639,52.1592642413265,7.09504117986712,86.1572334241376,30.3300611389437,-2.0045642713133,32.9972683968116,11.8026338663302,6.87386310125275,6.44892114208001,0.908022070193075,-36.7317197268061,15.7083674249904,77.918167618986,-5.77036192973775,9.24345665103786,0.627994959814785,-29.3725075756434,-27.0815531133459,225.365740668175,-8.18952860635626,15.4678370448717,2.12751045910957,-86.8511093295575,-90.4314444816158,145.271303713912,-0.898377373293293,9.58667891462036,-0.437044045290696,-14.6001513113158,25.0997783199182,-82.1945020183483,-0.491514942687408,10.3372086113761,-1.06872293812088,-15.469075203771,24.5733125864331,-49.6147789601808,-0.304168371724796,10.6977699170363,-2.08421878087886,-37.3539111120672,4.80161874165703,-24.0208661220165,0,0,0,NaN,NaN,NaN
49.26,-43.0850694156666,-79.7292803941929,-39.9797046178497,-65.0847283303629,146.51395631709,73.2128267231561,7.52185437002777,85.3626380322075,42.5621211639926,-1.8437440209699,32.1640500687098,16.5088836504788,6.56952857101708,6.54785068688316,0.813951337322319,-36.7675019749571,13.905840841593,76.4426591784161,-6.64950131581025,8.38513434572461,0.206180139387913,-28.0944498324519,-27.4995500799006,221.461895717767,-11.5879927794702,14.5257887544634,1.23633216246678,-84.6758526462645,-91.1606062588725,138.415964352437,-1.3356989370613,9.48801926224449,-0.340041268481043,-14.0674239113631,24.2002524094121,-81.4087095692488,-0.548600362505226,10.2046977653917,-0.950799654254684,-14.8386052303745,23.7345899519193,-49.7964847002048,-0.249537892428115,10.5820094667988,-1.91779331023851,-35.9904606585522,4.61545524337668,-24.2605451732547,0,0,0,NaN,NaN,NaN
49.265,-43.4760127671089,-78.1886702884135,-50.5246505580328,-64.3669870711115,143.548251850206,92.5825628096295,7.94315499832931,84.260125660266,53.8393013718034,-1.68843203945039,31.0623963038864,20.7794868216031,6.33684624202323,6.56948499526412,0.746028158469969,-36.6883952478427,11.5864589748281,74.5036438791696,-7.40582761726977,7.57942081540041,-0.161589034357083,-26.3093986771101,-28.0810623194442,216.031248713748,-14.7917299759729,13.5044314493795,0.428878992483649,-81.9920439395966,-91.6771559037096,129.732670875049,-1.67920579950867,9.38402447130793,-0.268164776906605,-13.5624817375855,23.0004756864416,-80.3542113759201,-0.571691871724367,10.0654336303292,-0.841780338601944,-14.2341013834149,22.5902448224468,-49.9696529647725,-0.195121783339908,10.4584213712627,-1.74044054626589,-34.4749547578283,4.25836761777717,-24.3987102697105,0,0,0,NaN,NaN,NaN
49.27,-43.8570969916159,-76.2168449013594,-59.5013540862554,-63.6693480836447,139.527797493276,109.078440169773,8.35760023878071,82.8890480902377,63.5103546897834,-1.53988810258256,29.7087873735502,24.3394463469279,6.17237229495092,6.51891395239809,0.702886824095083,-36.5068407951577,8.77139209947281,72.1334825036275,-8.03653854706738,6.82890524573922,-0.471539103318997,-24.0441180669878,-28.8475766706527,209.129237559697,-17.7685306247706,12.4200598584833,-0.2828696515775,-78.860894499488,-91.9860679296091,119.335198495228,-1.93059755310064,9.27919760418468,-0.220576592962804,-13.096108702257,21.5163976609867,-79.0729570702798,-0.564300034910725,9.92463206324711,-0.74396819928373,-13.6693670646994,21.1559812726345,-50.1579367144013,-0.143196207638676,10.3329013048484,-1.5584869901579,-32.8375099200792,3.731315943483,-24.4307379025737,0,0,0,NaN,NaN,NaN
49.275,-44.2263508744865,-73.8507765741833,-66.59347222618,-62.9969403759505,134.481541538968,122.083597235126,8.76405236638255,81.2904255204412,71.2650872753664,-1.39927142578012,28.1233353605136,27.0493134292406,6.07133830487347,6.40293983227745,0.682642017925694,-36.2367552444027,5.49286708424209,69.3683378448854,-8.5419072705531,6.135577993935,-0.721588179647075,-21.3358682982545,-29.8137628742057,200.826516427046,-20.4910481659431,11.2916334201913,-0.890299759590947,-75.3463482979243,-92.0912960463297,107.373309438028,-2.09367794367863,9.17789708350647,-0.19590520422648,-12.6768138308292,19.770617983731,-77.6082086947808,-0.530418178464193,9.78736880391977,-0.659152880636504,-13.1555748944448,19.4543841832781,-50.3830032379258,-0.0958361432772344,10.211145793045,-1.37787861433362,-31.1086153896253,3.04008785883985,-24.3525742991539,0,0,0,NaN,NaN,NaN
49.28,-44.5820049244115,-71.1308099849737,-71.7179100200644,-62.3546918668977,128.449701810495,131.400650673235,9.16158224185751,79.5059750949507,77.04023502912,-1.26762582799477,26.3291195570568,28.8693780711727,6.02794760791455,6.22978281432902,0.682968713967293,-35.8931661640913,1.79333664690863,66.2472015956392,-8.9249843914651,5.50103638568229,-0.911362528508118,-18.2310487289257,-30.9866512500474,191.207655981302,-22.9368825217754,10.1403568586355,-1.38822411009225,-71.5130052972116,-91.995617708309,94.0296068192655,-2.17407712723522,9.08420796040472,-0.192338439615421,-12.3108472741849,17.7918264831572,-76.0034110498051,-0.474348614645747,9.65842424408867,-0.588593316043102,-12.7011640388279,17.5143061667555,-50.6641140311711,-0.0548904839027777,10.098438790909,-1.20400659366598,-29.3186268129416,2.19508617671092,-24.1612290710119,0,0,0,NaN,NaN,NaN
49.285,-44.9225026599627,-68.0995471102969,-74.9510604252426,-61.7472749139533,121.48339058899,137.12032995424,9.54946812606894,77.5771768423573,80.939317369833,-1.14586866997569,24.351431603837,29.8289268289192,6.03566252292036,6.0087691503892,0.701185426475514,-35.4917906142903,-2.2755946894637,62.8109335087771,-9.1912535102829,4.92662969753916,-1.04215400866522,-14.7836198048021,-32.3651238953625,180.369767648611,-25.0886055118576,8.9891300674795,-1.77479174603218,-67.4242769569046,-91.7006031561993,79.5155499002607,-2.17894871961252,9.00184138017147,-0.20771552092902,-12.0022906677334,15.6140446253972,-74.3011124363833,-0.400533830046306,9.5421572733379,-0.533021429601792,-12.3118506289203,15.3700551477876,-51.0178353043326,-0.0219653559060585,9.99947312146145,-1.04157489929525,-27.4972941568911,1.21098602962532,-23.8553935478549,0,0,0,NaN,NaN,NaN
