elapsed_s,pc_unix_time_s,state_sequence,left_angle_deg,right_angle_deg,left_angular_velocity_rad_s,right_angular_velocity_rad_s,left_actual_torque_nm,right_actual_torque_nm
0.01599999999962165,1786006658.1772296,446,0.01181622726412206,-0.013052491503894367,0.012783173471689224,-0.009587380103766918,-0.023500001057982445,-0.024400001391768456
0.01599999999962165,1786006658.1796136,447,0.01730769935681231,-0.01854396359658462,0.007456851191818714,-0.008522115647792816,-0.0658000037074089,-0.007320000324398279
0.032000000000152795,1786006658.1970704,448,0.01730769935681231,-0.024042265878444883,0.007456851191818714,-0.004261057823896408,-0.0032900001388043165,0.019520001485943794
0.04699999999957072,1786006658.2155058,449,0.01181622726412206,-0.024042265878444883,0.01065264455974102,-0.003195793367922306,-0.0032900001388043165,0.009150000289082527
0.07899999999972351,1786006658.2360008,450,0.006324755171431808,-0.029533737971135135,0.01065264455974102,-0.003195793367922306,0.012690000236034393,0.019520001485943794
0.07899999999972351,1786006658.2410479,451,-0.004665019203118709,-0.035025210063825384,0.01065264455974102,-0.001065264455974102,0.017389999702572823,0.003050000173971057
0.09400000000005093,1786006658.2548904,452,-0.01015649129580896,-0.04051668215651564,0.01065264455974102,-0.002130528911948204,-0.0032900001388043165,-0.018300000578165054
0.10999999999967258,1786006658.2759628,453,-0.02663773776304973,-0.04051668215651564,0.008522115647792816,-0.004261057823896408,0.012690000236034393,0.003050000173971057
0.125,1786006658.2955916,454,-0.03212920985573998,-0.035025210063825384,0.007456851191818714,-0.012783173471689224,0.002350000198930502,-0.0012200000928714871
0.14099999999962165,1786006658.2998285,455,-0.04861045632298075,-0.029533737971135135,0.007456851191818714,-0.011717909015715122,0.023500001057982445,0.003050000173971057
0.1570000000001528,1786006658.3167903,456,-0.054101928415671,-0.024042265878444883,0.00532632227987051,-0.006391586735844612,-0.0032900001388043165,0.019520001485943794
0.17199999999957072,1786006658.3364859,457,-0.07058317488291177,-0.01854396359658462,0.01065264455974102,-0.006391586735844612,-0.007990000769495964,-0.024400001391768456
0.18800000000010186,1786006658.355285,458,-0.07607464697560203,-0.013052491503894367,0.013848437927663326,-0.009587380103766918,-0.0032900001388043165,-0.007320000324398279
0.18800000000010186,1786006658.3599613,459,-0.09255589344284279,-0.0075610194112041154,0.012783173471689224,-0.009587380103766918,-0.023500001057982445,-0.007320000324398279
0.23499999999967258,1786006658.3964398,460,-0.09804736553553305,0.003428754963346401,0.011717909015715122,-0.007456851191818714,-0.0032900001388043165,0.009150000289082527
0.23499999999967258,1786006658.4057822,461,-0.10903030972091354,0.008920227056036652,0.009587380103766918,-0.011717909015715122,-0.04465000331401825,0.03660000115633011
0.25,1786006658.416331,462,-0.11452861200277381,0.030892945615967674,0.01065264455974102,-0.02130528911948204,-0.04465000331401825,0.009150000289082527
