time,hip_flexion_l_velocity,hip_adduction_l_velocity,hip_rotation_l_velocity,knee_angle_l_velocity,ankle_angle_l_velocity,subtalar_angle_l_velocity,hip_flexion_r_velocity,hip_adduction_r_velocity,hip_rotation_r_velocity,knee_angle_r_velocity,ankle_angle_r_velocity,subtalar_angle_r_velocity
108.345,-159.432944556426,47.0426602764972,21.8007229163546,371.689695186565,-245.973166285647,14.1117954922044,-8.90439408742828,-11.1621622256503,20.1743651920217,-111.488185042629,10.8266244084325,-36.3498311267662
108.35,-159.803603710779,46.5356243191293,22.2725648352579,371.768198417829,-246.951665438922,14.1838232993348,-9.04692100178762,-10.7944042925386,19.609968042186,-111.87236819711,9.9779995904454,-36.8147925619444
108.355,-160.487345521166,45.3215279458767,23.3456138224152,370.899765942947,-248.195511130261,14.4469056543785,-9.17677657746054,-10.0893372226486,18.2473755131244,-112.976321578266,7.39533855492451,-38.1128698475641
108.36,-161.095573902868,43.7344713211072,24.6722065407909,368.022304890545,-247.986072746246,14.9681594222386,-8.97512807995033,-9.47566966078828,16.4290343666384,-114.813073215745,2.99238530522056,-40.1841375145226
108.365,-161.702667107718,41.8340759440822,26.2364908827019,363.229331207528,-246.27099834665,15.7849499188606,-8.40168177354413,-9.0155856158622,14.1852439137712,-117.494037502599,-3.30732474226226,-43.0914051384151
108.37,-162.371838453151,39.6899168644746,28.0118854005978,356.632101681444,-243.001365288292,16.9280765812216,-7.42041175213153,-8.77266236967892,11.5591825741385,-121.10504923964,-11.5334829368665,-46.8740821847648
108.375,-163.152659160415,37.3794753737686,29.9617495202869,348.355794068958,-238.132329322031,18.4201941121982,-6.00037752699145,-8.809856973726,8.60603818144449,-125.702920831431,-21.6659827326053,-51.5455133490109
108.38,-164.079111839607,34.9857708547051,32.0404690225244,338.53567645681,-231.624186964743,20.2744108110056,-4.1164813182582,-9.18736372997789,5.39171560109779,-131.312788709901,-33.6331960845414,-57.0910042877428
108.385,-165.168228139015,32.5947475288375,34.1949255017925,327.3133680356,-223.443811678274,22.4931328564464,-1.75017264204013,-9.96040670444374,1.99113915854387,-137.926291898311,-47.3116362451304,-63.4666237191274
108.39,-166.419341008947,30.2925033656207,36.3662986066732,314.833283270531,-213.5664024996,25.0672156520443,1.10989819637103,-11.1770401441882,-1.51381263809465,-145.500605068839,-62.5270559007117,-70.598848633202
108.395,-167.813957946183,28.1624566877019,38.4921306417557,301.239340395421,-201.977466201656,27.9754719131652,4.46728590504539,-12.8760364709841,-5.03668106344644,-153.958331452786,-79.0569908604842,-78.3850975741677
108.4,-169.316238237825,26.2825503467538,40.5085671726923,286.6720034541,-188.674940717781,31.1845722745055,8.31723416277354,-15.0849448394035,-8.48903064288099,-163.188246022889,-96.6347196413279,-86.6951726720008
108.405,-170.874036490552,24.7225933744605,42.3526769711394,271.265715009743,-173.671358187911,34.6493590658408,12.6462649046565,-17.8184019301467,-11.78318702875,-173.046864809585,-114.954569563413,-95.3736044810804
108.41,-172.420457923068,23.5418357904561,43.9647511012325,255.146764341789,-156.995940629327,38.3135783857273,17.4319040627879,-21.0767704090699,-14.8350043741189,-183.360801110675,-133.678461524971,-104.242865227114
108.415,-173.875858491754,22.786864200839,45.2904839529571,238.431623577428,-138.696520286541,42.1110201489333,22.6425740451784,-24.8451698855798,-17.5665540809778,-193.929853754558,-152.443549403313,-113.107386640888
108.42,-175.150214727937,22.4898945521508,46.2829474950855,221.225771809979,-118.84118048565,45.9670406707202,28.2376782681048,-29.0929512730411,-19.9086297752792,-204.530757138941,-170.870776805219,-121.758289259439
