time,pelvis_imu_accel_x,pelvis_imu_accel_y,pelvis_imu_accel_z,pelvis_imu_gyro_x,pelvis_imu_gyro_y,pelvis_imu_gyro_z,thigh_imu_l_accel_x,thigh_imu_l_accel_y,thigh_imu_l_accel_z,thigh_imu_l_gyro_x,thigh_imu_l_gyro_y,thigh_imu_l_gyro_z,shank_imu_l_accel_x,shank_imu_l_accel_y,shank_imu_l_accel_z,shank_imu_l_gyro_x,shank_imu_l_gyro_y,shank_imu_l_gyro_z,foot_imu_l_accel_x,foot_imu_l_accel_y,foot_imu_l_accel_z,foot_imu_l_gyro_x,foot_imu_l_gyro_y,foot_imu_l_gyro_z,thigh_imu_r_accel_x,thigh_imu_r_accel_y,thigh_imu_r_accel_z,thigh_imu_r_gyro_x,thigh_imu_r_gyro_y,thigh_imu_r_gyro_z,shank_imu_r_accel_x,shank_imu_r_accel_y,shank_imu_r_accel_z,shank_imu_r_gyro_x,shank_imu_r_gyro_y,shank_imu_r_gyro_z,foot_imu_r_accel_x,foot_imu_r_accel_y,foot_imu_r_accel_z,foot_imu_r_gyro_x,foot_imu_r_gyro_y,foot_imu_r_gyro_z
108.345,1.93433670155923,9.77707497201144,0.861011427637033,14.8607816746924,-16.5133265225135,-2.92222775999814,5.5952394674954,8.16825604085481,0.372665765490225,-6.2276345189223,-73.8246139301961,-161.120297367205,-4.17966371319634,11.7885481093676,1.1700511465464,55.3295129577141,-48.8650278740179,211.288833518816,-5.72630614129421,12.1862706521272,2.62811327880692,28.5683721466669,-95.9543888305785,-35.515767816417,3.00356313479199,9.66419558474456,-0.0334373933920219,-1.43836749432617,1.74424172558805,-11.2175861213034,-4.51387073575239,9.77756671956847,-0.283122574083588,-2.1785477128433,0.331895403679238,-122.706913041215,0.0825826582995308,10.8815201588971,-0.951636306631861,-28.6493751468597,-29.0263168466115,-107.555774980923
108.35,1.96435812136642,9.87039373555103,0.773561648859748,14.4051649118036,-16.4230304867677,-2.87391421627345,5.11850431115862,8.70694374648634,0.00126759078180838,-5.80320820382349,-74.1559188596784,-161.216238989739,-5.2763723553279,13.0165014213675,1.15792140395228,54.6279891641194,-50.4839653126142,210.532801717281,-7.71997322895285,13.59094708705,3.23747282716566,28.6282332529435,-96.3830283584727,-36.9401444503756,3.17439363280957,9.91836089436957,0.158654452151805,-1.52872889035001,1.3221700122436,-11.2915459853477,-4.81846768137064,10.2756509681498,-0.251687790616788,-2.02075877070526,-0.00363580148862381,-123.161047952112,-0.142205834603138,11.3675434644249,-0.871258031891341,-28.8386197260584,-29.6726372847998,-108.752888848405
108.355,1.75059212392575,9.989287582355,0.571376490505582,13.3395642872278,-16.2450319726204,-2.65429847264555,4.61747378906468,9.42249036710258,-0.495011698438072,-5.28884294089035,-73.9663893578647,-161.831053591426,-7.06607891253638,14.2234072977892,0.952554868990746,53.1504848062915,-51.7187536796012,209.048156051625,-11.1993138893802,14.7215103702971,3.6716610165337,28.6569205367808,-97.1427831099228,-40.1417813034658,3.40227792833126,10.4323162565693,0.511414289180473,-1.80087880380881,0.272041803991231,-11.1423186051633,-5.06500062286243,11.0138464184569,-0.130781124233992,-1.52840002836931,-0.990257701725181,-124.115446876129,-0.321007521205206,11.6873472796533,-0.620018476923169,-29.5538994726916,-31.1805512808937,-112.027890369723
108.36,1.30667100783784,10.0074047562791,0.32933252342339,12.0029136659405,-16.0687311675818,-2.22269171398465,4.46734551322735,9.79588185857398,-0.743045446322056,-4.74302064383074,-73.8840394557728,-162.152920190422,-8.22337980763923,14.1506714487593,0.554718407193719,51.7594668585636,-52.9510390449555,205.848144196487,-14.1015890729122,14.0347287392215,3.35015951522005,28.686312730053,-97.7570325504909,-43.6731745988098,3.56780502139399,10.922144590737,0.827444252797889,-2.26682963191365,-1.19051550755694,-10.3694540005395,-4.98642967640249,11.465382975508,0.0448732652319133,-0.884147667166759,-2.40329958550508,-125.178968940173,-0.298349785778967,11.3371579214084,-0.253720575025001,-30.5908781315379,-33.4932041745686,-117.081841118039
108.365,0.950906397576042,9.95671850555823,0.0945297440922265,10.4366528751727,-15.9142477613104,-1.57130716252977,4.31383977540857,10.0377127396859,-0.917549364212612,-4.19195215769234,-73.9598626224542,-162.24338231928,-9.27725837941486,13.9299139508018,0.212986641007827,50.4797825569583,-54.2362921776831,200.964619494534,-16.81345558312,13.1030203184567,3.08552413731242,28.6967776972271,-98.2801725556715,-47.4586105886168,3.84739545021471,11.343661365935,1.12562920730208,-2.93820521274741,-3.0599479744027,-8.92004527895131,-4.79458583183814,11.9432228269045,0.208516190553449,-0.0866852120864807,-4.24200599836639,-126.4101077315,-0.227676422245636,10.9479598744292,0.109382622306402,-31.9963703662538,-36.6278722203364,-124.045721303042
108.37,0.679003543427195,9.83886524167655,-0.129055258654203,8.69147576750292,-15.8008899085856,-0.697283655514883,4.16177590587184,10.1595911990627,-1.0268316051773,-3.66194264707707,-74.2332669833283,-162.158623258415,-10.2237063637331,13.577266174634,-0.064575385534698,49.3210312195313,-55.6249424499834,194.452499488712,-19.2978944619666,11.9700157375728,2.89158471002189,28.6627340159994,-98.7611844509248,-51.4020835816572,4.22578295137262,11.6905025518006,1.39821968218953,-3.82103238562047,-5.31797099927204,-6.75217321654817,-4.49429116753565,12.4407993820702,0.355625631285521,0.86172842394879,-6.4923582801433,-127.852764264788,-0.108507679279965,10.5362779087842,0.456491517219697,-33.8071362492977,-40.5712566267261,-132.994208827375
108.375,0.4843537115912,9.65683336558946,-0.337801303227669,6.82585732395888,-15.7466827588822,0.397086321198174,4.0157438625771,10.1756224675671,-1.08077268646886,-3.17857497670779,-74.7306534218092,-161.94723931949,-11.0592122587149,13.112752422237,-0.273278915177231,48.2785960148605,-57.1587504753636,186.388189574209,-21.5236983714976,10.6867623351558,2.77722576308677,28.5544737377989,-99.2409976878328,-55.3888356099978,4.68467559194182,11.9581743516829,1.63785816080169,-4.9150956976129,-7.93382590468793,-3.83597935178122,-4.09261291863798,12.9507825522452,0.481408018965873,1.95559514285581,-9.12690962179386,-129.533879012362,0.0581546559981657,10.1200958056861,0.773536707346801,-36.0476095229941,-45.2776402114657,-143.940564790898
108.38,0.358460793088524,9.41482077639761,-0.528556511591466,4.90424312410611,-15.7679507966643,1.70425966726258,3.88001408371668,10.1016619855695,-1.09033841995305,-2.76593235773189,-75.4645476346263,-161.648344184233,-11.7878114766915,12.5530954673917,-0.412215963909594,47.3355410357255,-58.8677789702034,176.867665355067,-23.4716798827862,9.30163550815117,2.74556713410696,28.340313019612,-99.7503265155212,-59.2876752721848,5.20335870699856,12.1440669146621,1.83788390349868,-6.21352581719707,-10.8650816769673,-0.154522729644876,-3.5987010062441,13.4652247166551,0.581016188139501,3.18663884174945,-12.105177023253,-131.461636933594,0.26994294941327,9.71849509213149,1.0457277940936,-38.7280285188295,-50.6681884907065,-156.833195033091
108.385,0.291403724396405,9.11809220810247,-0.698726951829389,2.99495732935749,-15.8789451034793,3.21148462662228,3.75846947713673,9.95458194017468,-1.0671101656737,-2.44586380869523,-76.433278353961,-161.290076497173,-12.4197153411674,11.9132254399157,-0.484280684778456,46.4651589935456,-60.7681249282336,166.004242102863,-25.1339343181016,7.86020532936247,2.79376794559418,27.9889230246402,-100.308071189516,-62.9540461198237,5.75934693471075,12.2474209671782,1.99264422614504,-7.70266644591382,-14.0589703751762,4.29556521311893,-3.02359168057106,13.9756607789974,0.649855341004785,4.54432754829413,-15.374617718492,-133.624302785931,0.523404338482365,9.35116662292385,1.25830709060602,-41.843052829517,-56.6315764657411,-171.553996880326
108.39,0.27231321178537,8.77284139613252,-0.846334883966589,1.16790037902411,-16.091506778695,4.90098366615533,3.65455355551293,9.75157895351533,-1.02283714780303,-2.23729977777638,-77.621175399088,-160.888568537498,-12.9463473769473,11.2250072569754,-0.495797131872403,45.6339289395729,-62.8605106315502,153.926064146112,-26.4956624839327,6.42864423077894,2.91327473349702,27.4716900607176,-100.92033716903,-66.2337818155274,6.32906660988339,12.2692536389805,2.09779231156972,-9.36224893742069,-17.454211791728,9.50361656439573,-2.37996670062563,14.4731499448061,0.683952305570769,6.01639166369928,-18.8721818980826,-135.989720018997,0.814437394284771,9.0377712817515,1.39746361691366,-45.3709084675942,-63.0260796026977,-187.918551024871
