time,hip_flexion_l_power,hip_adduction_l_power,hip_rotation_l_power,knee_angle_l_power,ankle_angle_l_power,subtalar_angle_l_power,hip_flexion_r_power,hip_adduction_r_power,hip_rotation_r_power,knee_angle_r_power,ankle_angle_r_power,subtalar_angle_r_power
26.88,-0.495676025512164,0.0513888311540049,-0.00490233474852776,-0.0116710708200406,-0.00453976337292978,0.000236406436734551,NaN,NaN,NaN,NaN,NaN,NaN
26.885,-0.454678839655652,0.051376876270196,-0.00552437816789323,-0.0103160453835253,-0.000695486133479497,0.000153602027954797,NaN,NaN,NaN,NaN,NaN,NaN
26.89,-0.413065179975767,0.0503063333914604,-0.00603116648522377,-0.0091907263561405,0.0028320807064584,0.000112030532322554,NaN,NaN,NaN,NaN,NaN,NaN
26.895,-0.368753046366539,0.0481736653999395,-0.00638665635130612,-0.00797995586904974,0.00580367834856961,0.000116016475035819,NaN,NaN,NaN,NaN,NaN,NaN
26.9,-0.320793120095344,0.0450020094120638,-0.0065620471885391,-0.00644340214334006,0.0079491456637709,0.000165549971809287,NaN,NaN,NaN,NaN,NaN,NaN
26.905,-0.276081078436762,0.0408768299003794,-0.00653994578843181,-0.00479031425603113,0.00904747963803497,0.000254665451691013,NaN,NaN,NaN,NaN,NaN,NaN
26.91,-0.235792042917116,0.0359465103780971,-0.00631641559175558,-0.00299507993644023,0.00895974597705214,0.000370803685982433,NaN,NaN,NaN,NaN,NaN,NaN
26.915,-0.199823005192272,0.030416651866455,-0.00590188086326544,-0.000990504232731229,0.00766094556950562,0.000494818281800781,NaN,NaN,NaN,NaN,NaN,NaN
26.92,-0.167835162284374,0.0245381889579053,-0.0053207547127229,0.00128994799761117,0.00526731764473352,0.0006017999876276,NaN,NaN,NaN,NaN,NaN,NaN
26.925,-0.142063933867269,0.0185901974429374,-0.00460978866044124,0.00362496249366407,0.00205516284651852,0.000662827832693604,NaN,NaN,NaN,NaN,NaN,NaN
26.93,-0.12242152634927,0.0128589399811051,-0.00381527301540766,0.00589802417030985,-0.00153281512655176,0.000647660030913387,NaN,NaN,NaN,NaN,NaN,NaN
26.935,-0.108348569355466,0.00761518657981516,-0.00298933699151691,0.00798640754040852,-0.00489733867026027,0.000528257637090997,NaN,NaN,NaN,NaN,NaN,NaN
26.94,-0.0981731955678667,0.00309208895650791,-0.00218569185109652,0.00986561728690307,-0.00731148110754902,0.000282903377979324,NaN,NaN,NaN,NaN,NaN,NaN
26.945,-0.092831086626444,-0.000534149061872929,-0.00145521895891301,0.0112458627053875,-0.00797037954481323,-9.94460211318863e-05,NaN,NaN,NaN,NaN,NaN,NaN
26.95,-0.0916426478429275,-0.00315887281658083,-0.000841821048577861,0.0119780023156702,-0.00606176188688496,-0.000615034700098298,NaN,NaN,NaN,NaN,NaN,NaN
26.955,-0.0939319633878941,-0.00475745881629502,-0.000378927556621391,0.0119399424964257,-0.000855304144542232,-0.00124192688467202,NaN,NaN,NaN,NaN,NaN,NaN
26.96,-0.0967878807472794,-0.00538698918729177,-8.69766790042209e-05,0.0113869413223915,0.00819337466612723,-0.00193788806176631,NaN,NaN,NaN,NaN,NaN,NaN
26.965,-0.102017155981276,-0.0051812050933516,2.7904662882639e-05,0.0100005977069486,0.0213304872611877,-0.00263998274073326,NaN,NaN,NaN,NaN,NaN,NaN
26.97,-0.10921326923502,-0.0043395754658293,-2.60745135268911e-05,0.00778091273244156,0.0383920226426103,-0.00326621746537466,NaN,NaN,NaN,NaN,NaN,NaN
26.975,-0.118007795447981,-0.00311194933763305,-0.000227604770506203,0.00465863148511733,0.0587017912318048,-0.00371937751769389,NaN,NaN,NaN,NaN,NaN,NaN
26.98,-0.128067611927502,-0.00178069665279155,-0.000544609438766412,0.000616497213187755,0.0809903406372803,-0.00389298783671794,NaN,NaN,NaN,NaN,NaN,NaN
26.985,-0.138877043813762,-0.000642430726830262,-0.000937404573898585,-0.00393118991977355,0.103345470392432,-0.00367909576943052,NaN,NaN,NaN,NaN,NaN,NaN
26.99,-0.150077275326386,8.67631209657366e-06,-0.00136233683093934,-0.00878841286251583,0.123204026889973,-0.00297735160800359,NaN,NaN,NaN,NaN,NaN,NaN
26.995,-0.160746730741783,-0.000105686342571018,-0.00177551103626173,-0.0137676399058534,0.137392570230017,-0.00170467904668392,NaN,NaN,NaN,NaN,NaN,NaN
27,-0.17077421963252,-0.00123893090875116,-0.00213622230188851,-0.0186438063093771,0.142221438571376,0.00019529460277901,NaN,NaN,NaN,NaN,NaN,NaN
27.005,-0.179901756924554,-0.00361534122535284,-0.00240975221485154,-0.0232088485216565,0.133632867257016,0.00274392167830724,NaN,NaN,NaN,NaN,NaN,NaN
27.01,-0.187589710318274,-0.00743033102872598,-0.00256926958225686,-0.0272915937724472,0.107399425758302,0.00592115891819909,NaN,NaN,NaN,NaN,NaN,NaN
27.015,-0.193451612034309,-0.0128541745208451,-0.00259668413903601,-0.0306797749442827,0.0593644727614761,0.00966182930090248,NaN,NaN,NaN,NaN,NaN,NaN
27.02,-0.196810966315994,-0.0200376378067071,-0.00248242436183517,-0.0333269590077389,-0.0142879956520322,0.0138550088330862,NaN,NaN,NaN,NaN,NaN,NaN
27.025,-0.197040731672377,-0.0291176015701884,-0.00222423437008413,-0.0352233165732527,-0.116750403427502,0.0183467642635525,NaN,NaN,NaN,NaN,NaN,NaN
27.03,-0.193672548630223,-0.0402206950719137,-0.00182519610738127,-0.0363661649644837,-0.250314496691072,0.0229461795019678,NaN,NaN,NaN,NaN,NaN,NaN
27.035,-0.186339765349249,-0.0534631765308192,-0.00129126937118855,-0.0364100599280861,-0.41612032683743,0.0274343245154283,NaN,NaN,NaN,NaN,NaN,NaN
27.04,-0.174869496085802,-0.0689457765375513,-0.000628694453654964,-0.0358167681527431,-0.613951298433399,0.0315755697379414,NaN,NaN,NaN,NaN,NaN,NaN
27.045,-0.159262992207509,-0.0867429163416757,0.000158385294018496,-0.0346819570130694,-0.842093386963483,0.0351304557403171,NaN,NaN,NaN,NaN,NaN,NaN
27.05,-0.139909504726557,-0.106886540273629,0.00106975179312643,-0.0330263489181602,-1.09727319161633,0.0378692090251873,NaN,NaN,NaN,NaN,NaN,NaN
27.055,-0.117372110303178,-0.129345661031628,0.00211012765659354,-0.0308945474403103,-1.37468469596341,0.0395849588221541,NaN,NaN,NaN,NaN,NaN,NaN
27.06,-0.0919400675436535,-0.154003501260216,0.00328921002361762,-0.0285373362537326,-1.66810880075588,0.0401057562426284,NaN,NaN,NaN,NaN,NaN,NaN
27.065,-0.0644107952226354,-0.180634724563221,0.00462066840411393,-0.0260438602474734,-1.97012330254249,0.0393046169838404,NaN,NaN,NaN,NaN,NaN,NaN
27.07,-0.0359036330233007,-0.208885602838137,0.00612017295453114,-0.0237009007867792,-2.27239451199869,0.0371069852503008,NaN,NaN,NaN,NaN,NaN,NaN
27.075,-0.00734149074230239,-0.238260012863703,0.00780263391939035,-0.0214875964467266,-2.56603564449478,0.0334952279558065,NaN,NaN,NaN,NaN,NaN,NaN
27.08,0.0203731825713782,-0.268113876996116,0.00967892864290491,-0.0193218584546028,-2.84201195520449,0.0285099914900778,NaN,NaN,NaN,NaN,NaN,NaN
27.085,0.0462538620074102,-0.297660080950553,0.0117524596914038,-0.0172489781207633,-3.0915687545125,0.0222484676385611,NaN,NaN,NaN,NaN,NaN,NaN
27.09,0.069173238236951,-0.325985069990853,0.0140159195534574,-0.0152344616320343,-3.30665625756096,0.0148598047395135,NaN,NaN,NaN,NaN,NaN,NaN
27.095,0.0886272851083847,-0.352077324301053,0.0164486312005686,-0.0133681640843514,-3.48032490429662,0.00653805459759133,NaN,NaN,NaN,NaN,NaN,NaN
27.1,0.104130936136502,-0.374866843067991,0.0190147904874515,-0.01169248595794,-3.60706639698152,-0.00248684016950887,NaN,NaN,NaN,NaN,NaN,NaN
27.105,0.115312752587047,-0.393273729700456,0.0216628605488316,-0.0103005890106051,-3.68307914500331,-0.0119594412422049,NaN,NaN,NaN,NaN,NaN,NaN
27.11,0.121792187157541,-0.406263068562294,0.0243262676457263,-0.00965976986312481,-3.70644183132277,-0.0216099832277529,NaN,NaN,NaN,NaN,NaN,NaN
27.115,0.12412854225393,-0.412902603806536,0.026925432182682,-0.00926512930364016,-3.67718503731542,-0.0311657126283645,0.686931299624812,0.080565515564303,0.00641903824070775,0.454181318164669,-0.06216470719734,0.000191892738491195
27.12,0.122656029606024,-0.412419338229494,0.0293710489092508,-0.00911764425057493,-3.59725779948886,-0.0403618326052568,0.658461544441469,0.0818721025285351,0.0104281451922762,0.340477531670865,-0.0567520251759998,0.000995562829705061
27.125,0.118063793596045,-0.404251100360101,0.031568417758736,-0.0086066799669378,-3.47039307860024,-0.0489515542216512,0.624469100131167,0.0818895320134083,0.0148920869993816,0.227835893831348,-0.0512078665036305,0.00181438419675176
27.13,0.110989818439034,-0.388089384529843,0.0334225315076242,-0.00742219688675755,-3.30188283881723,-0.0567148394413762,0.584744063402715,0.0803639593302652,0.0196878034738647,0.118255376979043,-0.045681411073805,0.00263083048531911
27.135,0.10183401679367,-0.363910322739792,0.03484355675541,-0.00644424076788889,-3.09827923349948,-0.0634655179037246,0.543639153554635,0.0770996621975544,0.0246652660133643,0.027181412177995,-0.04031107731946,0.00342227996881066
27.14,0.0913471528199543,-0.331991442920148,0.0357523064226792,-0.00563518264412217,-2.8670428278041,-0.0690565618846554,0.502067002958068,0.0719847241029253,0.0296544605015246,-0.0424565424383874,-0.0352200719901656,0.00416154201486673
27.145,0.080097982002608,-0.292912830450715,0.0360852978944052,-0.00585566341783768,-2.61616153346316,-0.0733834062649131,0.46439981013895,0.0650136580410751,0.034472983760032,-0.0813116338873674,-0.0305125977818076,0.00481785914133152
27.15,0.068908715152179,-0.247542352868213,0.0357990207915489,-0.00651836377892567,-2.35376481748254,-0.0763852979312007,0.429346679690859,0.0563043834329996,0.0389334880640192,-0.0955044391356259,-0.0262709470126578,0.00535838454728724
27.155,0.0584414170281745,-0.197005644208283,0.0348730987828044,-0.00705215559568237,-2.08775676891691,-0.0780447478826196,0.395452204818678,0.0461071528463449,0.0428502792871669,-0.0898116979945097,-0.0225537005114145,0.00575008893240086
27.16,0.0491371302047749,-0.14264249503719,0.0333121148658507,-0.00737568734181732,-1.82548892221838,-0.0783852365835005,0.362978340017343,0.0348034784570082,0.046044549383257,-0.0655564324498565,-0.0193952218216823,0.00596200180592469
27.165,0.0412977517126474,-0.0859520911045555,0.031145971210625,-0.00731336704923211,-1.57348964075895,-0.0774673872952153,0.331309958931142,0.0228938170641673,0.0483479867670789,-0.0255144445783553,-0.0168065839640253,0.00596764650573418
27.17,0.0350902334451928,-0.0285301419245004,0.0284287638826552,-0.00672236984508008,-1.33726177038041,-0.0753838729445784,0.299610972520816,0.0109736942819634,0.0496048276910462,0.0308723429539605,-0.0147779879680284,0.00574749029819183
27.175,0.0305682454349579,0.0279986828706896,0.0252362602060478,-0.0058899838229447,-1.1211546604409,-0.0722533601015379,0.269585595591693,-0.000300986621277876,0.049672744751534,0.103398675898379,-0.0132826309403873,0.00529120640556395
27.18,0.0276554340877427,0.0820494386636211,0.0216621634339281,-0.0048562819368558,-0.9283110198028,-0.0682138197089146,0.24107024481529,-0.0102575907239794,0.048423264515779,0.187730305743273,-0.0122818618091559,0.00459953784992945
27.185,0.0261823572386085,0.132143196566485,0.017813428397216,-0.00371306403514041,-0.760683896908591,-0.0634155488809486,0.214062232520646,-0.0182564351530626,0.0457426130675309,0.278307158966689,-0.0117313337751472,0.00368556630533574
27.19,0.0259147984109011,0.176967658708538,0.0138049475324469,-0.00263877312458155,-0.619114736148318,-0.0580142511026263,0.189453721546994,-0.0237427098913426,0.0415339603300424,0.363398592967848,-0.0115877355802276,0.00257522337031036
27.195,0.0265620086073699,0.215429199200116,0.00975395615923489,-0.00160730318883974,-0.503460243566567,-0.0521645123706886,0.165429240585015,-0.0262962342278288,0.0357219392883554,0.441765068138608,-0.0118155726956617,0.0013069350860585
27.2,0.0278198402906086,0.246693928718052,0.00577450856605273,-0.00074788878660285,-0.412753843389146,-0.0460139865912413,0.141839072810901,-0.0256744206496403,0.0282600428351945,0.508569813072433,-0.0123933889219329,-6.96410997806808e-05
27.205,0.0293852053381768,0.270215963324716,0.0019723541430453,-0.000179357643867663,-0.345386848514566,-0.0396985633730975,0.118618764503701,-0.0218440266861138,0.0191410617458422,0.559429434994299,-0.013318782336822,-0.00149575090179864
27.21,0.0309919461219011,0.285751722039119,-0.00155950082012177,9.96361863125701e-06,-0.299295015351441,-0.0333387343709701,0.0960120796419774,-0.0149979400854896,0.00841016141774327,0.592627469760191,-0.0146115882250786,-0.00290643609309759
27.215,0.0324079305089449,0.293359761561439,-0.00474431987674494,-0.000236944396740971,-0.272137722371344,-0.0270373009126232,0.0741750470979491,-0.00555433730936241,-0.00382043376010031,0.607685021003253,-0.0163146827611931,-0.00423400349053997
27.22,0.0333888830031869,0.293386360611279,-0.00752409613362073,-0.000899350918187488,-0.261459348424272,-0.0208784781094528,0.0529192805954738,0.00586299520916234,-0.0173567881979022,0.599233109882947,-0.0184920066777724,-0.00541183454293337
27.225,0.0337628557817133,0.286437769883074,-0.0098608641653742,-0.00186619349985094,-0.264825240480727,-0.0149283538164179,0.0326111449925125,0.0184627024772237,-0.031910769908803,0.566105248634346,-0.0212236135225,-0.00637826824967569
27.23,0.0333842340862215,0.273340722607003,-0.011736857485856,-0.0030934240434782,-0.279927657951575,-0.00923656192607291,0.0134823107680074,0.0313400239956296,-0.0470921564643122,0.520488634609763,-0.0245978011696565,-0.00708028281431681
27.235,0.0321737320986695,0.255093425677118,-0.0131535739245669,-0.00420516103449472,-0.304659995181605,-0.0038389374739999,-0.00311871851806955,0.0435431654494361,-0.0624077622628081,0.456563334779991,-0.0287006701347162,-0.00747671861619931
27.24,0.0300838522252802,0.232809786442522,-0.014129871616342,-0.0047297620584066,-0.3371601944418,0.00123915470335656,-0.0164580674466014,0.0541465686546611,-0.0772696904329389,0.372012957971584,-0.0336037443143855,-0.00754082395206035
27.245,0.0270928516455141,0.207660034836117,-0.0146992673982557,-0.00417400302428886,-0.375826406391179,0.00597917689878098,-0.0259620773493254,0.062324811459197,-0.0910141422276826,0.269023364293277,-0.0393505613037517,-0.00726196038111171
27.25,0.0231293018673793,0.180811133756241,-0.0149066453812289,-0.00200311957422772,-0.419309534379979,0.0103658396385059,-0.0301130165098875,0.0674204806937273,-0.102931237563373,0.115980673770352,-0.0459433609007923,-0.00664636967030642
27.255,0.0183160609334711,0.153370398427867,-0.0148046052219595,0.00229480759860993,-0.466488275540574,0.0143839499749354,-0.0287545526340298,0.0689996195867113,-0.112305094159683,-0.0532424265950518,-0.0533311433137523,-0.00571697204122992
27.26,0.0127104934919409,0.126335546745417,-0.0144496867127633,0.00921245583919824,-0.516432662160837,0.0180159995055119,-0.0215373053349688,0.0668892690507339,-0.118462102824936,-0.233098714490404,-0.0614004086029622,-0.0045122290063231
27.265,0.00638261570179507,0.100553974208013,-0.0138986998842373,0.0190485391262692,-0.568361971473919,0.0212407233401052,-0.00782619885556154,0.061193141472685,-0.120824075828857,-0.421254491307737,-0.0699698088960589,-0.00308415838432903
