time,hip_angle_l,hip_angle_l_velocity,hip_angle_l_velocity_filt,knee_angle_l,knee_angle_l_velocity,knee_angle_l_velocity_filt,hip_angle_r,hip_angle_r_velocity,hip_angle_r_velocity_filt,knee_angle_r,knee_angle_r_velocity,knee_angle_r_velocity_filt,thigh_imu_l_accel_x,thigh_imu_l_accel_y,thigh_imu_l_accel_z,thigh_imu_l_gyro_x,thigh_imu_l_gyro_y,thigh_imu_l_gyro_z,shank_imu_l_accel_x,shank_imu_l_accel_y,shank_imu_l_accel_z,shank_imu_l_gyro_x,shank_imu_l_gyro_y,shank_imu_l_gyro_z,foot_imu_l_accel_x,foot_imu_l_accel_y,foot_imu_l_accel_z,foot_imu_l_gyro_x,foot_imu_l_gyro_y,foot_imu_l_gyro_z,thigh_imu_r_accel_x,thigh_imu_r_accel_y,thigh_imu_r_accel_z,thigh_imu_r_gyro_x,thigh_imu_r_gyro_y,thigh_imu_r_gyro_z,shank_imu_r_accel_x,shank_imu_r_accel_y,shank_imu_r_accel_z,shank_imu_r_gyro_x,shank_imu_r_gyro_y,shank_imu_r_gyro_z,foot_imu_r_accel_x,foot_imu_r_accel_y,foot_imu_r_accel_z,foot_imu_r_gyro_x,foot_imu_r_gyro_y,foot_imu_r_gyro_z,insole_l_force_y,insole_l_cop_x,insole_l_cop_z,insole_r_force_y,insole_r_cop_x,insole_r_cop_z
41.27,-10.1693526407967,3.32292186795424,0.0667354546154368,-49.8313531712896,-173.334058682829,-3.4811312652557,-21.5873523924073,52.5733714196202,1.05585023716329,-12.7540038459021,-50.285756078426,-1.00990722199579,2.9908651511453,9.21426124647914,0.623711675435869,24.6090108173005,28.2417724354008,22.4394699558664,-5.14940738463215,8.08583531682449,0.563498343123208,-5.84503896156968,37.1048293374567,-150.824132699566,-1.77495097214533,11.1886851807953,1.20297610832476,-18.7415762188765,14.2657578543703,-100.32653180933,4.73576515042357,8.39724201782005,-1.00445326592303,1.68397404970357,38.1893033733512,-32.9059228591984,2.75380472151896,9.26584089558685,-0.866287346534976,-6.79199874564896,37.5567579967678,-83.2287548696304,-1.11677398088326,9.90201247853397,2.49027058549393,-54.9160129890589,82.6420962104266,-153.446732136878,NaN,NaN,NaN,0,0,0
41.275,-10.152738031457,3.32292186795424,0.304381614797786,-50.6980234647029,-173.334058682829,-15.8775026250663,-21.3244855353094,52.5733714196202,4.81575201704023,-13.005432626294,-50.285756078426,-4.60620509440447,2.84185587844375,9.34995931675131,0.585435687165597,24.6499979422762,28.3114885360439,22.4024040486859,-5.6188043319965,8.27552218736453,0.697161939884991,-6.29454221642594,37.0072567026271,-150.856074694384,-1.76311527214645,11.9010858850776,1.67990773167578,-19.1747433630174,14.2709645460907,-100.046294765063,4.5253499998462,8.54320946767664,-0.908668301762225,1.5650104032121,37.8812448442113,-32.8807882479223,2.46561097492342,9.51734930079848,-0.611895625702659,-6.99992079115904,37.2616502171148,-83.2202397150051,-1.74650391617694,10.0593282854472,3.04571415155264,-55.8576506279114,82.4493974707963,-154.056622606719,NaN,NaN,NaN,0,0,0
41.28,-10.1351193164591,3.52374299958027,0.703319298841385,-51.5639933710385,-173.193981267034,-36.4741515402239,-21.0616411092905,52.5688852037441,11.0636156239502,-13.2574104218372,-50.3955591086045,-10.5844979654666,2.43276805921868,9.74166327027102,0.530273573940562,24.6996310163292,28.5031802189262,22.1239908872482,-6.4665257674223,8.29852917477424,0.80790626097274,-6.97195038199387,37.0656265987143,-150.568010811734,-1.80471131170606,12.4844051502948,2.12560265658233,-19.9335388207695,14.6236899462541,-99.2013407922946,4.07084008162549,9.00486155286201,-0.722773731749458,1.38868106659059,36.9049078085531,-32.8943370006305,1.80988865921375,10.0068134811534,-0.227041932958622,-7.11138102031999,36.2399961135036,-83.1637041001848,-2.59133128905103,10.4001256609232,3.78204754256437,-56.6138844462687,81.6692779860477,-155.315333843429,NaN,NaN,NaN,0,0,0
41.285,-10.1156842174136,3.88701980909188,1.18901565377045,-52.4249973417611,-172.200794144672,-60.6498879678095,-20.7986632786685,52.5955661244476,18.4055805060618,-13.5081424389647,-50.1464034255485,-17.6096365719677,1.96872227376714,10.2120795715932,0.488305049782839,24.7634342123359,28.7183852434178,21.556729588899,-7.28555496113948,7.88622570025468,0.746258347797674,-7.65937130364695,37.1381867331005,-149.746012613922,-1.9969588311963,12.1826645526663,2.0681750279725,-20.5660178631191,15.0994699977139,-97.9547298113737,3.58604736258476,9.60101481415322,-0.53613749315963,1.11350876279064,35.2629777578128,-33.0667738694946,1.0126656476603,10.4527526078897,0.0346439940557511,-7.15387187013449,34.5479605076474,-82.9078490928939,-3.17109275241294,10.6929975801752,4.13411645678763,-56.7527541773587,80.102893745713,-155.929821598049,NaN,NaN,NaN,0,0,0
41.29,-10.0935842336061,4.4199967615056,1.72066592301968,-53.2770728040838,-170.415092464453,-85.1003878608112,-20.5351765959532,52.6973365430365,25.8624689446414,-13.7558409736644,-49.5397069399241,-24.7218305316645,1.58493835457947,10.6076962071326,0.456081256409242,24.8563111253243,28.9708055309876,20.7020230850831,-8.00156009851893,7.46262622446732,0.678703468518868,-8.35723079198755,37.2452972293983,-148.454631097222,-2.18903030641835,11.8406523297353,1.99900962678052,-21.0590959632031,15.7157079772206,-96.3681714137952,3.15415319506782,10.0990055815712,-0.36640861443269,0.742096064533116,32.9587305751123,-33.4388780052085,0.228086608506978,10.7983891918392,0.267541673984851,-7.11595578898504,32.1904244324067,-82.497522074248,-3.75923749409274,10.8824197776358,4.39243674536945,-56.2066661728021,77.7686312608316,-155.882501434669,NaN,NaN,NaN,0,0,0
41.295,-10.0679618212803,5.12448246515427,2.28193170589215,-54.116613816527,-167.908202488547,-107.620895287512,-20.2706055162356,52.9142159435082,32.8030054129941,-13.9987517536644,-48.5821559999774,-31.2699066661518,1.28331663136025,10.9270643591575,0.43485246331385,24.9909339912047,29.2707350558834,19.5677975190786,-8.60876500048215,7.04123405344667,0.6092875646383,-9.06585937802084,37.4034954956811,-146.761885125269,-2.3755683848271,11.4716475348014,1.92268080716365,-21.4012733328978,16.4863291130853,-94.5105871405719,2.78048881181777,10.4994427401745,-0.215013633221587,0.280112579032244,30.0108444633645,-34.0459788435725,-0.530180420906369,11.0480500971809,0.467544907395613,-6.98749875506007,29.1880344134741,-81.9774482937035,-4.34314825341419,10.9790832480012,4.55566360501226,-54.9169345255137,74.6967945216941,-155.151825135778,NaN,NaN,NaN,0,0,0
41.3,-10.0379797136716,5.99642152173748,2.87361535003078,-54.9404173156071,-164.760699816174,-126.894679822096,-20.0042010428886,53.2808946694453,38.8729407986238,-14.235180907873,-47.2858308417518,-36.8534745682938,1.06367288581481,11.170658657396,0.425569545164299,25.1773494128437,29.6245079763882,18.168650704624,-9.10432550819209,6.63549925337254,0.541948535100728,-9.78495813049625,37.6249045878097,-144.737615864826,-2.55171452143919,11.089154517871,1.84309542573564,-21.5827177033574,17.421082929907,-92.4571855847518,2.46873235763818,10.8055263385857,-0.0828955901323437,-0.263967675768307,26.453331714393,-34.9166185976613,-1.24900022997555,11.2087897131356,0.631603910182614,-6.76043740516128,25.5770181574,-81.3910023303994,-4.91030090263471,10.9963205127029,4.62628319943593,-52.8369460822998,70.9280063656715,-153.712084177726,NaN,NaN,NaN,0,0,0
41.305,-10.0028516519573,7.02561234286665,3.50711654164583,-55.7457217997272,-161.060896823946,-142.286767616328,-19.7350737537327,53.8254578311376,43.9269165307389,-14.4635224037349,-45.6682991723679,-41.26612082134,0.923906399633336,11.3407176452326,0.4288593734761,25.4226833915499,30.0340698498799,16.5258585805106,-9.48816290120434,6.25835334162938,0.480373052114562,-10.513056619531,37.9168212258204,-142.451962043174,-2.71327900666322,10.7064025076683,1.76334552886093,-21.5953430010366,18.5249323647062,-90.2884773115251,2.22088781880833,11.0227460806435,0.0294544825289953,-0.879238281174571,22.3350429425223,-36.0714010420615,-1.91607211258346,11.2899803752386,0.757762109701659,-6.42948793276691,21.4085469474911,-80.7791301413761,-5.44873633235712,10.9494590223852,4.61042486117936,-49.9352078197057,66.5113587757552,-151.533693840186,NaN,NaN,NaN,0,0,0
41.31,-9.96187374652743,8.19558108596546,4.19889374936797,-56.5302383939103,-156.903318836535,-153.657503934606,-19.4622322981733,54.5682911118616,47.9674576650709,-14.6822857514079,-43.7526695345607,-44.4438337005715,0.860205019187356,11.441049908757,0.44501005696403,25.7309474867692,30.4966818749174,14.6672320061432,-9.76272632936104,5.92179191557732,0.42787574301579,-11.2470017162406,38.2814840805407,-139.97398059808,-2.85686464302532,10.3359083001752,1.68563234358297,-21.4329011627132,19.7975423058775,-88.0892219866505,2.0373105024109,11.1585345189977,0.121964173164069,-1.55281008933612,17.7187466592456,-37.5220647310078,-2.52020147211156,11.3028494251643,0.845146557203447,-5.99273445856932,16.7476604276396,-80.1794504738489,-5.94750505337975,10.8551460064295,4.51747741689173,-46.1981068705382,61.5024345143533,-148.583974563073,NaN,NaN,NaN,0,0,0
41.315,-9.91445565816112,9.48361767327067,4.96600505651727,-57.2921743101474,-152.387183247546,-161.20368966671,-19.1846263233373,55.5211949672419,51.0933516648662,-14.8901237222022,-41.5675941589024,-46.4209297554754,0.867276751909569,11.4768138188916,0.473964633650655,26.1029445714264,31.0047647534244,12.6268198255771,-9.9327010510593,5.63651729334407,0.387301561065865,-11.9815126242795,38.7160159505355,-137.37042920163,-2.97994354091111,9.9891137340995,1.61125571503118,-21.0911004212171,21.2328765791427,-85.9472985070963,1.91677431895995,11.2218874520302,0.194947507623208,-2.27030212236003,12.6798000364737,-39.2708102812691,-3.0515341349807,11.2599784262018,0.893914219745189,-5.45203918500632,11.6717850099065,-79.6255544220053,-6.39706064758209,10.7306701929766,4.35952469255654,-41.6322160520292,55.9613331549964,-144.828420878975,NaN,NaN,NaN,0,0,0
