timestamp,loop_index,left_raw_angle_deg,right_raw_angle_deg,left_calibrated_angle_rad,right_calibrated_angle_rad,left_angular_velocity_rad_s,right_angular_velocity_rad_s,left_filtered_angle_rad,right_filtered_angle_rad,left_filtered_angular_velocity_rad_s,right_filtered_angular_velocity_rad_s,left_actual_torque_nm,right_actual_torque_nm,left_action_norm,right_action_norm,left_raw_tcn_command_nm,right_raw_tcn_command_nm,left_command_nm,right_command_nm,history_ready,inference_time_ms,loop_time_ms,overrun,enabled
0.001848,0,104.117432,100.662231,-0.000820680,0.002514290,0.003861584,0.005033374,-0.000820680,0.002514290,0.003861584,0.005033374,nan,nan,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.133410,0,0
0.010002,1,104.111938,100.662231,-0.000724806,0.002514290,0.005992112,0.008229168,-0.000775954,0.002514290,0.004855501,0.006524250,nan,nan,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.130151,0,0
0.020001,2,104.106445,100.651245,-0.000628932,0.002706038,0.008122641,0.012490226,-0.000707366,0.002603743,0.006379661,0.009307449,nan,nan,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.056319,0,0
0.030002,3,104.106445,100.640259,-0.000628932,0.002897786,0.008122641,0.014620754,-0.000670776,0.002740917,0.007192782,0.011786169,nan,nan,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.099789,0,0
0.040001,4,104.095459,100.640259,-0.000437185,0.002897786,0.009187906,0.014620754,-0.000561803,0.002814098,0.008123531,0.013108537,nan,nan,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.056503,0,0
0.050001,5,104.078979,100.634766,-0.000149563,0.002993659,0.010253170,0.013555490,-0.000369488,0.002897866,0.009117033,0.013317046,nan,nan,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.047099,0,0
0.060001,6,104.073486,100.623779,-0.000053690,0.003185407,0.007057377,0.010359697,-0.000222164,0.003032007,0.008156179,0.011937407,nan,nan,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.071611,0,0
0.070001,7,104.073486,100.618286,-0.000053690,0.003281281,-0.002530003,0.002902846,-0.000143569,0.003148296,0.003170948,0.007722677,nan,nan,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.091957,0,0
0.080002,8,104.073486,100.612793,-0.000053690,0.003377155,-0.003595267,0.001837581,-0.000101639,0.003255061,0.000014428,0.004977209,nan,nan,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.091291,0,0
0.090001,9,104.078979,100.612793,-0.000149563,0.003377155,-0.005725796,0.001837581,-0.000123996,0.003312019,-0.002663455,0.003512535,nan,nan,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.048561,0,0
