elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_command_torque_nm,right_command_torque_nm,left_actual_torque_nm,right_actual_torque_nm,feedback_gain,delay_s
0.0021,0.2671,0.7068,-0.6127,1.0776,0.0000,0.0000,0.0221,-0.0183,5.0000,0.2500
0.0100,0.2671,0.4016,-0.6072,1.1386,0.0000,0.0000,0.0150,0.0122,5.0000,0.2500
0.0200,0.2671,0.4016,-0.6072,1.1386,0.0000,0.0000,-0.0221,-0.0183,5.0000,0.2500
0.0300,0.2671,0.5237,-0.6072,1.2607,0.0000,0.0000,-0.0056,0.0122,5.0000,0.2500
0.0400,0.2671,0.5237,-0.6017,1.5048,0.0000,0.0000,0.0024,-0.0153,5.0000,0.2500
0.0500,0.2780,0.8899,-0.5907,1.6269,0.0000,0.0000,0.0150,0.0122,5.0000,0.2500
0.0600,0.2945,1.2561,-0.5852,1.7490,0.0000,0.0000,0.0150,-0.0153,5.0000,0.2500
0.0700,0.3055,1.3171,-0.5742,1.8100,0.0000,0.0000,-0.0094,-0.0409,5.0000,0.2500
0.0800,0.3055,1.3171,-0.5687,1.6269,0.0000,0.0000,0.0150,-0.0506,5.0000,0.2500
0.0900,0.3165,1.3171,-0.5577,1.6269,0.0000,0.0000,-0.0009,0.0378,5.0000,0.2500
0.1000,0.3165,1.3171,-0.5522,1.6879,0.0000,0.0000,-0.0056,0.0122,5.0000,0.2500
0.1100,0.3385,1.3171,-0.5413,1.8710,0.0000,0.0000,0.0150,0.0073,5.0000,0.2500
0.1200,0.3494,1.3171,-0.5303,1.9321,0.0000,0.0000,-0.0470,-0.0183,5.0000,0.2500
0.1300,0.3549,1.1340,-0.5248,1.9321,0.0000,0.0000,0.0150,0.0073,5.0000,0.2500
0.1400,0.3604,0.7068,-0.5248,1.9321,0.0000,0.0000,-0.0056,-0.0409,5.0000,0.2500
0.1500,0.3604,0.8289,-0.4973,2.1762,0.0000,0.0000,-0.0056,0.0122,5.0000,0.2500
0.1600,0.3604,0.8289,-0.4808,2.1762,0.0000,0.0000,-0.0259,0.0073,5.0000,0.2500
0.1700,0.3659,1.1340,-0.4698,2.2372,0.0000,0.0000,-0.0259,0.0073,5.0000,0.2500
0.1800,0.3769,1.2561,-0.4534,2.2372,0.0000,0.0000,0.0103,-0.0153,5.0000,0.2500
0.1900,0.3824,1.1951,-0.4369,2.2372,0.0000,0.0000,-0.0056,-0.0153,5.0000,0.2500
0.2000,0.3934,1.2561,-0.4204,2.1762,0.0000,0.0000,0.0150,0.0336,5.0000,0.2500
0.2100,0.4099,1.1951,-0.4039,2.1762,0.0000,0.0000,-0.0259,-0.0153,5.0000,0.2500
0.2200,0.4209,1.1340,-0.3929,2.1762,0.0000,0.0000,-0.0306,0.0031,5.0000,0.2500
0.2300,0.4209,1.1340,-0.3929,2.1762,0.0000,0.0000,-0.0259,-0.0183,5.0000,0.2500
0.2400,0.4318,1.0730,-0.3600,2.4203,0.0000,0.0000,-0.0221,0.0073,5.0000,0.2500
0.2500,0.4373,1.0120,-0.3435,2.2983,0.0000,0.0000,-0.0259,0.0073,5.0000,0.2500
