elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm
0.8300,0.0186,0.9323,-0.0023,0.2701,-0.0315,-0.0256
0.8400,0.0241,0.5051,-0.0023,0.2701,-0.0315,-0.0256
0.8500,0.0241,0.2609,0.0032,0.4532,0.0141,-0.0195
0.8600,0.0241,0.3220,0.0087,0.4532,0.0141,-0.0195
0.8700,0.0296,0.6271,0.0087,0.5142,0.0033,-0.0195
0.8800,0.0406,0.9933,0.0087,0.5142,0.0033,-0.0195
0.8900,0.0406,0.9933,0.0142,0.6973,0.0353,-0.0305
0.9000,0.0681,1.6647,0.0197,0.6363,0.0353,-0.0305
0.9101,0.0846,1.7868,0.0307,0.6363,-0.0009,-0.0195
0.9200,0.1065,2.3361,0.0362,0.6973,-0.0009,-0.0195
0.9300,0.1175,1.4206,0.0417,0.6363,0.0508,-0.0195
0.9400,0.1175,0.1999,0.0417,0.5753,0.0508,-0.0195
0.9503,0.1120,0.5051,0.0472,0.5753,0.0141,-0.0256
0.9600,0.1120,0.5051,0.0527,0.5753,0.0141,-0.0256
0.9700,0.1010,-0.0443,0.0582,0.6363,0.0141,0.0012
0.9803,0.1010,0.1389,0.0637,0.6363,0.0141,0.0012
0.9903,0.1010,0.9323,0.0692,0.5142,0.0141,0.0012
1.0000,0.1120,1.2375,0.0747,0.6363,0.0141,0.0012
1.0102,0.1230,1.0544,0.0801,0.6363,0.0141,0.0012
1.0200,0.1285,1.1765,0.0801,0.6973,0.0141,0.0012
1.0302,0.1285,1.1765,0.0856,0.6973,0.0141,0.0012
1.0400,0.1395,1.0544,0.0911,0.7584,0.0141,0.0012
1.0500,0.1505,1.2375,0.0966,0.7584,-0.0009,-0.0061
1.0600,0.1615,1.8478,0.1021,0.7584,-0.0009,-0.0061
1.0700,0.1780,1.2985,0.1076,0.6973,0.0141,-0.0061
1.0800,0.1834,0.7492,0.1131,0.6973,0.0141,-0.0061
1.0905,0.1889,0.7492,0.1186,0.5753,0.0141,-0.0061
1.1000,0.1889,0.7492,0.1241,0.6363,0.0141,-0.0061
1.1100,0.1999,1.1154,0.1241,0.6363,0.0141,-0.0061
1.1200,0.2329,1.6647,0.1351,0.8194,0.0141,-0.0061
1.1300,0.2329,1.6647,0.1406,0.8194,0.0141,-0.0061
1.1400,0.2549,1.0544,0.1461,0.8194,0.0141,-0.0061
1.1500,0.2658,0.9323,0.1516,0.8804,-0.0056,0.0073
1.1600,0.2823,1.2985,0.1570,0.9415,-0.0056,0.0073
1.1700,0.2823,1.2985,0.1625,0.8194,-0.0165,-0.0134
1.1800,0.3098,1.1765,0.1735,0.7584,-0.0165,-0.0134
1.1900,0.3263,1.1765,0.1790,0.7584,-0.0165,-0.0134
1.2002,0.3373,1.0544,0.1845,0.8194,-0.0165,-0.0134
1.2100,0.3482,1.2985,0.1900,0.9415,-0.0165,-0.0134
1.2200,0.3647,1.8478,0.2010,0.8804,-0.0165,-0.0134
1.2301,0.3812,1.6647,0.2065,0.9415,-0.0423,0.0012
1.2400,0.3812,1.6647,0.2175,1.0025,-0.0423,0.0012
1.2500,0.3922,0.8713,0.2285,0.8804,-0.0009,-0.0195
1.2603,0.3977,0.3830,0.2394,0.8804,-0.0009,-0.0195
1.2700,0.3977,0.1999,0.2449,0.7584,0.0141,-0.0061
1.2804,0.3977,0.2609,0.2559,0.7584,0.0141,-0.0061
1.2900,0.4087,0.8102,0.2614,0.7584,0.0141,0.0061
1.3000,0.4142,0.5051,0.2724,0.6363,0.0141,0.0061
1.3105,0.4142,0.5051,0.2779,0.6363,-0.0165,0.0226
1.3200,0.4361,1.9089,0.2834,0.8194,-0.0165,0.0226
1.3302,0.4526,1.7258,0.2834,0.8194,-0.0315,0.0275
1.3400,0.4636,0.8713,0.2999,0.8194,-0.0315,0.0275
1.3501,0.4691,1.1154,0.3054,0.7584,-0.0343,0.0061
1.3600,0.4746,0.6882,0.3109,0.6363,-0.0343,0.0061
1.3700,0.4746,-0.3494,0.3164,0.5142,-0.0150,0.0012
1.3800,0.4746,-0.3494,0.3164,0.5753,-0.0150,0.0012
1.3901,0.4691,0.1389,0.3218,0.5142,0.0141,-0.0043
1.4002,0.4691,-0.1663,0.3218,0.5142,0.0141,-0.0043
1.4100,0.4691,0.0778,0.3273,0.3922,0.0141,-0.0256
1.4200,0.4746,0.8102,0.3273,0.3311,0.0141,-0.0256
1.4305,0.4801,0.4440,0.3328,0.3922,-0.0282,0.0061
1.4400,0.4746,-0.3494,0.3383,0.3922,-0.0282,0.0061
1.4500,0.4746,-0.3494,0.3383,0.3922,0.0141,-0.0195
1.4604,0.4746,0.1999,0.3438,0.4532,0.0141,-0.0195
1.4700,0.4746,0.0168,0.3493,0.3922,0.0141,-0.0195
1.4800,0.4746,0.0168,0.3493,0.3922,0.0141,-0.0195
1.4900,0.4746,0.0168,0.3548,0.5142,0.0291,0.0061
1.5000,0.4801,0.0168,0.3603,0.4532,0.0291,0.0061
1.5101,0.4856,0.5051,0.3603,0.4532,-0.0150,0.0061
1.5200,0.4856,0.5051,0.3603,0.4532,-0.0150,0.0061
1.5303,0.4856,0.3220,0.3713,0.5142,0.0141,0.0012
1.5400,0.4856,0.1999,0.3768,0.5142,0.0141,0.0012
1.5506,0.4911,0.5661,0.3768,0.4532,0.0141,0.0012
1.5600,0.4911,0.1389,0.3768,0.4532,0.0141,0.0012
1.5700,0.4856,-0.0443,0.3823,0.3311,-0.0009,0.0061
