timestamp,loop_index,left_raw_angle_deg,right_raw_angle_deg,left_calibrated_angle_rad,right_calibrated_angle_rad,left_angular_velocity_rad_s,right_angular_velocity_rad_s,left_filtered_angle_rad,right_filtered_angle_rad,left_filtered_angular_velocity_rad_s,right_filtered_angular_velocity_rad_s,left_actual_torque_nm,right_actual_torque_nm,left_action_norm,right_action_norm,left_raw_tcn_command_nm,right_raw_tcn_command_nm,left_command_nm,right_command_nm,history_ready,inference_time_ms,loop_time_ms,overrun,enabled
0.200001,20,102.095947,95.630493,-0.009592668,-0.004113134,-0.297917179,-0.041390850,-0.008257706,-0.003006708,-0.282218500,-0.049733505,-0.031490,-0.009150,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.178249,0,0
0.210001,21,102.161865,95.718384,-0.010743154,-0.005647115,-0.304308765,-0.048847701,-0.009417197,-0.004238489,-0.292523872,-0.049320267,0.021150,0.016470,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.147344,0,0
0.220001,22,102.222290,95.718384,-0.011797766,-0.005647115,-0.297917179,-0.048847701,-0.010527761,-0.004895630,-0.295039914,-0.049099809,0.009400,0.018300,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.162139,0,0
0.230001,23,102.222290,95.767822,-0.011797766,-0.006509979,-0.297917179,-0.050978230,-0.011120233,-0.005648743,-0.296382192,-0.049976115,0.003290,0.004270,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.164584,0,0
0.240001,24,102.326660,95.767822,-0.013619368,-0.006509979,-0.284068741,-0.050978230,-0.012286109,-0.006050520,-0.290637820,-0.050443613,-0.010340,-0.030500,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.159603,0,0
0.250001,25,102.376099,95.767822,-0.014482232,-0.006509979,-0.280872948,-0.050978230,-0.013310627,-0.006264863,-0.286082391,-0.050693018,-0.004700,-0.009150,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.158936,0,0
0.260001,26,102.376099,95.877686,-0.014482232,-0.008427455,-0.280872948,-0.052043494,-0.013857195,-0.007273738,-0.283652124,-0.051323031,0.010340,0.024400,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.134122,0,0
0.270001,27,102.474976,95.982056,-0.016207961,-0.010249057,-0.284068741,-0.040325585,-0.014953855,-0.008661760,-0.283846480,-0.046192592,-0.004700,0.004270,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.165158,0,0
0.280001,28,102.518921,96.015015,-0.016974951,-0.010824300,-0.283003476,-0.027542412,-0.015896720,-0.009670611,-0.283453209,-0.037492061,-0.004700,0.024400,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.146011,0,0
0.290001,29,102.568359,96.042480,-0.017837815,-0.011303669,-0.281938212,-0.022216090,-0.016802264,-0.010432452,-0.282746445,-0.030365638,0.000000,-0.010370,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.176879,0,0
