elapsed_s,left_position_rad,right_position_rad,left_command_torque_nm,right_command_torque_nm,left_actual_torque_nm,right_actual_torque_nm
30.8400,-0.1806262,0.8448399,-1.6069,1.6069,-1.4011,1.4524
30.8500,-0.2182088,0.8114759,-1.7351,1.7351,-1.5924,1.5799
30.8600,-0.2450534,0.7873157,-1.8481,1.8481,-1.7000,1.7062
30.8700,-0.2849369,0.7520341,-1.9625,1.9625,-1.8137,1.8074
30.8800,-0.3133156,0.7290244,-2.0697,2.0697,-1.9439,1.9361
30.8900,-0.3485971,0.6925923,-2.1648,2.1648,-2.0365,2.0899
30.9000,-0.3719904,0.6711166,-2.2588,2.2588,-2.1926,2.1496
30.9100,-0.4065049,0.6392865,-2.3480,2.3480,-2.1794,2.2497
30.9200,-0.4302816,0.6189613,-2.4250,2.4250,-2.3359,2.3528
30.9300,-0.4640292,0.5909661,-2.4997,2.4997,-2.3759,2.4156
30.9400,-0.4866554,0.5740923,-2.5668,2.5668,-2.3914,2.4986
30.9500,-0.5192525,0.5506991,-2.6266,2.6266,-2.6776,2.5693
30.9600,-0.5399613,0.5357428,-2.6741,2.6741,-2.6861,2.6291
30.9700,-0.5691069,0.5146506,-2.7167,2.7167,-2.7533,2.6688
30.9800,-0.5867476,0.5004612,-2.7483,2.7483,-2.7415,2.6584
30.9900,-0.6078399,0.4789855,-2.7718,2.7718,-2.7702,2.7041
31.0000,-0.6212623,0.4640292,-2.7826,2.7826,-2.8186,2.7413
31.0100,-0.6350681,0.4417865,-2.7855,2.7855,-2.8313,2.7609
31.0200,-0.6419710,0.4256797,-2.7764,2.7764,-2.8219,2.7456
31.0300,-0.6481069,0.4003690,-2.7579,2.7579,-2.8491,2.8023
31.0400,-0.6500244,0.3834952,-2.7268,2.7268,-2.7937,2.7578
31.0500,-0.6504079,0.3562670,-2.6846,2.6846,-2.7556,2.7426
31.0600,-0.6500244,0.3378593,-2.6257,2.6257,-2.7180,2.6999
