time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
42.265,NaN,NaN,NaN,NaN,NaN,NaN,0.276847574651506,0.0457503419214308,-0.0144440022054482,0.0193531170715915,-0.007309323468273,0.00670221719724462
42.27,NaN,NaN,NaN,NaN,NaN,NaN,0.212385606875526,0.0514273187694062,-0.0135758914969419,-0.00758747327586004,-0.0112669458026944,0.00709457411012876
42.275,NaN,NaN,NaN,NaN,NaN,NaN,0.150225951006592,0.056789527110351,-0.0126676235443076,-0.0336540210613934,-0.014459900377516,0.00731973293867894
42.28,NaN,NaN,NaN,NaN,NaN,NaN,0.091175293205654,0.0617323815879628,-0.0117279935616354,-0.0579847470603413,-0.0167167074313036,0.00734557333873814
42.285,NaN,NaN,NaN,NaN,NaN,NaN,0.0358075894442762,0.0661630719240973,-0.0107674110944526,-0.0801932902094272,-0.0178817583619036,0.0071436312413127
42.29,NaN,NaN,NaN,NaN,NaN,NaN,-0.014998740610467,0.0700035120552534,-0.00979785010402992,-0.0999889278949976,-0.0178228542386735,0.00669065833649423
42.295,NaN,NaN,NaN,NaN,NaN,NaN,-0.0603089840859394,0.0731926814778088,-0.00883274681860096,-0.11715284604658,-0.0164388078634976,0.00597018801266141
42.3,NaN,NaN,NaN,NaN,NaN,NaN,-0.0995390040899717,0.0756882379572773,-0.00788683977502018,-0.131528207283952,-0.0136668591735149,0.00497405423063127
42.305,NaN,NaN,NaN,NaN,NaN,NaN,-0.130894959298466,0.0774673106027285,-0.00697594754366553,-0.141738512778834,-0.00948963488457592,0.00370380592695277
42.31,NaN,NaN,NaN,NaN,NaN,NaN,-0.154142194557315,0.0785264167839486,-0.00611668105093652,-0.1478444359344,-0.00394137200774749,0.00217195730925941
42.315,NaN,NaN,NaN,NaN,NaN,NaN,-0.170442852022465,0.0788804838518143,-0.00532608918765248,-0.151177628104273,0.00288687754417968,0.00040301408239553
42.32,NaN,NaN,NaN,NaN,NaN,NaN,-0.179840262596679,0.078560995430891,-0.0046212385079843,-0.151908409424562,0.0108433365806009,-0.00156578256077223
42.325,NaN,NaN,NaN,NaN,NaN,NaN,-0.181600563936377,0.0776133205308687,-0.00401873025859688,-0.151375203823181,0.0197131437019298,-0.00368404827665944
42.33,NaN,NaN,NaN,NaN,NaN,NaN,-0.176814505017196,0.0760933203013301,-0.00353416069031306,-0.149083027876283,0.0292177738361164,-0.00588823188585449
42.335,NaN,NaN,NaN,NaN,NaN,NaN,-0.166272318179033,0.0740633604986294,-0.00318153353281001,-0.145124004785083,0.0390164259246989,-0.00810201448897058
42.34,NaN,NaN,NaN,NaN,NaN,NaN,-0.150742707930646,0.0715878863774957,-0.00297263657136505,-0.139951228189009,0.0487095143145963,-0.0102371590756887
42.345,NaN,NaN,NaN,NaN,NaN,NaN,-0.131574829558231,0.0687287396831918,-0.00291639734424556,-0.134255218967796,0.0578443393317241,-0.0121948250603199
42.35,NaN,NaN,NaN,NaN,NaN,NaN,-0.109092020954413,0.0655404138193238,-0.00301823594799885,-0.12821836511738,0.0659229427983511,-0.0138673470737828
42.355,NaN,NaN,NaN,NaN,NaN,NaN,-0.0842993365719927,0.0620654524192453,-0.00327943564422623,-0.122294642065412,0.072412077726484,-0.0151404607858296
42.36,NaN,NaN,NaN,NaN,NaN,NaN,-0.0596014250015608,0.0583301979754221,-0.00369655424000796,-0.117459875372951,0.0767551403798852,-0.0158959410216838
42.365,NaN,NaN,NaN,NaN,NaN,NaN,-0.0366852286314851,0.0543410906060279,-0.00426090089293343,-0.114349459505036,0.0783858301066393,-0.0160145995734804
42.37,NaN,NaN,NaN,NaN,NaN,NaN,-0.0146430564332467,0.05008170239773,-0.0049581039010312,-0.112494654076185,0.0767432209578758,-0.0153795725768173
42.375,NaN,NaN,NaN,NaN,NaN,NaN,0.00551540635800916,0.0455106702183873,-0.00576779502083852,-0.112145319203144,0.0712878525947198,-0.0138798108840049
42.38,NaN,NaN,NaN,NaN,NaN,NaN,0.0228591014480394,0.0405606598478188,-0.00666343478035348,-0.113461473469952,0.0615183800154865,-0.0114136723209731
42.385,NaN,NaN,NaN,NaN,NaN,NaN,0.0365644310637143,0.0351384574058917,-0.00761230102013918,-0.116502744473188,0.046988265942657,-0.0078925028805085
42.39,NaN,NaN,NaN,NaN,NaN,NaN,0.0467832885193037,0.0291262413498328,-0.00857565945496566,-0.120800022589113,0.0273219599246489,-0.00324408557215561
42.395,NaN,NaN,NaN,NaN,NaN,NaN,0.0532361559295272,0.022384041100375,-0.00950913040787676,-0.126066329802642,0.00222998766252604,0.00258416845899496
42.4,NaN,NaN,NaN,NaN,NaN,NaN,0.0544558945699693,0.0147533383645999,-0.0103632601047385,-0.132583969126073,-0.02847762442148,0.00962241121407545
42.405,NaN,NaN,NaN,NaN,NaN,NaN,0.0502553206676831,0.00606171661158811,-0.0110842981839454,-0.13998121733506,-0.0648801387516213,0.0178760502214482
42.41,NaN,NaN,NaN,NaN,NaN,NaN,0.0400232279235626,-0.00387158444465668,-0.0116151756117308,-0.148189259483969,-0.106937608961506,0.0273240493036005
42.415,NaN,NaN,NaN,NaN,NaN,NaN,0.0235583717498949,-0.0152293959730798,-0.0118966693267577,-0.15690930286687,-0.154485518176288,0.0379179282754441
42.42,NaN,NaN,NaN,NaN,NaN,NaN,0.00219566235007833,-0.0281898501856191,-0.0118687320821723,-0.164887991567629,-0.207232877870278,0.0495815305219104
42.425,NaN,NaN,NaN,NaN,NaN,NaN,-0.0235581774420113,-0.0429193574660657,-0.0114719585789332,-0.17147376602978,-0.264763994198856,0.0622116018096615
42.43,NaN,NaN,NaN,NaN,NaN,NaN,-0.0530590688489969,-0.0595655817667352,-0.0106491525453626,-0.175995289700118,-0.326543976972015,0.0756791952953281
42.435,NaN,NaN,NaN,NaN,NaN,NaN,-0.0855618383385133,-0.0782506568767627,-0.00934695425375646,-0.177764948636656,-0.391927927233047,0.0898318878672483
42.44,NaN,NaN,NaN,NaN,NaN,NaN,-0.120796180662575,-0.0990648634041157,-0.00751748422736418,-0.175152990725729,-0.460173599658383,0.104496763018965
