elapsed_s,left_position_rad,right_position_rad,left_command_torque_nm,right_command_torque_nm,left_actual_torque_nm,right_actual_torque_nm
0.7900,-0.0153398,0.5353593,0.0263,-0.0263,0.0259,-0.0214
0.8000,-0.0153398,0.5357428,0.0276,-0.0276,0.0291,-0.0378
0.8100,-0.0153398,0.5357428,0.0282,-0.0282,0.0461,-0.0195
0.8200,-0.0153398,0.5353593,0.0286,-0.0286,0.0259,-0.0641
0.8300,-0.0153398,0.5357428,0.0291,-0.0291,0.0461,-0.0476
0.8400,-0.0153398,0.5357428,0.0295,-0.0295,0.0259,-0.0409
0.8500,-0.0153398,0.5357428,0.0295,-0.0295,0.0259,-0.0409
0.8600,-0.0153398,0.5357428,0.0304,-0.0304,0.0625,-0.0195
0.8700,-0.0153398,0.5357428,0.0308,-0.0308,0.0047,-0.0409
0.8800,-0.0153398,0.5357428,0.0308,-0.0308,0.0047,-0.0409
0.8900,-0.0153398,0.5357428,0.0316,-0.0316,0.0197,-0.0409
0.9000,-0.0153398,0.5357428,0.0320,-0.0320,-0.0165,-0.0641
0.9100,-0.0153398,0.5353593,0.0324,-0.0324,0.0259,-0.0195
0.9200,-0.0153398,0.5353593,0.0324,-0.0324,0.0259,-0.0195
0.9300,-0.0153398,0.5357428,0.0330,-0.0330,0.0611,-0.0409
0.9400,-0.0153398,0.5357428,0.0334,-0.0334,0.0672,-0.0659
0.9500,-0.0153398,0.5357428,0.0334,-0.0334,0.0672,-0.0659
0.9600,-0.0153398,0.5357428,0.0337,-0.0337,0.0531,-0.0409
0.9700,-0.0153398,0.5357428,0.0342,-0.0342,0.0197,-0.0659
0.9800,-0.0153398,0.5357428,0.0345,-0.0345,0.0461,-0.0195
0.9900,-0.0153398,0.5357428,0.0345,-0.0345,0.0461,-0.0195
1.0000,-0.0153398,0.5357428,0.0347,-0.0347,0.0414,-0.0409
1.0100,-0.0153398,0.5357428,0.0350,-0.0350,0.0414,-0.0195
1.0200,-0.0153398,0.5357428,0.0351,-0.0351,-0.0165,-0.0195
1.0300,-0.0153398,0.5357428,0.0351,-0.0351,-0.0165,-0.0195
1.0400,-0.0153398,0.5357428,0.0352,-0.0352,0.0461,-0.0409
1.0500,-0.0153398,0.5357428,0.0352,-0.0352,0.0461,-0.0409
1.0600,-0.0153398,0.5357428,0.0352,-0.0352,0.0461,-0.0409
1.0700,-0.0153398,0.5357428,0.0352,-0.0352,0.0197,0.0226
1.0800,-0.0153398,0.5357428,0.0353,-0.0353,0.0461,-0.0195
1.0900,-0.0153398,0.5357428,0.0353,-0.0353,0.0461,-0.0195
1.1000,-0.0153398,0.5357428,0.0353,-0.0353,0.0197,-0.0409
1.1100,-0.0153398,0.5357428,0.0354,-0.0354,0.0470,-0.0409
1.1200,-0.0153398,0.5357428,0.0354,-0.0354,0.0470,0.0226
1.1300,-0.0153398,0.5357428,0.0354,-0.0354,0.0470,0.0226
1.1400,-0.0153398,0.5357428,0.0354,-0.0354,0.0672,-0.0195
1.1500,-0.0153398,0.5357428,0.0354,-0.0354,0.0461,-0.0195
1.1600,-0.0153398,0.5357428,0.0355,-0.0355,0.0587,-0.0659
1.1700,-0.0153398,0.5357428,0.0355,-0.0355,0.0587,-0.0659
1.1800,-0.0153398,0.5357428,0.0355,-0.0355,0.0141,0.0043
1.1900,-0.0153398,0.5357428,0.0355,-0.0355,0.0686,-0.0195
1.2000,-0.0153398,0.5357428,0.0355,-0.0355,0.0461,0.0043
1.2100,-0.0153398,0.5357428,0.0355,-0.0355,0.0470,-0.0409
1.2200,-0.0153398,0.5357428,0.0355,-0.0355,0.0531,-0.0409
1.2300,-0.0153398,0.5357428,0.0355,-0.0355,0.0461,-0.0689
1.2400,-0.0153398,0.5357428,0.0355,-0.0355,0.0047,-0.0409
1.2500,-0.0153398,0.5357428,0.0355,-0.0355,0.0047,-0.0409
1.2600,-0.0153398,0.5357428,0.0355,-0.0355,0.0414,-0.0195
1.2700,-0.0153398,0.5357428,0.0355,-0.0355,0.0259,-0.0659
1.2800,-0.0153398,0.5357428,0.0355,-0.0355,0.0470,-0.0195
1.2900,-0.0153398,0.5357428,0.0355,-0.0355,0.0470,-0.0195
1.3000,-0.0153398,0.5357428,0.0355,-0.0355,0.0414,-0.1086
1.3100,-0.0153398,0.5357428,0.0355,-0.0355,0.0047,-0.0903
1.3200,-0.0153398,0.5357428,0.0355,-0.0355,0.0047,-0.0659
1.3300,-0.0157233,0.5357428,0.0355,-0.0355,0.0315,-0.0409
1.3400,-0.0153398,0.5357428,0.0355,-0.0355,0.0414,-0.0409
1.3500,-0.0157233,0.5357428,0.0355,-0.0355,0.0414,-0.0195
1.3600,-0.0153398,0.5357428,0.0355,-0.0355,0.0047,-0.0409
1.3700,-0.0153398,0.5357428,0.0355,-0.0355,0.0188,-0.0409
1.3800,-0.0153398,0.5357428,0.0355,-0.0355,0.0555,-0.0409
1.3900,-0.0153398,0.5357428,0.0355,-0.0355,0.0259,-0.0409
1.4000,-0.0153398,0.5357428,0.0355,-0.0355,0.0259,-0.0409
1.4100,-0.0157233,0.5357428,0.0355,-0.0355,0.0414,-0.0659
1.4200,-0.0153398,0.5357428,0.0355,-0.0355,-0.0165,0.0317
1.4300,-0.0153398,0.5357428,0.0355,-0.0355,0.0470,-0.0409
1.4400,-0.0153398,0.5361263,0.0355,-0.0355,0.0611,-0.0195
1.4500,-0.0153398,0.5357428,0.0355,-0.0355,0.0470,-0.0409
1.4600,-0.0153398,0.5357428,0.0355,-0.0355,-0.0165,-0.0409
1.4700,-0.0153398,0.5357428,0.0355,-0.0355,0.0611,-0.0409
1.4800,-0.0153398,0.5357428,0.0355,-0.0355,0.0470,-0.0903
1.4900,-0.0153398,0.5357428,0.0355,-0.0355,0.0259,-0.0409
1.5000,-0.0153398,0.5357428,0.0355,-0.0355,0.0047,-0.0659
1.5100,-0.0157233,0.5357428,0.0355,-0.0355,0.0047,-0.0659
1.5200,-0.0153398,0.5357428,0.0355,-0.0355,0.0259,-0.0409
1.5300,-0.0153398,0.5357428,0.0355,-0.0355,0.0470,-0.0409
1.5400,-0.0157233,0.5357428,0.0355,-0.0355,0.0047,-0.0659
1.5500,-0.0153398,0.5357428,0.0355,-0.0355,0.0343,-0.0165
1.5600,-0.0153398,0.5357428,0.0355,-0.0355,0.0470,-0.0409
1.5700,-0.0153398,0.5357428,0.0355,-0.0355,-0.0306,-0.0195
1.5800,-0.0153398,0.5357428,0.0356,-0.0356,0.0470,-0.0195
1.5900,-0.0153398,0.5357428,0.0355,-0.0355,0.0400,-0.0409
1.6000,-0.0153398,0.5357428,0.0356,-0.0356,0.0343,-0.0195
1.6100,-0.0153398,0.5357428,0.0356,-0.0356,0.0672,0.0012
1.6200,-0.0153398,0.5357428,0.0356,-0.0356,0.0470,-0.0195
1.6300,-0.0153398,0.5357428,0.0356,-0.0356,0.0259,-0.0409
1.6400,-0.0153398,0.5357428,0.0356,-0.0356,0.0470,-0.0195
1.6500,-0.0153398,0.5357428,0.0356,-0.0356,0.0188,-0.0409
1.6600,-0.0153398,0.5357428,0.0357,-0.0357,0.0259,-0.0195
1.6700,-0.0153398,0.5357428,0.0357,-0.0357,0.0400,-0.0409
1.6800,-0.0153398,0.5357428,0.0357,-0.0357,0.0259,-0.0476
1.6900,-0.0153398,0.5357428,0.0356,-0.0356,0.0686,-0.0165
1.7000,-0.0153398,0.5357428,0.0356,-0.0356,0.0414,-0.0409
1.7100,-0.0153398,0.5357428,0.0355,-0.0355,0.0414,-0.0409
1.7200,-0.0153398,0.5357428,0.0355,-0.0355,0.0672,-0.0409
1.7300,-0.0153398,0.5357428,0.0355,-0.0355,0.0672,-0.0476
1.7400,-0.0153398,0.5357428,0.0355,-0.0355,0.0259,-0.0195
1.7500,-0.0153398,0.5357428,0.0355,-0.0355,0.0259,-0.0659
1.7600,-0.0153398,0.5357428,0.0356,-0.0356,0.0414,-0.0195
1.7700,-0.0153398,0.5357428,0.0356,-0.0356,0.0470,-0.0689
1.7800,-0.0153398,0.5357428,0.0356,-0.0356,0.0555,-0.0427
1.7900,-0.0153398,0.5357428,0.0357,-0.0357,0.0141,-0.0195
1.8000,-0.0153398,0.5357428,0.0357,-0.0357,0.0188,-0.0195
1.8100,-0.0153398,0.5357428,0.0357,-0.0357,0.0672,-0.0409
1.8200,-0.0153398,0.5357428,0.0357,-0.0357,0.0531,-0.0409
1.8300,-0.0153398,0.5357428,0.0356,-0.0356,0.0047,-0.0195
1.8400,-0.0153398,0.5357428,0.0356,-0.0356,0.0672,-0.0409
1.8500,-0.0153398,0.5357428,0.0356,-0.0356,0.0470,-0.0195
1.8600,-0.0157233,0.5357428,0.0356,-0.0356,-0.0165,-0.0409
1.8700,-0.0153398,0.5357428,0.0356,-0.0356,0.0470,-0.0659
1.8800,-0.0153398,0.5357428,0.0356,-0.0356,0.0047,0.0043
1.8900,-0.0153398,0.5357428,0.0356,-0.0356,0.0376,-0.0409
1.9000,-0.0153398,0.5357428,0.0356,-0.0356,0.0047,-0.0409
1.9100,-0.0153398,0.5357428,0.0356,-0.0356,0.0259,-0.0195
1.9200,-0.0153398,0.5357428,0.0356,-0.0356,0.0197,-0.0409
1.9300,-0.0153398,0.5357428,0.0356,-0.0356,0.0470,-0.0195
1.9400,-0.0153398,0.5357428,0.0356,-0.0356,0.0141,-0.0409
1.9500,-0.0153398,0.5357428,0.0356,-0.0356,0.0672,-0.0409
1.9600,-0.0153398,0.5357428,0.0356,-0.0356,-0.0165,-0.0409
1.9700,-0.0153398,0.5357428,0.0355,-0.0355,0.0470,-0.0244
1.9800,-0.0153398,0.5357428,0.0355,-0.0355,0.0047,-0.0378
1.9900,-0.0153398,0.5357428,0.0355,-0.0355,0.0611,-0.0409
2.0000,-0.0153398,0.5357428,0.0355,-0.0355,0.0470,-0.0165
2.0100,-0.0153398,0.5357428,0.0355,-0.0355,0.0188,0.0012
2.0200,-0.0153398,0.5357428,0.0355,-0.0355,0.0470,0.0012
2.0300,-0.0153398,0.5357428,0.0355,-0.0355,0.0611,-0.0409
2.0400,-0.0153398,0.5357428,0.0355,-0.0355,0.0470,-0.0409
2.0500,-0.0153398,0.5357428,0.0355,-0.0355,0.0047,-0.0659
2.0600,-0.0153398,0.5357428,0.0355,-0.0355,0.0555,-0.0409
2.0700,-0.0153398,0.5357428,0.0355,-0.0355,0.0470,-0.0195
2.0800,-0.0157233,0.5357428,0.0355,-0.0355,0.0259,-0.0409
2.0900,-0.0153398,0.5357428,0.0355,-0.0355,0.0470,-0.0659
2.1000,-0.0153398,0.5357428,0.0355,-0.0355,0.0686,-0.0195
2.1100,-0.0153398,0.5357428,0.0356,-0.0356,0.0315,0.0043
2.1200,-0.0153398,0.5357428,0.0356,-0.0356,0.0470,-0.0195
2.1300,-0.0153398,0.5357428,0.0356,-0.0356,0.0470,-0.0195
2.1400,-0.0153398,0.5357428,0.0356,-0.0356,0.0259,-0.0409
2.1500,-0.0153398,0.5357428,0.0356,-0.0356,0.0470,-0.0409
2.1600,-0.0153398,0.5357428,0.0356,-0.0356,0.0672,-0.0659
2.1700,-0.0153398,0.5357428,0.0356,-0.0356,0.0259,-0.0409
2.1800,-0.0153398,0.5357428,0.0355,-0.0355,0.0672,-0.0476
2.1900,-0.0153398,0.5357428,0.0355,-0.0355,0.0188,-0.0409
2.2000,-0.0153398,0.5357428,0.0355,-0.0355,0.0470,0.0043
2.2100,-0.0153398,0.5357428,0.0355,-0.0355,0.0531,-0.0409
2.2200,-0.0153398,0.5357428,0.0355,-0.0355,0.0414,-0.0409
2.2300,-0.0153398,0.5357428,0.0355,-0.0355,0.0470,-0.0165
2.2400,-0.0153398,0.5357428,0.0355,-0.0355,0.0686,-0.0409
2.2500,-0.0153398,0.5357428,0.0355,-0.0355,0.0672,-0.0195
2.2600,-0.0153398,0.5357428,0.0355,-0.0355,0.0343,-0.0195
2.2700,-0.0153398,0.5357428,0.0355,-0.0355,0.0259,-0.0195
2.2800,-0.0153398,0.5357428,0.0355,-0.0355,0.0047,-0.0409
2.2900,-0.0153398,0.5357428,0.0355,-0.0355,0.0259,-0.0378
2.3000,-0.0153398,0.5357428,0.0355,-0.0355,0.0611,-0.0409
2.3100,-0.0153398,0.5357428,0.0355,-0.0355,0.0686,-0.0165
2.3200,-0.0153398,0.5357428,0.0355,-0.0355,0.0259,-0.0409
2.3300,-0.0153398,0.5357428,0.0356,-0.0356,0.0188,-0.0195
2.3400,-0.0157233,0.5361263,0.0356,-0.0356,0.0470,-0.0689
2.3500,-0.0157233,0.5361263,0.0356,-0.0356,0.0047,-0.0476
2.3600,-0.0153398,0.5357428,0.0356,-0.0356,0.0672,0.0043
2.3700,-0.0157233,0.5357428,0.0356,-0.0356,0.0470,-0.0195
2.3800,-0.0153398,0.5357428,0.0356,-0.0356,0.0470,-0.0409
2.3900,-0.0157233,0.5357428,0.0356,-0.0356,0.0259,-0.0659
2.4000,-0.0153398,0.5361263,0.0355,-0.0355,0.0259,-0.0195
2.4100,-0.0157233,0.5357428,0.0355,-0.0355,0.0400,-0.0195
2.4200,-0.0157233,0.5361263,0.0355,-0.0355,0.0414,-0.0195
2.4300,-0.0157233,0.5357428,0.0355,-0.0355,0.0047,-0.0409
2.4400,-0.0157233,0.5361263,0.0355,-0.0355,0.0259,-0.0427
2.4500,-0.0157233,0.5361263,0.0355,-0.0355,0.0259,-0.0195
2.4600,-0.0157233,0.5361263,0.0355,-0.0355,0.0259,-0.0427
2.4700,-0.0153398,0.5361263,0.0355,-0.0355,0.0414,-0.0476
2.4800,-0.0157233,0.5361263,0.0391,-0.0391,0.0611,-0.0195
2.4900,-0.0153398,0.5361263,0.0391,-0.0391,0.0686,-0.0427
2.5000,-0.0157233,0.5361263,0.0391,-0.0391,0.0400,-0.0427
2.5100,-0.0157233,0.5361263,0.0391,-0.0391,0.0470,-0.0195
2.5200,-0.0157233,0.5361263,0.0391,-0.0391,0.0259,-0.0195
2.5300,-0.0153398,0.5361263,0.0391,-0.0391,0.0259,-0.0195
2.5400,-0.0157233,0.5361263,0.0390,-0.0390,0.0047,-0.0397
2.5500,-0.0157233,0.5361263,0.0390,-0.0390,0.0056,-0.0195
2.5600,-0.0157233,0.5361263,0.0390,-0.0390,0.0470,-0.0195
2.5700,-0.0157233,0.5361263,0.0390,-0.0390,0.0414,-0.0165
2.5800,-0.0157233,0.5361263,0.0390,-0.0390,0.0259,-0.0427
2.5900,-0.0157233,0.5361263,0.0390,-0.0390,0.0343,-0.0659
2.6000,-0.0157233,0.5365098,0.0390,-0.0390,0.0259,-0.0195
2.6100,-0.0157233,0.5361263,0.0390,-0.0390,0.0611,-0.0458
2.6200,-0.0157233,0.5361263,0.0391,-0.0391,0.0470,-0.0195
2.6300,-0.0157233,0.5361263,0.0391,-0.0391,0.0470,-0.0195
2.6400,-0.0157233,0.5361263,0.0392,-0.0392,0.0400,-0.0195
2.6500,-0.0157233,0.5361263,0.0427,-0.0427,0.0259,-0.0195
2.6600,-0.0157233,0.5361263,0.0428,-0.0428,0.0118,-0.0427
2.6700,-0.0157233,0.5361263,0.0428,-0.0428,0.0268,-0.0427
2.6800,-0.0157233,0.5361263,0.0429,-0.0429,0.0259,-0.0427
2.6900,-0.0157233,0.5361263,0.0429,-0.0429,0.0329,-0.0659
