X[s],"Avanti sensor 2: ACC.X 2",X[s],"Avanti sensor 2: ACC.Y 2",X[s],"Avanti sensor 2: ACC.Z 2",X[s],"Avanti sensor 2: GYRO.X 2",X[s],"Avanti sensor 2: GYRO.Y 2",X[s],"Avanti sensor 2: GYRO.Z 2",X[s],"L RECTUS FEMORIS: EMG 4",X[s],"L BICEPS FEMORIS: EMG 5",X[s],"Avanti sensor 7: ACC.X 7",X[s],"Avanti sensor 7: ACC.Y 7",X[s],"Avanti sensor 7: ACC.Z 7",X[s],"Avanti sensor 7: GYRO.X 7",X[s],"Avanti sensor 7: GYRO.Y 7",X[s],"Avanti sensor 7: GYRO.Z 7",X[s],"R RECTUS FEMORIS: EMG 10",X[s],"R BICEPS FEMORIS: EMG 15"
0.0648,0,0.0648,0,0.0648,0,0.0648,0,0.0648,0,0.0648,0,0.01117241,0,0.01117241,0,0.0648,0,0.0648,0,0.0648,0,0.0648,0,0.0648,0,0.0648,0,0.01117241,0,0.01117241,0
0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.01163793,0,0.01163793,0,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.01163793,0,0.01163793,0
0.0702,0,0.0702,0,0.0702,0,0.0702,0,0.0702,0,0.0702,0,0.01210345,0,0.01210345,0,0.0702,0,0.0702,0,0.0702,0,0.0702,0,0.0702,0,0.0702,0,0.01210345,0,0.01210345,0
0.0729,0,0.0729,0,0.0729,0,0.0729,0,0.0729,0,0.0729,0,0.01256897,0,0.01256897,0,0.0729,0,0.0729,0,0.0729,0,0.0729,0,0.0729,0,0.0729,0,0.01256897,0,0.01256897,0
0.0756,0,0.0756,0,0.0756,0,0.0756,0,0.0756,0,0.0756,0,0.01303448,0,0.01303448,0,0.0756,0,0.0756,0,0.0756,0,0.0756,0,0.0756,0,0.0756,0,0.01303448,0,0.01303448,0
0.0783,0,0.0783,0,0.0783,0,0.0783,0,0.0783,0,0.0783,0,0.0135,0,0.0135,0,0.0783,0,0.0783,0,0.0783,0,0.0783,0,0.0783,0,0.0783,0,0.0135,0,0.0135,0
0.081,0,0.081,0,0.081,0,0.081,0,0.081,0,0.081,0,0.01396552,0,0.01396552,0,0.081,0,0.081,0,0.081,0,0.081,0,0.081,0,0.081,0,0.01396552,0,0.01396552,0
0.0837,0,0.0837,0,0.0837,0,0.0837,0,0.0837,0,0.0837,0,0.01443103,0,0.01443103,0,0.0837,0,0.0837,0,0.0837,0,0.0837,0,0.0837,0,0.0837,0,0.01443103,0,0.01443103,0
0.0864,0,0.0864,0,0.0864,0,0.0864,0,0.0864,0,0.0864,0,0.01489655,0,0.01489655,0,0.0864,0,0.0864,0,0.0864,0,0.0864,0,0.0864,0,0.0864,0,0.01489655,0,0.01489655,0
0.0891,0,0.0891,0,0.0891,0,0.0891,0,0.0891,0,0.0891,0,0.01536207,0,0.01536207,0,0.0891,0,0.0891,0,0.0891,0,0.0891,0,0.0891,0,0.0891,0,0.01536207,0,0.01536207,0
0.0918,0,0.0918,0,0.0918,0,0.0918,0,0.0918,0,0.0918,0,0.01582759,0,0.01582759,0,0.0918,0,0.0918,0,0.0918,0,0.0918,0,0.0918,0,0.0918,0,0.01582759,0,0.01582759,0
0.09450001,0,0.09450001,0,0.09450001,0,0.09450001,0,0.09450001,0,0.09450001,0,0.0162931,0,0.0162931,0,0.09450001,0.2719727,0.09450001,-0.9628906,0.09450001,-0.1816406,0.09450001,-0.7317073,0.09450001,2.865854,0.09450001,0.9146342,0.0162931,0,0.0162931,0
0.0972,0,0.0972,0,0.0972,0,0.0972,0,0.0972,0,0.0972,0,0.01675862,0,0.01675862,0,0.0972,0.2714844,0.0972,-0.9672852,0.0972,-0.184082,0.0972,-0.5487805,0.0972,3.04878,0.0972,1.158537,0.01675862,0,0.01675862,0
0.0999,0,0.0999,0,0.0999,0,0.0999,0,0.0999,0,0.0999,0,0.01722414,0,0.01722414,0,0.0999,0.2734375,0.0999,-0.9633789,0.0999,-0.1845703,0.0999,-0.6707317,0.0999,3.04878,0.0999,1.219512,0.01722414,0,0.01722414,0
0.1026,0,0.1026,0,0.1026,0,0.1026,0,0.1026,0,0.1026,0,0.01768965,0,0.01768965,0,0.1026,0.2724609,0.1026,-0.9638672,0.1026,-0.1865234,0.1026,-0.7926829,0.1026,3.04878,0.1026,1.402439,0.01768965,0,0.01768965,0
0.1053,0,0.1053,0,0.1053,0,0.1053,0,0.1053,0,0.1053,0,0.01815517,0,0.01815517,0,0.1053,0.2724609,0.1053,-0.965332,0.1053,-0.1879883,0.1053,-0.7926829,0.1053,3.109756,0.1053,1.036585,0.01815517,0,0.01815517,0
0.108,-0.1191406,0.108,-0.9907227,0.108,-0.1679688,0.108,-3.353659,0.108,3.292683,0.108,1.402439,0.01862069,0,0.01862069,0,0.108,0.2744141,0.108,-0.9633789,0.108,-0.1860352,0.108,-0.8536586,0.108,2.926829,0.108,0.8536586,0.01862069,0,0.01862069,0
0.1107,-0.1196289,0.1107,-0.9882813,0.1107,-0.1660156,0.1107,-3.231707,0.1107,2.926829,0.1107,1.463415,0.01908621,0,0.01908621,0,0.1107,0.2714844,0.1107,-0.9614258,0.1107,-0.1865234,0.1107,-0.7926829,0.1107,2.987805,0.1107,0.9146342,0.01908621,0,0.01908621,0
0.1134,-0.1176758,0.1134,-0.987793,0.1134,-0.1665039,0.1134,-3.04878,0.1134,3.353659,0.1134,1.402439,0.01955172,0,0.01955172,0,0.1134,0.2724609,0.1134,-0.9619141,0.1134,-0.1865234,0.1134,-0.8536586,0.1134,2.926829,0.1134,1.097561,0.01955172,0,0.01955172,0
0.1161,-0.1171875,0.1161,-0.9897461,0.1161,-0.1650391,0.1161,-3.231707,0.1161,3.292683,0.1161,1.463415,0.02001724,0,0.02001724,0,0.1161,0.2719727,0.1161,-0.9624023,0.1161,-0.1835938,0.1161,-0.5487805,0.1161,2.926829,0.1161,1.280488,0.02001724,0,0.02001724,0
0.1188,-0.1162109,0.1188,-0.9902344,0.1188,-0.1689453,0.1188,-3.231707,0.1188,2.987805,0.1188,1.585366,0.02048276,0,0.02048276,0,0.1188,0.2734375,0.1188,-0.965332,0.1188,-0.1855469,0.1188,-0.7317073,0.1188,3.353659,0.1188,0.9146342,0.02048276,0,0.02048276,0
0.1215,-0.121582,0.1215,-0.9907227,0.1215,-0.1713867,0.1215,-3.231707,0.1215,2.926829,0.1215,1.463415,0.02094828,0,0.02094828,0,0.1215,0.2768555,0.1215,-0.9633789,0.1215,-0.1855469,0.1215,-0.7317073,0.1215,3.414634,0.1215,1.036585,0.02094828,0,0.02094828,0
