timestamp,left_angle_rad,left_angular_velocity_rad_s,right_angle_rad,right_angular_velocity_rad_s,left_raw_tcn_nm,right_raw_tcn_nm,left_cmd_nm,right_cmd_nm,left_actual_nm,right_actual_nm,teensy_seq
0.490000,0.001725893,-0.004676511,0.008171312,-0.005022722,nan,nan,0.000000,0.000000,-0.025850,0.030500,496
0.500000,0.001741547,-0.004102640,0.008171312,-0.005022722,nan,nan,0.000000,0.000000,0.030550,0.010370,497
0.510000,0.001741547,-0.003771830,0.008267185,-0.005022722,nan,nan,0.000000,0.000000,0.000000,0.003050,498
0.520000,0.001741656,-0.000415453,0.008267185,-0.005022722,nan,nan,0.000000,0.000000,0.000000,-0.016470,499
0.530000,0.001741656,-0.000415453,0.008267185,-0.005022722,nan,nan,0.000000,0.000000,-0.010340,-0.007320,500
0.540000,0.001807635,0.001053157,0.008267185,-0.005022722,nan,nan,0.000000,0.000000,0.030550,0.030500,501
0.550000,0.001807635,0.001053157,0.008267185,-0.005022722,nan,nan,0.000000,0.000000,-0.041360,0.010370,502
0.560000,0.001807635,0.001053157,0.008267185,-0.005022722,nan,nan,0.000000,0.000000,0.010340,0.010370,503
0.570000,0.001807635,0.001053157,0.008267185,-0.005022722,nan,nan,0.000000,0.000000,0.004700,-0.025620,504
0.580000,0.001807635,0.001053157,0.008267185,-0.005022722,nan,nan,0.000000,0.000000,0.030550,0.010370,505
0.590000,0.001807635,0.001053157,0.008267185,-0.005022722,nan,nan,0.000000,0.000000,0.030550,-0.007320,506
0.600000,0.001807635,0.001053157,0.008267185,-0.005022722,nan,nan,0.000000,0.000000,0.000000,0.030500,507
0.610000,0.001807635,0.001053157,0.008267185,-0.005022722,nan,nan,0.000000,0.000000,0.015040,0.021350,508
0.620000,0.001807635,0.001053157,0.008267185,-0.005022722,nan,nan,0.000000,0.000000,-0.011750,-0.025620,509
0.630000,0.001386648,-0.010320568,0.008363059,-0.005022722,nan,nan,0.000000,0.000000,0.015040,0.010370,510
0.640000,0.001331588,-0.010590929,0.008458933,-0.005022722,nan,nan,0.000000,0.000000,-0.041360,0.010370,511
