elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm
34.5600,16.3978,-36.9131,10.0251,21.1276,1.8908,-1.9642
34.5700,16.3978,-36.9131,10.9479,43.7717,1.8908,-1.9642
34.5800,15.9803,-40.3922,12.4860,74.7775,2.3331,-2.2832
34.5900,15.5519,-40.2090,13.5023,99.1306,2.3331,-2.2832
34.6001,15.1014,-42.2842,14.6284,112.7414,2.3331,-2.2832
34.6100,14.0907,-51.1343,14.6284,112.7414,2.3331,-2.2832
34.6200,13.5469,-53.6978,15.7984,113.7180,2.4764,-2.5754
34.6300,12.9811,-56.7496,16.9410,110.1169,2.4764,-2.5754
34.6401,12.9811,-56.7496,19.0833,94.0646,2.4764,-2.5754
34.6500,12.3933,-59.8013,19.8414,82.8952,2.4764,-2.5754
34.6601,11.8110,-57.9092,20.5445,69.3454,2.5145,-2.5937
34.6702,11.2562,-56.8716,21.2421,61.1667,2.5145,-2.5937
34.6800,10.0917,-58.3975,21.2421,61.1667,2.5145,-2.5937
34.6900,9.5698,-53.0875,21.9123,60.9836,2.5145,-2.5937
34.7000,9.0809,-51.1954,22.5825,64.7067,3.1189,-3.1220
34.7100,9.0809,-51.1954,23.2471,67.2092,3.1189,-3.1220
34.7200,9.0809,-51.1954,24.6863,80.9421,3.1250,-3.1049
34.7305,8.6195,-48.8760,25.4719,86.3742,3.1250,-3.1049
34.7400,7.7406,-48.2657,26.3068,92.2946,3.9640,-3.9174
34.7500,6.8342,-50.2188,26.3068,92.2946,3.9640,-3.9174
34.7606,6.8342,-50.2188,27.1747,92.9660,4.0147,-3.9790
34.7707,5.9223,-49.6085,28.0701,93.6984,4.0147,-3.9790
34.7805,5.9223,-49.6085,30.2509,119.3942,3.9297,-3.9912
34.7900,5.5433,-43.9932,31.4649,124.6432,3.9297,-3.9912
34.8000,5.2192,-38.5001,32.6789,121.9577,3.9062,-3.9052
34.8101,4.8896,-36.1807,33.7446,104.3796,3.9062,-3.9052
34.8200,4.5381,-34.2886,33.7446,104.3796,3.8502,-3.8656
34.8300,4.2030,-32.3355,34.5795,79.5383,3.8502,-3.8656
34.8400,3.6427,-24.2178,35.1618,53.6594,3.8230,-3.7503
34.8500,3.6427,-24.2178,35.3705,-18.6673,3.8230,-3.7503
34.8600,3.6427,-24.2178,35.3705,-18.6673,3.8230,-3.7503
34.8700,3.2582,-15.0626,33.6841,-116.2625,3.8230,-3.7503
34.8800,3.1867,-3.0386,32.2449,-142.4466,2.7899,-2.7920
34.8900,3.4559,20.8871,32.2449,-142.4466,2.7899,-2.7920
34.9000,3.6976,25.2817,30.4157,-183.8284,2.0055,-1.9642
34.9100,3.6976,25.2817,27.9822,-242.4832,2.0055,-1.9642
34.9200,3.9668,27.7231,25.2961,-253.4085,1.8861,-1.9856
34.9301,4.2359,26.9296,20.8631,-141.8973,1.8861,-1.9856
34.9401,4.4776,24.5493,20.8631,-141.8973,1.3014,-1.3402
34.9501,5.1203,40.4184,19.5722,-18.7283,1.3014,-1.3402
34.9601,5.5982,50.4892,19.5722,-18.7283,1.3014,-1.3402
34.9700,6.1695,59.7665,19.5722,-18.7283,1.3014,-1.3402
