elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm
0.8300,0.3540,-0.3647,0.5430,-0.2670,-0.0353,-0.0165
0.8401,0.3485,-0.2426,0.5430,-0.3891,-0.0353,-0.0165
0.8504,0.3430,-0.3036,0.5430,-0.3891,-0.0094,-0.0256
0.8600,0.3376,-0.1205,0.5375,-0.0229,-0.0094,-0.0256
0.8702,0.3376,0.0626,0.5430,0.1602,-0.0094,0.0104
0.8800,0.3376,-0.1205,0.5485,0.2823,-0.0094,0.0104
0.8902,0.3376,-0.4257,0.5540,0.1602,-0.0353,0.0012
0.9000,0.3321,-0.4868,0.5540,-0.0839,-0.0353,0.0012
0.9101,0.3321,-0.3036,0.5540,-0.1450,0.0103,0.0012
0.9200,0.3266,-0.1205,0.5540,-0.1450,0.0103,0.0012
0.9301,0.3266,-0.0595,0.5540,-0.1450,-0.0141,0.0104
0.9400,0.3266,-0.0595,0.5485,-0.3891,-0.0141,0.0104
0.9500,0.3266,-0.1205,0.5485,-0.5112,-0.0141,0.0104
0.9600,0.3266,-0.3036,0.5430,-0.5112,-0.0141,0.0104
0.9700,0.3211,-0.1205,0.5430,-0.3891,-0.0141,0.0476
0.9800,0.3266,-0.0595,0.5430,-0.1450,-0.0141,0.0476
0.9904,0.3211,-0.2426,0.5430,-0.1450,-0.0103,0.0012
1.0000,0.3211,-0.2426,0.5485,-0.1450,-0.0103,0.0012
1.0100,0.3156,-0.4257,0.5540,-0.0839,-0.0353,0.0104
1.0201,0.3156,-0.4257,0.5540,-0.0839,-0.0353,0.0104
1.0300,0.3156,-0.1816,0.5540,-0.0839,-0.0400,0.0287
1.0400,0.3156,-0.1205,0.5595,-0.3281,-0.0400,0.0287
1.0500,0.3156,-0.1816,0.5595,-0.0229,0.0056,0.0104
1.0600,0.3156,-0.1205,0.5595,-0.2670,0.0056,0.0104
1.0701,0.3211,0.0626,0.5595,-0.5112,0.0056,0.0104
1.0800,0.3211,0.0015,0.5540,-0.5112,-0.0555,0.0287
1.0900,0.3211,0.0015,0.5540,-0.5112,-0.0555,0.0287
1.1000,0.3211,-0.1205,0.5430,-0.8163,-0.0555,0.0287
1.1100,0.3211,-0.0595,0.5320,-0.3891,-0.0555,0.0287
1.1204,0.3211,-0.1205,0.5320,-0.3891,-0.0103,0.0012
1.1300,0.3156,-0.3647,0.5320,-0.3891,-0.0141,0.0104
1.1402,0.3156,-0.3036,0.5320,-0.0229,-0.0141,0.0104
1.1500,0.3156,-0.3647,0.5320,-0.0229,-0.0141,0.0104
1.1600,0.3156,-0.3647,0.5320,-0.0229,-0.0141,0.0104
1.1700,0.3101,-0.3036,0.5320,-0.0229,-0.0141,0.0104
1.1800,0.3101,-0.1816,0.5320,-0.0229,-0.0188,0.0378
1.1900,0.3101,-0.2426,0.5320,-0.0229,-0.0188,0.0378
1.2000,0.3101,-0.1816,0.5375,0.0381,-0.0103,0.0012
1.2102,0.3101,-0.1205,0.5375,-0.3281,-0.0103,0.0012
1.2200,0.3156,0.2457,0.5375,-0.3281,-0.0221,0.0012
1.2300,0.3156,0.2457,0.5375,-0.4501,-0.0470,0.0104
1.2400,0.3211,0.2457,0.5375,-0.4501,-0.0470,0.0104
1.2502,0.3211,0.0015,0.5430,-0.0229,-0.0470,0.0104
1.2601,0.3211,-0.1205,0.5430,-0.0839,-0.0141,0.0195
1.2700,0.3266,0.0015,0.5430,0.0381,0.0056,0.0378
1.2800,0.3266,0.0626,0.5430,-0.1450,0.0056,0.0378
1.2900,0.3321,0.3067,0.5430,-0.1450,0.0103,0.0287
1.3003,0.3321,0.3067,0.5430,-0.3891,0.0103,0.0287
1.3106,0.3376,0.4288,0.5375,-0.1450,-0.0141,0.0012
1.3200,0.3485,0.6119,0.5375,-0.2670,-0.0141,0.0012
1.3302,0.3540,0.7339,0.5320,-0.2670,-0.0141,0.0476
1.3403,0.3595,0.5508,0.5320,-0.2670,-0.0141,0.0476
1.3502,0.3650,0.2457,0.5375,0.0381,-0.0141,0.0476
1.3600,0.3650,0.1236,0.5375,0.0381,-0.0141,0.0183
1.3701,0.3650,0.1236,0.5375,0.0381,-0.0141,0.0183
1.3800,0.3595,-0.1205,0.5485,0.0381,-0.0141,0.0183
1.3900,0.3595,-0.1205,0.5485,0.0381,-0.0141,0.0183
1.4000,0.3595,0.0626,0.5485,0.0381,0.0056,0.0104
1.4104,0.3595,0.2457,0.5540,-0.0839,-0.0353,0.0567
1.4200,0.3650,0.4288,0.5540,-0.1450,-0.0353,0.0567
1.4302,0.3760,0.3067,0.5540,-0.1450,-0.0235,0.0195
1.4400,0.3760,0.3067,0.5595,0.2213,-0.0235,0.0195
1.4500,0.3815,0.3067,0.5650,0.5264,-0.0235,0.0195
1.4601,0.3870,0.3677,0.5705,0.3433,-0.0353,0.0012
1.4702,0.3925,0.4288,0.5760,0.2823,-0.0353,0.0012
1.4801,0.3980,0.4288,0.5760,0.2823,-0.0353,0.0012
1.4903,0.4090,0.1846,0.5869,0.0992,-0.0353,0.0012
1.5000,0.4145,0.4898,0.5869,0.0992,-0.0353,0.0012
1.5100,0.4145,0.4898,0.5924,-0.1450,-0.0353,0.0012
1.5201,0.4200,0.4898,0.5979,0.0992,-0.0235,0.0104
1.5300,0.4254,0.4288,0.5979,0.0381,-0.0235,0.0104
1.5401,0.4309,0.4288,0.6034,0.0381,0.0056,0.0287
1.5500,0.4364,0.6729,0.6034,0.0381,-0.0353,0.0287
1.5603,0.4419,0.6729,0.6034,0.1602,-0.0353,0.0287
1.5700,0.4584,0.3677,0.6199,0.5875,-0.0353,0.0287
1.5800,0.4584,0.3677,0.6199,0.5875,-0.0188,0.0287
1.5900,0.4584,0.3677,0.6254,0.4654,-0.0188,0.0287
1.6000,0.4584,0.3677,0.6364,0.3433,0.0056,0.0378
1.6100,0.4694,0.1236,0.6419,0.1602,-0.0141,-0.0165
1.6200,0.4694,0.1236,0.6474,0.0992,-0.0141,-0.0165
1.6301,0.4804,0.1236,0.6474,-0.0229,-0.0141,0.0287
1.6400,0.4804,-0.1205,0.6474,-0.0229,-0.0141,0.0287
1.6502,0.4804,-0.1205,0.6474,-0.2060,-0.0141,0.0287
1.6600,0.4804,-0.1205,0.6529,0.0381,-0.0141,0.0287
1.6700,0.4859,0.2457,0.6529,-0.0229,-0.0141,0.0287
1.6802,0.4859,0.0015,0.6529,-0.0229,-0.0188,0.0659
1.6900,0.4914,-0.1205,0.6638,0.3433,-0.0188,0.0659
1.7000,0.4914,0.0015,0.6748,0.5264,-0.0141,0.0287
1.7101,0.4914,-0.1205,0.6748,0.5264,-0.0353,0.0012
1.7204,0.4914,-0.1205,0.6748,0.5264,-0.0353,0.0012
1.7301,0.4914,-0.1205,0.6803,0.5875,-0.0437,0.0012
1.7404,0.4914,-0.3036,0.6968,-0.1450,-0.0437,0.0012
1.7501,0.4914,-0.0595,0.6968,-0.1450,-0.0437,0.0012
1.7600,0.4914,0.0626,0.6968,0.0992,-0.0437,0.0012
1.7700,0.4969,0.1236,0.6968,0.0992,0.0056,0.0287
1.7800,0.4969,-0.1205,0.6968,0.0992,0.0056,0.0287
1.7900,0.4969,-0.1205,0.7023,0.0381,0.0056,0.0287
1.8000,0.5024,0.0015,0.7023,0.0381,-0.0555,0.0012
1.8100,0.5024,0.0015,0.7023,0.0381,-0.0141,0.0104
1.8200,0.5024,0.0626,0.7078,0.2823,-0.0141,0.0104
1.8300,0.5078,0.0015,0.7133,-0.0839,-0.0141,0.0104
1.8400,0.5024,-0.3647,0.7133,-0.0839,-0.0141,0.0378
1.8500,0.4969,-0.4257,0.7133,-0.3281,-0.0141,0.0378
1.8600,0.4969,-0.1816,0.7133,-0.3281,0.0009,0.0012
1.8701,0.4969,-0.1205,0.7133,-0.3281,0.0009,0.0012
1.8802,0.4969,-0.1205,0.7133,-0.3281,-0.0103,0.0012
1.8900,0.4914,-0.1816,0.7133,-0.1450,0.0056,-0.0256
1.9002,0.4914,-0.0595,0.7188,0.0992,0.0056,-0.0256
1.9100,0.4969,0.1846,0.7243,0.0381,-0.0141,0.0287
1.9200,0.5078,0.1236,0.7188,-0.5112,-0.0141,0.0287
1.9301,0.5078,0.1236,0.7078,-0.5112,-0.0141,0.0287
1.9400,0.5078,-0.1205,0.7023,-0.5112,-0.0141,0.0287
1.9500,0.5024,-0.3036,0.6968,-0.5112,-0.0141,0.0287
1.9600,0.5024,-0.3036,0.6913,-0.5112,-0.0141,0.0287
1.9702,0.5024,-0.3036,0.6858,-0.5112,-0.0141,0.0287
1.9800,0.4969,-0.1816,0.6858,-0.5112,-0.0141,0.0104
1.9900,0.4969,0.0626,0.6748,-0.5112,-0.0353,0.0104
2.0000,0.4969,0.0626,0.6638,-0.5112,-0.0353,0.0104
2.0100,0.4969,0.0626,0.6584,-0.5112,-0.0353,0.0104
2.0200,0.5024,0.1846,0.6529,-0.5112,0.0056,-0.0092
2.0302,0.5024,0.2457,0.6474,-0.5112,0.0056,-0.0092
2.0400,0.5078,0.2457,0.6474,-0.5112,-0.0188,0.0287
2.0500,0.5133,0.4288,0.6474,-0.5112,-0.0141,0.0012
2.0603,0.5243,0.3067,0.6309,-0.5112,-0.0141,0.0012
2.0700,0.5243,0.3067,0.6254,-0.5112,-0.0141,0.0012
2.0800,0.5243,0.1236,0.6199,-0.5112,-0.0141,0.0287
2.0901,0.5298,0.1846,0.6144,-0.5112,-0.0564,0.0031
2.1000,0.5353,0.3067,0.6089,-0.5112,-0.0564,0.0031
2.1100,0.5353,0.3067,0.6034,-0.5112,-0.0353,0.0031
2.1203,0.5463,0.4288,0.5979,-0.5112,-0.0353,0.0031
2.1300,0.5463,0.4288,0.5924,-0.5112,-0.0141,0.0012
2.1400,0.5573,0.5508,0.5869,-0.5112,-0.0141,0.0012
2.1500,0.5628,0.6729,0.5815,-0.5112,-0.0141,0.0012
2.1601,0.5683,0.5508,0.5760,-0.5112,-0.0141,0.0012
2.1700,0.5683,0.5508,0.5705,-0.5112,-0.0141,0.0012
2.1801,0.5847,0.4898,0.5650,-0.5112,-0.0353,0.0378
2.1900,0.5902,0.4288,0.5650,-0.5112,-0.0353,0.0378
2.2002,0.5957,0.4288,0.5595,-0.5112,-0.0235,0.0378
2.2101,0.6012,0.5508,0.5540,-0.5112,-0.0235,0.0378
2.2200,0.6012,0.5508,0.5485,-0.5112,0.0056,0.0378
2.2300,0.6122,0.4898,0.5485,-0.5112,0.0056,0.0378
2.2400,0.6177,0.3067,0.5375,-0.5112,0.0056,0.0378
2.2502,0.6232,0.2457,0.5375,-0.5112,0.0056,0.0378
2.2606,0.6342,0.1846,0.5375,-0.5112,0.0103,-0.0256
2.2700,0.6342,0.1846,0.5265,-0.5112,-0.0353,0.0012
2.2802,0.6397,0.0015,0.5210,-0.5112,-0.0353,0.0012
2.2900,0.6397,0.1846,0.5155,-0.5112,-0.0353,0.0012
2.3000,0.6397,0.1236,0.5100,-0.5112,-0.0353,0.0012
2.3100,0.6452,-0.0595,0.5045,-0.5112,-0.0353,0.0012
2.3200,0.6452,-0.0595,0.5045,-0.5112,-0.0094,0.0214
2.3305,0.6397,-0.1205,0.4991,-0.5112,-0.0353,0.0012
2.3402,0.6397,-0.0595,0.4936,-0.5112,-0.0353,0.0012
2.3500,0.6397,-0.1205,0.4881,-0.5112,-0.0353,0.0012
