time_s,target_velocity_mps,actual_velocity_mps,hip_r_angle_deg,hip_r_angular_velocity_deg_s,hip_r_moment_nm,hip_l_angle_deg,hip_l_angular_velocity_deg_s,hip_l_moment_nm,knee_r_angle_deg,knee_r_angular_velocity_deg_s,knee_r_moment_nm,knee_l_angle_deg,knee_l_angular_velocity_deg_s,knee_l_moment_nm,ankle_r_angle_deg,ankle_r_angular_velocity_deg_s,ankle_r_moment_nm,ankle_l_angle_deg,ankle_l_angular_velocity_deg_s,ankle_l_moment_nm
0.0,1.3,1.3,-27.786869879065424,-13.849397232919019,2.230894550096698,21.681413650332438,8.486842722050001,-8.44048806694134,-5.673878696036463,-58.11840216073969,-1.2093599144337066,-6.406619049259751,-69.26225515228305,-4.338865556791123,16.077187272072578,-41.29741295949004,-0.01195013726469478,-2.4890312032658146,-152.02212776388987,-0.018623404714183788
0.01,1.3,1.17552340091472,-27.11285367393839,114.37742964871767,16.830165169958942,22.149087230333905,73.3850439230595,-62.31156080512992,-7.453927312292086,-261.8375782807577,-6.597767135975001,-7.520163962711337,-149.28017748214975,-43.54100519386426,11.97958095710316,-390.8418689529075,-73.94666851709766,-4.846591458556059,-256.5798912387276,13.576098811023517
0.019999999999999993,1.3,1.1543163530286376,-25.779419679299142,138.8300861298576,21.38908482195611,23.050932235703844,99.5900602103428,-73.06225010419384,-10.562802753786974,-327.0505180718226,48.19310762103197,-9.369089812758695,-209.01208045204817,-52.21677381717033,9.595138446921181,-159.89335507155843,-138.64035299240274,-7.0337596193802,-174.85996715443778,12.742541985094512
0.029999999999999975,1.3,1.1847213699526347,-24.46692301274439,122.27641403053892,26.89646818757383,24.026315941462354,90.89508477204079,-72.54676145440348,-13.682134633916409,-293.6003971468449,68.96998607841644,-11.519587752685883,-212.36899549009362,-42.399720117289334,8.18910176883791,-142.24727477727322,-158.80092669785964,-8.318176426358605,-89.67446491947084,5.151617033074672
0.03999999999999996,1.3,1.3420859370717717,-23.363136495047264,100.34979947151487,10.796071596833693,24.770311928753376,48.97113624421697,-113.64325837851693,-16.39713901510718,-259.53468217843874,20.846090527093196,-13.483159310024673,-164.4733638447996,-25.957437035601743,6.462806925738634,-206.62207401183656,-132.39226835982006,-8.724636185891963,-33.92516919379091,-9.166883333853583
0.04999999999999994,1.3,1.426808347584164,-22.474750144532134,79.42791800240346,11.221673966414155,24.808985518411312,-35.34667817934208,-140.37989914461184,-18.883294086643584,-235.96712252514445,5.309586630537683,-14.51467742778554,-50.263281629949894,-8.18499829813983,3.7380606263948972,-359.0710289340692,-83.98467191293854,-9.252902840205168,-69.33291265506959,-5.74693050257401
0.05999999999999992,1.3,1.5004932581352863,-21.777998659995756,62.83125253273742,13.478620233308156,24.022065574159868,-114.57077183128442,-151.33381599357295,-21.195360550145065,-226.8025959697702,-6.133839330167333,-14.468959629389358,49.7285475960132,0.9444517729932069,0.05259093208212322,-390.89892201277485,-69.44939457974077,-9.996764865412556,-78.47647648627753,-3.9191144677949836
0.06999999999999997,1.3,1.3088444308116647,-21.185296871029113,59.58991078985882,11.559298282741844,22.60131262229409,-143.51246165847405,-127.69703168514137,-23.398698706737125,-218.004036778717,-19.35587906827774,-13.706013891336362,59.84820455850506,-127.69251390099025,-4.3029378076179405,-457.6703790812356,-51.10242424001804,-10.550202070724756,12.333039660884067,-14.893433454345548
0.08000000000000003,1.3,1.3226950282068024,-20.48009202980841,82.9226290634841,7.249240192914443,21.241762527861383,-145.77511798633765,-76.82733566780284,-25.761942088443647,-259.05885592198024,-32.19671252392425,-13.34246262707549,53.55137477030626,3.506220396718858,-8.944356797886353,-470.06544048912554,-39.94251093353211,-10.003657570533512,44.29974891808177,-10.364961907926464
0.0900000000000001,1.3,1.2997594090661189,-19.416592746211453,128.94748097406148,6.665731857883039,19.682014860960745,-154.35954815994936,-49.150437926966056,-28.76107649030563,-337.762547011242,-35.4645442278452,-12.581582733890093,75.99715163788943,-17.081258699443953,-13.628845978769485,-462.1724345724597,-30.078831165378958,-9.624949837758466,49.79135790334221,-4.640165505562443
0.10000000000000016,1.3,1.3,-17.832353863778387,183.55297162659448,7.123240317662692,18.29961637712129,-123.52306517377144,-35.66935914518688,-32.59506626519531,-422.234929750393,-36.62410401526958,-12.068869633148216,29.808066167397705,-19.613456927873337,-18.156083522645027,-450.1277500754639,-20.95129943608632,-8.887554178703178,87.93435940097183,-6.035085938474598
0.11000000000000022,1.3,1.2500472731253456,-15.810406986616089,210.70393100519132,19.95155125905056,17.2007549796597,-100.72011929945586,-33.33836696615751,-37.06273387432068,-456.69874536993467,-4.137011403035936,-11.953345255073732,0.9923812103050573,7.439161010419167,-22.974141057453814,-380.6630300327241,3.605056078345658,-8.028288213143036,84.59498635834557,5.12343401824802
0.12000000000000029,1.3,1.2016898252554686,-13.636957447545436,223.30793979667843,24.86666228026195,16.292253520123477,-81.6533174706836,-29.009569038190836,-41.595404844042605,-448.67021417791955,-3.720518260072402,-12.04553708285841,-18.940819031771138,12.183050834374317,-25.923330221331728,-236.98351311201333,2.8708583406791455,-7.1113199107872,100.03738592254375,9.814308729999475
0.13000000000000025,1.3,1.1672078632726628,-11.355285689179542,231.4795711435238,27.401565952054497,15.534289800396557,-72.3793994030607,-25.644789222381796,-45.99029249645225,-430.2319707236236,-5.223498886197913,-12.25876635363165,-18.466242037876967,13.194430344299377,-27.81120872514262,-155.31545503308388,2.5917748108926055,-6.041448668570193,77.82342706945968,14.6510819192024
