host_iso_time,elapsed_s,log_index,left_valid,left_new_sample,left_sequence,left_device_ms,left_report_tag,left_age_s,left_angle_x_deg,left_angle_y_deg,left_angle_z_deg,left_angle_y_raw_deg,left_angle_y_zero_offset_deg,left_gyro_x_dps,left_gyro_y_dps,left_gyro_z_dps,right_valid,right_new_sample,right_sequence,right_device_ms,right_report_tag,right_age_s,right_angle_x_deg,right_angle_y_deg,right_angle_z_deg,right_angle_y_raw_deg,right_angle_y_zero_offset_deg,right_gyro_x_dps,right_gyro_y_dps,right_gyro_z_dps
2026-08-06T17:56:34.846,0.0,0,1,1,207,851847,0x0044,0.01599999999962165,-261.15,-0.10679641892204472,-247.28,-121.10000000000001,-120.99320358107795,-3.662109375,-2.5634765625,-8.48388671875,1,1,208,804108,0x0044,0.01599999999962165,274.42,2.2894103086919984,-207.79,-134.39000000000001,-136.679410308692,-11.29150390625,6.7138671875,-8.4228515625
2026-08-06T17:56:34.861,0.01599999999962165,1,1,1,209,851867,0x0044,0.01599999999962165,-262.05,-0.1567964189220561,-246.43,-121.15,-120.99320358107795,-2.74658203125,-4.39453125,-8.544921875,1,1,210,804128,0x0044,0.01599999999962165,272.66,2.2794103086920074,-206.38,-134.4,-136.679410308692,-10.6201171875,5.126953125,-9.21630859375
2026-08-06T17:56:34.876,0.030999999999039574,2,1,1,210,851877,0x0044,0.014999999999417923,-262.54,-0.166796418922047,-245.96,-121.16,-120.99320358107795,-3.173828125,-4.7607421875,-8.72802734375,1,1,211,804138,0x0044,0.014999999999417923,271.9,2.3094103086920086,-205.76,-134.37,-136.679410308692,-8.85009765625,4.39453125,-9.1552734375
2026-08-06T17:56:34.876,0.030999999999039574,3,1,0,210,851877,0x0044,0.014999999999417923,-262.54,-0.166796418922047,-245.96,-121.16,-120.99320358107795,-3.173828125,-4.7607421875,-8.72802734375,1,0,211,804138,0x0044,0.014999999999417923,271.9,2.3094103086920086,-205.76,-134.37,-136.679410308692,-8.85009765625,4.39453125,-9.1552734375
2026-08-06T17:56:34.891,0.04700000000048021,4,1,1,211,851887,0x0044,0.01600000000144064,-263.07,-0.1767964189220379,-245.46,-121.17,-120.99320358107795,-4.150390625,-4.94384765625,-8.7890625,1,1,212,804148,0x0044,0.01600000000144064,271.17,2.3194103086919995,-205.12,-134.36,-136.679410308692,-5.615234375,5.0048828125,-9.3994140625
2026-08-06T17:56:34.909,0.06199999999989814,5,1,1,213,851907,0x0044,0.014999999999417923,-264.18,-0.21679641892205836,-244.5,-121.21000000000001,-120.99320358107795,-6.53076171875,-4.21142578125,-8.1787109375,1,1,214,804168,0x0044,0.014999999999417923,269.87,2.2794103086920074,-203.81,-134.4,-136.679410308692,1.0986328125,7.2021484375,-8.1787109375
2026-08-06T17:56:34.909,0.06199999999989814,6,1,0,213,851907,0x0044,0.014999999999417923,-264.18,-0.21679641892205836,-244.5,-121.21000000000001,-120.99320358107795,-6.53076171875,-4.21142578125,-8.1787109375,1,0,214,804168,0x0044,0.014999999999417923,269.87,2.2794103086920074,-203.81,-134.4,-136.679410308692,1.0986328125,7.2021484375,-8.1787109375
2026-08-06T17:56:34.924,0.07799999999951979,7,1,1,215,851927,0x0044,0.01599999999962165,-265.27,-0.2567964189220504,-243.64000000000001,-121.25,-120.99320358107795,-8.4228515625,-3.90625,-7.2021484375,1,1,216,804188,0x0044,0.01599999999962165,268.67,2.179410308692013,-202.42000000000002,-134.5,-136.679410308692,3.90625,8.72802734375,-7.9345703125
2026-08-06T17:56:34.938,0.09399999999914144,8,1,1,217,851947,0x0044,0.01599999999962165,-266.25,-0.3167964189220527,-242.95000000000002,-121.31,-120.99320358107795,-9.94873046875,-2.0751953125,-6.103515625,1,1,217,804198,0x0044,0.01599999999962165,267.93,2.0894103086920097,-201.59,-134.59,-136.679410308692,3.72314453125,10.55908203125,-7.99560546875
2026-08-06T17:56:34.938,0.09399999999914144,9,1,0,217,851947,0x0044,0.01599999999962165,-266.25,-0.3167964189220527,-242.95000000000002,-121.31,-120.99320358107795,-9.94873046875,-2.0751953125,-6.103515625,1,0,217,804198,0x0044,0.01599999999962165,267.93,2.0894103086920097,-201.59,-134.59,-136.679410308692,3.72314453125,10.55908203125,-7.99560546875
2026-08-06T17:56:34.956,0.10900000000037835,10,1,0,217,851947,0x0044,0.031000000000858563,-266.25,-0.3167964189220527,-242.95000000000002,-121.31,-120.99320358107795,-9.94873046875,-2.0751953125,-6.103515625,1,1,219,804218,0x0044,0.0,265.92,1.8294103086920188,-199.43,-134.85,-136.679410308692,0.244140625,14.7705078125,-9.27734375
2026-08-06T17:56:34.970,0.125,11,1,0,217,851947,0x0044,0.04700000000048021,-266.25,-0.3167964189220527,-242.95000000000002,-121.31,-120.99320358107795,-9.94873046875,-2.0751953125,-6.103515625,1,1,220,804228,0x0044,0.01599999999962165,264.68,1.689410308692004,-198.20000000000002,-134.99,-136.679410308692,-2.74658203125,15.380859375,-9.21630859375
2026-08-06T17:56:34.970,0.125,12,1,0,217,851947,0x0044,0.04700000000048021,-266.25,-0.3167964189220527,-242.95000000000002,-121.31,-120.99320358107795,-9.94873046875,-2.0751953125,-6.103515625,1,0,220,804228,0x0044,0.01599999999962165,264.68,1.689410308692004,-198.20000000000002,-134.99,-136.679410308692,-2.74658203125,15.380859375,-9.21630859375
2026-08-06T17:56:34.987,0.14099999999962165,13,1,1,221,851987,0x0044,0.01599999999962165,-267.86,-0.5467964189220424,-242.02,-121.54,-120.99320358107795,-10.55908203125,-1.03759765625,-5.67626953125,1,1,222,804248,0x0044,0.01599999999962165,262.12,1.409410308692003,-195.83,-135.27,-136.679410308692,-9.33837890625,13.73291015625,-8.30078125
2026-08-06T17:56:34.987,0.14099999999962165,14,1,0,221,851987,0x0044,0.01599999999962165,-267.86,-0.5467964189220424,-242.02,-121.54,-120.99320358107795,-10.55908203125,-1.03759765625,-5.67626953125,1,0,222,804248,0x0044,0.01599999999962165,262.12,1.409410308692003,-195.83,-135.27,-136.679410308692,-9.33837890625,13.73291015625,-8.30078125
2026-08-06T17:56:35.003,0.15599999999903957,15,1,1,223,852007,0x0044,0.014999999999417923,-268.7,-0.6767964189220379,-241.53,-121.67,-120.99320358107795,-10.43701171875,-0.79345703125,-6.28662109375,1,1,224,804268,0x0044,0.014999999999417923,259.59000000000003,1.1994103086920234,-193.68,-135.48,-136.679410308692,-13.48876953125,11.77978515625,-7.568359375
2026-08-06T17:56:35.018,0.1720000000004802,16,1,1,224,852017,0x0044,0.01600000000144064,-269.11,-0.7367964189220402,-241.27,-121.73,-120.99320358107795,-9.765625,-0.6103515625,-6.4697265625,1,1,225,804278,0x0044,0.01600000000144064,258.38,1.0994103086920006,-192.70000000000002,-135.58,-136.679410308692,-14.95361328125,11.16943359375,-7.14111328125
2026-08-06T17:56:35.018,0.1720000000004802,17,1,0,224,852017,0x0044,0.01600000000144064,-269.11,-0.7367964189220402,-241.27,-121.73,-120.99320358107795,-9.765625,-0.6103515625,-6.4697265625,1,0,225,804278,0x0044,0.01600000000144064,258.38,1.0994103086920006,-192.70000000000002,-135.58,-136.679410308692,-14.95361328125,11.16943359375,-7.14111328125
2026-08-06T17:56:35.033,0.18699999999989814,18,1,0,224,852017,0x0044,0.031000000000858563,-269.11,-0.7367964189220402,-241.27,-121.73,-120.99320358107795,-9.765625,-0.6103515625,-6.4697265625,1,1,227,804298,0x0044,0.0,255.99,0.9094103086920029,-190.87,-135.77,-136.679410308692,-17.2119140625,11.16943359375,-6.16455078125
2026-08-06T17:56:35.050,0.2029999999995198,19,1,1,227,852047,0x0044,0.01599999999962165,-270.39,-0.8567964189220447,-240.39000000000001,-121.85000000000001,-120.99320358107795,-7.87353515625,-2.685546875,-6.65283203125,1,1,228,804308,0x0044,0.01599999999962165,254.79,0.7894103086919984,-189.96,-135.89000000000001,-136.679410308692,-17.4560546875,11.962890625,-5.67626953125
2026-08-06T17:56:35.050,0.2029999999995198,20,1,0,227,852047,0x0044,0.01599999999962165,-270.39,-0.8567964189220447,-240.39000000000001,-121.85000000000001,-120.99320358107795,-7.87353515625,-2.685546875,-6.65283203125,1,0,228,804308,0x0044,0.01599999999962165,254.79,0.7894103086919984,-189.96,-135.89000000000001,-136.679410308692,-17.4560546875,11.962890625,-5.67626953125
2026-08-06T17:56:35.063,0.21899999999914144,21,1,1,229,852067,0x0044,0.01599999999962165,-271.35,-0.9067964189220561,-239.68,-121.9,-120.99320358107795,-8.544921875,-2.38037109375,-7.01904296875,1,1,230,804328,0x0044,0.01599999999962165,252.34,0.4994103086920063,-188.1,-136.18,-136.679410308692,-17.76123046875,14.16015625,-4.45556640625
2026-08-06T17:56:35.079,0.23400000000037835,22,1,1,231,852087,0x0044,0.015000000001236913,-272.29,-0.9767964189220493,-239.04,-121.97,-120.99320358107795,-10.31494140625,-1.89208984375,-5.67626953125,1,1,231,804338,0x0044,0.015000000001236913,251.06,0.3194103086919995,-187.12,-136.36,-136.679410308692,-18.06640625,15.07568359375,-4.0283203125
2026-08-06T17:56:35.079,0.23400000000037835,23,1,0,231,852087,0x0044,0.015000000001236913,-272.29,-0.9767964189220493,-239.04,-121.97,-120.99320358107795,-10.31494140625,-1.89208984375,-5.67626953125,1,0,231,804338,0x0044,0.015000000001236913,251.06,0.3194103086919995,-187.12,-136.36,-136.679410308692,-18.06640625,15.07568359375,-4.0283203125
2026-08-06T17:56:35.094,0.25,24,1,0,231,852087,0x0044,0.031000000000858563,-272.29,-0.9767964189220493,-239.04,-121.97,-120.99320358107795,-10.31494140625,-1.89208984375,-5.67626953125,1,1,233,804358,0x0044,0.01599999999962165,248.46,-0.04058969130798573,-185.14000000000001,-136.72,-136.679410308692,-18.85986328125,15.5029296875,-3.47900390625
2026-08-06T17:56:35.110,0.26599999999962165,25,1,1,232,852097,0x0044,0.01599999999962165,-272.74,-1.0067964189220504,-238.78,-122.0,-120.99320358107795,-11.23046875,-1.40380859375,-5.0048828125,1,1,234,804368,0x0044,0.01599999999962165,247.15,-0.21058969130800165,-184.15,-136.89000000000001,-136.679410308692,-19.34814453125,15.31982421875,-3.35693359375
2026-08-06T17:56:35.110,0.26599999999962165,26,1,0,232,852097,0x0044,0.01599999999962165,-272.74,-1.0067964189220504,-238.78,-122.0,-120.99320358107795,-11.23046875,-1.40380859375,-5.0048828125,1,0,234,804368,0x0044,0.01599999999962165,247.15,-0.21058969130800165,-184.15,-136.89000000000001,-136.679410308692,-19.34814453125,15.31982421875,-3.35693359375
2026-08-06T17:56:35.125,0.2809999999990396,27,1,1,235,852127,0x0044,0.014999999999417923,-273.95,-1.126796418922055,-238.21,-122.12,-120.99320358107795,-13.427734375,-0.244140625,-3.7841796875,1,1,236,804388,0x0044,0.014999999999417923,244.48000000000002,-0.5905896913079971,-182.14000000000001,-137.27,-136.679410308692,-19.53125,15.869140625,-2.685546875
2026-08-06T17:56:35.125,0.2809999999990396,28,1,0,235,852127,0x0044,0.014999999999417923,-273.95,-1.126796418922055,-238.21,-122.12,-120.99320358107795,-13.427734375,-0.244140625,-3.7841796875,1,0,236,804388,0x0044,0.014999999999417923,244.48000000000002,-0.5905896913079971,-182.14000000000001,-137.27,-136.679410308692,-19.53125,15.869140625,-2.685546875
2026-08-06T17:56:35.141,0.2970000000004802,29,1,1,236,852137,0x0044,0.01600000000144064,-274.35,-1.166796418922047,-238.05,-122.16,-120.99320358107795,-13.85498046875,-0.06103515625,-3.60107421875,1,1,238,804408,0x0044,0.01600000000144064,241.83,-0.9505896913079823,-180.16,-137.63,-136.679410308692,-20.56884765625,14.70947265625,-2.50244140625
2026-08-06T17:56:35.159,0.31199999999989814,30,1,1,239,852167,0x0044,0.014999999999417923,-275.52,-1.2767964189220606,-237.6,-122.27,-120.99320358107795,-13.00048828125,0.1220703125,-4.150390625,1,1,239,804418,0x0044,0.014999999999417923,240.53,-1.090589691307997,-179.21,-137.77,-136.679410308692,-20.81298828125,13.73291015625,-3.23486328125
2026-08-06T17:56:35.159,0.31199999999989814,31,1,0,239,852167,0x0044,0.014999999999417923,-275.52,-1.2767964189220606,-237.6,-122.27,-120.99320358107795,-13.00048828125,0.1220703125,-4.150390625,1,0,239,804418,0x0044,0.014999999999417923,240.53,-1.090589691307997,-179.21,-137.77,-136.679410308692,-20.81298828125,13.73291015625,-3.23486328125
2026-08-06T17:56:35.174,0.3279999999995198,32,1,1,240,852177,0x0044,0.0,-275.89,-1.3167964189220527,-237.44,-122.31,-120.99320358107795,-11.962890625,0.30517578125,-4.2724609375,1,1,241,804438,0x0044,0.0,237.95000000000002,-1.340589691307997,-177.3,-138.02,-136.679410308692,-19.10400390625,13.36669921875,-3.72314453125
2026-08-06T17:56:35.190,0.34399999999914144,33,1,1,241,852187,0x0044,0.01599999999962165,-276.23,-1.3667964189220356,-237.28,-122.36,-120.99320358107795,-10.25390625,0.244140625,-4.57763671875,1,1,242,804448,0x0044,0.01599999999962165,236.74,-1.4905896913080028,-176.39000000000001,-138.17000000000002,-136.679410308692,-17.7001953125,13.61083984375,-2.9296875
2026-08-06T17:56:35.190,0.34399999999914144,34,1,0,241,852187,0x0044,0.01599999999962165,-276.23,-1.3667964189220356,-237.28,-122.36,-120.99320358107795,-10.25390625,0.244140625,-4.57763671875,1,0,242,804448,0x0044,0.01599999999962165,236.74,-1.4905896913080028,-176.39000000000001,-138.17000000000002,-136.679410308692,-17.7001953125,13.61083984375,-2.9296875
2026-08-06T17:56:35.205,0.35900000000037835,35,1,1,243,852207,0x0044,0.015000000001236913,-276.91,-1.4667964189220584,-236.86,-122.46000000000001,-120.99320358107795,-6.8359375,0.18310546875,-5.92041015625,1,1,244,804468,0x0044,0.015000000001236913,234.65,-1.8305896913079778,-174.79,-138.51,-136.679410308692,-12.5732421875,13.36669921875,-0.8544921875
2026-08-06T17:56:35.219,0.375,36,1,1,245,852227,0x0044,0.01599999999962165,-277.6,-1.5667964189220527,-236.33,-122.56,-120.99320358107795,-4.69970703125,-0.30517578125,-6.4697265625,1,1,245,804478,0x0044,0.01599999999962165,233.72,-2.030589691307995,-174.01,-138.71,-136.679410308692,-9.033203125,14.22119140625,-0.06103515625
